rajahtaa	32-791-B,68-3705-B,89-3250-B,104-3238-B,237-3041-B
rajahtava	32-903-B,89-3557-B
rajakreivi	152-231-B
rajalinja	26-2907-B
rajamaa	26-2698-B,26-2829-B
rajamerkki	140-1728-B,220-3828-B
rajankaynti	66-1455-B
rajapyykki	140-1748-B
rajaseutu	26-2713-B,104-1478-B
rajattomuus	130-733-B
rajatuomari	145-1545-B
rajaviiva	26-2928-B
rajayttaa	24-269-B,25-339-B,28-2645-B,68-3727-B,79-2546-B,89-3271-B,237-3061-B
rajoitin	145-562-B
rajoittaa	26-2730-B,27-1734-B,41-2914-B,50-1083-B,51-4482-B,57-1042-B,65-1175-B,66-78-B,66-1435-B,145-431-B,162-1698-B,207-2281-B,242-2906-B
rajoittaminen	65-1229-B,67-2717-B,145-490-B,145-579-B,162-1827-B,207-2318-B
rajoittua	2-1079-B,26-2747-B
rajoittuneisuus	132-2317-B,145-515-B,146-2467-B,162-1953-B
rajoittunut	119-1549-B,162-1715-B,174-1409-B
rajoitus	60-3302-B,145-447-B,145-542-B,195-2547-B,207-2369-B
raju	26-85-B,95-1939-B,125-3617-B,212-191-B,212-2703-B,213-754-B,229-383-B,243-3311-B,255-1437-B,262-3160-B,267-1631-B,271-276-B,272-1928-B,275-1614-B,277-1136-B,284-32-B
rajuilma	243-3219-B,256-539-B
rajumyrsky	123-439-B
rajuus	95-2010-B,105-2045-B,275-1516-B,277-1014-B
raka	232-789-B
rakainen	213-1960-B,232-801-B
rakas	62-2223-B,63-1440-B
rakastaa	4-3226-B,148-1138-B
rakastaja	148-1340-B,174-91-B
rakastajatar	157-3514-B,174-110-B
rakastaminen	148-1425-B
rakastella	62-326-B,163-1296-B,179-906-B
rakastelu	62-290-B
rakastettava	8-2290-B,39-1252-B,144-2900-B,148-1041-B,247-33-B
rakastettavuus	8-2247-B,26-1113-B,247-52-B
rakastettu	148-1152-B,251-3129-B
rakastunut	8-2709-B
rakatauti	108-2556-B
rakattaa	39-2337-B
rakattirastas	95-1784-B
rakatys	39-2358-B
rakeinen	111-1440-B
rakeisuus	111-175-B,111-242-B
rakenne	31-262-B,48-3096-B,52-244-B,80-2552-B,91-28-B,103-96-B,150-1976-B,160-1063-B,245-3044-B,257-1846-B
rakennelma	52-265-B,245-3062-B
rakennus	31-368-B,52-289-B,81-20-B,86-387-B,122-200-B,245-3083-B
rakennusjatteet	212-2389-B
rakennusmestari	31-297-B,53-50-B
rakennuspaikka	227-3158-B
rakennustelineet	215-3459-B
rakennustyyli	11-3753-B
rakentaminen	31-386-B,52-311-B,69-472-B,69-628-B,84-1061-B,198-342-B
rakentava	31-408-B,52-389-B,69-496-B,84-1086-B,198-363-B
rakenteellinen	48-3211-B,51-4294-B,52-412-B,245-2927-B
rakettiase	157-2849-B
rakkaus	69-1152-B,100-2541-B,148-1168-B,148-1466-B
rakkausjuttu	8-2825-B
rakki	60-1245-B,159-337-B,268-2960-B
rakko	23-2681-B,24-1727-B,193-3210-B
rakkotulehdus	61-2684-B
rakkula	24-967-B,24-1741-B,61-2671-B,100-2006-B,276-1167-B
rakoaanne	103-3312-B
rakoilla	28-2614-B,57-0-B,174-2001-B
rakoilu	43-1182-B,57-312-B
raksahdus	43-2060-B,231-2565-B
raksahtaa	43-2076-B,57-15-B,231-2580-B
raksi	147-2019-B,244-2268-B,245-2915-B,253-785-B,253-1938-B
raksuttaa	259-2394-B
raksutus	259-2409-B
rallatella	227-1576-B
ralli	36-2928-B,198-704-B,233-2240-B
ramapainen	201-921-B
rame	25-2802-B,94-2429-B,152-1588-B,157-446-B,159-2334-B,230-1215-B,251-1170-B
rameikko	159-2347-B,195-2144-B
rameinen	152-1741-B,251-1206-B
ramina	28-1848-B,42-2730-B,136-16-B,197-1204-B,199-2027-B
ramistaa	199-2060-B
ramistin	199-2043-B
rampa	106-1221-B,140-767-B
rampia	99-1411-B,238-3025-B,278-2594-B
ramppi	11-2384-B,198-1143-B
rampyttaa	246-102-B,259-1180-B,260-2080-B
rangaista	39-1938-B,55-143-B,71-2673-B,177-1131-B,194-1551-B,217-1669-B,277-2589-B
rangaistava	60-397-B,177-1113-B,194-1584-B
rangaistus	39-1978-B,177-1150-B,194-1626-B,208-150-B,217-1687-B,220-2773-B
rangaistusaika	256-3190-B
rangaistusvanki	53-3712-B,189-3534-B
rankaisu	194-1648-B
rankka	115-3292-B,118-928-B,191-615-B,262-830-B
rankkasade	76-1252-B
ranne	287-853-B
ranneke	60-166-B
ranneketju	28-212-B
rannerengas	17-3124-B,28-232-B
ranni	76-2962-B,114-1424-B,237-1801-B
rannikkoalus	44-3256-B,122-1260-B
rannikkovartiosto	45-0-B
ransistya	63-2572-B,68-3047-B
ransistyminen	68-3071-B
ranta	18-161-B,19-2548-B,218-2714-B,225-139-B,229-1334-B,244-1780-B
rantahietikko	19-2560-B
rantainen	230-2200-B
rantajatka	19-2596-B
rantakallio	43-2183-B
rantakatu	191-2454-B
rantapenger	18-172-B
rantatorma	18-189-B,25-910-B
rantavahti	144-1408-B
rantavalli	18-207-B,143-2406-B
rantaviiva	45-29-B
rapa	71-419-B,160-3108-B,230-1657-B,230-2162-B
rapakivi	185-1414-B
rapakko	193-3223-B
raparperi	208-3719-B
rapata	159-3156-B,182-627-B,205-52-B
rapautua	72-2717-B,281-1475-B
rapautuminen	72-2790-B,81-1219-B
rapea	58-1579-B,59-1643-B
rapina	213-2781-B,217-2521-B
rapista	176-707-B,213-2795-B,217-2468-B
rapistella	99-1429-B,245-3358-B,287-622-B
rapistua	63-2527-B,68-3026-B,91-1557-B
raportoida	205-2680-B
raportti	73-421-B,173-2352-B,205-2698-B,240-3267-B
rappaus	91-772-B,182-642-B
rappeutuneisuus	63-2161-B,65-1900-B,65-2036-B
rappio	63-2187-B,63-2542-B,64-1223-B,65-1927-B,65-2065-B,80-1671-B,213-14-B
rappioalkoholisti	75-3175-B
