glorification	glorification
glorified	glorifié
glorify	célébrer
glorify	exalter
glorify	glorifier
glorious	célèbre
glorious	fameux
glorious	glorieux
glorious	illustre
glorious	magnifique
glorious	splendide
glorious	éclatant
glory	célébrité
glory	gloire
glory	magnificence
glory	réputation
glory	splendeur
glory	éclat
gloss	annoter
gloss	brillant
gloss	commenter
gloss	déguiser
gloss	glose
gloss	lustre
gloss	vernis
gloss	éclat
glossary	glossaire
glossiness	brillant
glossiness	lustre
glossiness	vernis
glossiness	éclat
glossy	brillant
glossy	glacé
glossy	luisant
glossy	lustré
glossy	vernissé
glottal	glottal
glove	gant
glover	gantier
glow	ardeur
glow	briller
glow	chaleur
glow	lueur
glow	luire
glow	rayonner
glow	resplendir
glow	rutiler
glow	éclat
glucose	glucose
glue	agglutinant
glue	colle
glue	coller
glue	glu
glued	collé
gluey	collant
gluey	gluant
gluing	collage
glum	maussade
glum	triste
glut	encombrer
glut	inonder
glut	pléthore
glut	rassasier
glut	surabondance
glut	surplus
gluten	gluten
glutton	bâfreur
glutton	glouton
glutton	goinfre
gluttonous	glouton
gluttonous	goulu
gluttony	gloutonnerie
gluttony	goinfrerie
gluttony	gourmandise
glycerin	glycérine
glycerin	glycérol
glycerol	glycérine
glycerol	glycérol
glycine	glycine
gnat	cousin
gnat	moucheron
gnat	moustique
gnaw	grignoter
gnaw	ronger
gneiss	gneiss
gnome	gnome
gnome	lutin
go	aller
go	cheminer
go	disparaître
go	essai
go	fonctionner
go	marcher
go	partir
go	passer
go	quitter
go	rouler
go	s'en aller
go	tentative
go	voyager
go across	franchir
go after	poursuivre
go ahead	continuer
go away	partir
go away	s'en aller
go back	rentrer
go back	retourner
go back	revenir
go by	passer
go down	baisser
go down	couler
go down	descendre
go down	déchoir
go down	décroître
go down	s'abaisser
go down	sombrer
go for	attaquer
go forward	avancer
go in	entrer
go on	continuer
go out	sortir
go over	visiter
go past	passer
go round	contourner
go round	tourner
go soft	mollir
go through	parcourir
go through	subir
go through	traverser
go to bed	se coucher
go up	monter
go-between	intermédiaire
go-between	médiateur
go-cart	kart
go-getter	arriviste
go-kart	kart
goad	aiguillon
goad	aiguillonner
goad	inciter
goal	arrivée
goal	but
goal	dessein
goal	fin
goal	objectif
goal	objet
goalkeeper	gardien de but
goat	bouc
goat	chevre
goat	chèvre
goatsucker	engoulevent
gob	bouche
gob	gueule
gobble	avaler
gobble	engloutir
gobble	engouffrer
gobble up	engloutir
gobbledegook	charabia
gobbledygook	charabia
goblet	calice
goblet	coupe
goblet	gobelet
goblet	verre
goblin	farfadet
goblin	gnome
goblin	lutin
god	dieu
godchild	filleul
goddamn	fichu
goddaughter	filleule
goddess	déesse
godfather	parrain
godhead	divinité
godless	impie
godlike	divin
godliness	dévotion
godliness	piété
godly	divin
godly	pieux
godmother	marraine
godsend	bénédiction
godson	filleul
godwit	barge
goes	va
goggles	lunettes
going	allure
going	démarrage
going	marche
going	train
goitre	goitre
gold	bien
gold	or
golden	d'or
golden	doré
goldfinch	chardonneret
goldsmith	orfèvre
golf	golf
goliath	goliath
gondola	gondole
gondola	nacelle
gondolier	gondolier
