inhumanity	inhumanité
inhumation	enterrement
inhume	enterrer
inimical	adverse
inimical	défavorable
inimical	ennemi
inimical	hostile
inimitable	inimitable
iniquitous	inique
iniquitous	injuste
iniquity	iniquité
initial	initial
initial	initiale
initial	parafer
initial	parapher
initial	premier
initialize	amorcer
initialize	entamer
initially	initialement
initiate	amorcer
initiate	commencer
initiate	entamer
initiate	inaugurer
initiate	initier
initiate	initié
initiate	instaurer
initiate	lancer
initiate	ouvrir
initiate	établir
initiation	initiation
initiative	initiative
initiator	initiateur
inject	injecter
injected	injecté
injection	injection
injector	injecteur
injudicious	imprudent
injure	blesser
injure	léser
injure	meurtrir
injure	offenser
injured	blessé
injurious	nuisible
injurious	préjudiciable
injury	blessure
injury	lésion
injury	offense
injury	préjudice
injustice	iniquité
injustice	injustice
ink	encre
inkling	soupçon
inkstand	encrier
inkwell	encrier
inlaid	incrusté
inland	intérieur
inlay	incrustation
inlay	incruster
inlay	marqueterie
inlet	admission
inlet	arrivée
inmate	détenu
inmate	interne
inmate	malade
inmate	pensionnaire
inmate	prisonnier
inn	auberge
inn	hôtellerie
inn	taverne
innards	entrailles
innate	inné
innate	naturel
inner	interne
inner	intime
inner	intérieur
innervation	innervation
innkeeper	aubergiste
innkeeper	hôtelier
innocence	innocence
innocent	innocent
innocently	innocemment
innocuous	anodin
innocuous	inoffensif
innocuousness	innocuité
innovate	innover
innovated	innové
innovating	innovant
innovation	innovation
innovative	innovateur
innovator	innovateur
innovator	novateur
innoxious	inoffensif
innuendo	allusion
innuendo	insinuation
innumerable	innombrable
inoculate	inoculer
inoculate	vacciner
inoculation	inoculation
inoculation	vaccination
inoffensive	inoffensif
inoperative	inopérant
inopportune	inopportun
inordinate	démesuré
inordinate	excessif
inordinate	immodéré
inorganic	inorganique
input	accès
input	apport
input	entrée
inquire	demander
inquiring	interrogateur
inquiry	demande
inquiry	enquête
inquiry	information
inquiry	investigation
inquiry	question
inquisition	inquisition
inquisition	investigation
inquisition	recherche
inquisitive	curieux
inquisitiveness	curiosité
inquisitor	inquisiteur
inroad	incursion
inrush	afflux
insalubrious	insalubre
insalubrious	malsain
insane	aliéné
insane	dément
insane	fou
insane	insensé
insanitary	insalubre
insanitary	malsain
insanity	démence
insanity	folie
insanity	insanité
insatiable	insatiable
inscribe	graver
inscribe	inscrire
inscribe	écrire
inscribed	inscrit
inscription	dédicace
inscription	inscription
inscrutable	impénétrable
inscrutable	insondable
insect	insecte
insecticide	insecticide
insectivore	insectivore
insectivorous	insectivore
insecure	branlant
insecure	chancelant
insecure	incertain
insemination	insémination
insensate	barbare
insensate	insensible
insensate	insensé
insensibility	indifférence
insensibility	insensibilité
insensible	indifférent
insensible	insensible
insensitive	insensible
inseparable	inséparable
insert	encart
insert	engager
insert	implanter
insert	insérer
insert	intercaler
insert	interposer
insert	introduire
insert	mettre
inserted	encarté
inserted	inséré
inserting	insérant
insertion	encart
insertion	garniture
insertion	insertion
insertion	introduction
inset	insérer
inset	introduire
inshore	côtier
inside	au dedans
inside	dans
inside	dedans
inside	interne
inside	intérieur
inside	intérieurement
insider	adepte
insidious	traître
insight	aperçu
insightful	avisé
insightful	perspicace
insignificance	insignifiance
insignificant	anodin
insignificant	insignifiant
insignificant	négligeable
insincere	hypocrite
insincerity	fausseté
insinuate	insinuer
insinuation	allusion
insinuation	insinuation
insipid	fade
