marching	marche
mare	jument
margarine	margarine
marge	margarine
margin	bord
margin	lisière
margin	marge
marginal	marginal
marigold	souci
marihuana	marihuana
marijuana	marihuana
marinade	marinade
marinade	mariner
marinate	mariner
marine	marin
marine	marine
marine	maritime
mariner	marin
marionette	marionnette
marital	conjugal
marital	marital
marital	matrimonial
maritime	maritime
marjoram	marjolaine
marjoram	origan
mark	but
mark	cible
mark	cicatrice
mark	coter
mark	empreinte
mark	estampiller
mark	indiquer
mark	jalonner
mark	marc
mark	mark
mark	marque
mark	marquer
mark	mention
mark	note
mark	noter
mark	repère
mark	repérer
mark	signal
mark	signe
mark	souiller
mark	stigmate
mark	tache
mark	trace
mark	étiquette
mark out	distinguer
mark-up	marge
markdown	remise
markdown	réduction
marked	accusé
marked	marqué
marker	signet
market	bazar
market	foire
market	marché
market	vendre
marketable	vendable
marketing	marketing
marking	estampillage
marking	marquage
marking	notation
marksman	tireur
marl	marne
marmalade	confiture
marmalade	marmelade
marmelade	confiture
marmelade	marmelade
marmot	marmotte
marquess	marquis
marquis	marquis
marriage	mariage
married	marié
married	mariée
marrow	courge
marrow	essence
marrow	moelle
marry	marier
marry	se marier
marry	unir
marry	épouser
mars	mars
marsh	marais
marsh	marécage
marshal	maréchal
marshal	organiser
marshal	ranger
marshland	marais
marsupial	marsupial
mart	marché
marten	fouine
martial	guerrier
martial	martial
martian	martien
martingale	martingale
martyr	martyr
martyr	martyriser
martyrdom	martyre
martyrize	martyriser
marvel	merveille
marvel	miracle
marvel	prodige
marvellous	formidable
marvellous	magnifique
marvellous	merveilleux
marzipan	massepain
mascot	mascotte
masculine	masculin
masculine	mâle
masculine	viril
masculinity	virilité
mash	bouillie
mash	broyer
mash	piler
mash	purée
mash	écraser
masher	broyeur
mask	cache
mask	cacher
mask	dissimuler
mask	loup
mask	masque
mask	masquer
mask	recouvrir
mask	voiler
masked	masqué
mason	macon
mason	maçon
mason	maçonner
masonic	maçonnique
masonry	maconnerie
masonry	maçonnerie
masque	mascarade
masquerade	mascarade
mass	collectif
mass	foule
mass	masse
mass	massif
mass	messe
mass	tas
massacre	massacre
massacre	massacrer
massacre	tuerie
massage	friction
massage	frictionner
massage	massage
massage	masser
massage	pétrir
massagist	masseur
masseur	masseur
masseuse	masseuse
massive	lourd
massive	massif
mast	mât
mast	pylône
master	capitaine
master	chef
master	directeur
master	dompter
master	instituteur
master	mater
master	maître
master	maîtriser
master	monsieur
master	patron
master	principal
master	professeur
master	surmonter
masterful	autoritaire
masterful	dominateur
masterly	magistral
mastership	maîtrise
mastery	domination
mastery	maîtrise
masticate	mastiquer
masticate	mâcher
mastication	mastication
mastodon	mastodonte
masturbate	masturber
masturbation	masturbation
mat	mat
mat	natte
mat	paillasson
mat	tapis
matador	matador
match	accorder
match	allumette
match	couple
match	lutte
match	mariage
match	match
match	partie
match point	balle de match
matching	assorti
matching	correspondant
matchless	incomparable
matchmaker	marieur
