bacteriological	bactériologique
bacteriologist	bactériologiste
bacteriology	bactériologie
bacteriophage	bactériophage
bacterium	bactérie
bad	carié
bad	faux
bad	gâté
bad	mal
bad	mauvais
bad	méchant
bad	pourri
bad	triste
bad luck	malchance
bad-mouth	débiner
badge	badge
badge	insigne
badge	plaque
badge	symbole
badger	blaireau
badger	harceler
badger	tourmenter
badly	gravement
badly	mal
badly	méchamment
badman	bandit
badminton	badminton
badness	méchanceté
baffle	confondre
baffle	déconcerter
baffle	dérouter
bag	bagage
bag	faucher
bag	piquer
bag	sac
bag	sachet
bag	sacoche
bagatelle	babiole
bagatelle	bagatelle
baggage	bagage
baggage	effets
baggage car	fourgon
bagman	commis voyageur
bagpipe	cornemuse
bagpipes	cornemuse
bail	caution
bail	garantie
bailee	dépositaire
bailiff	gouverneur
bailiff	huissier
bailiff	régisseur
bailment	dépôt
bailor	déposant
bairn	bambin
bairn	enfant
bait	amorce
bait	appât
bait	hameçon
bait	leurre
bait	tourmenter
bake	cuire
bake	étuver
baked	cuit
bakehouse	boulangerie
bakelite	bakélite
baker	boulanger
bakery	boulangerie
baking	cuisson
baking	cuite
balaclava	cagoule
balance	affleurer
balance	aligner
balance	aplanir
balance	aplomb
balance	balance
balance	balancement
balance	balancer
balance	bilan
balance	compenser
balance	contrebalancer
balance	niveler
balance	pondération
balance	solde
balance	égaliser
balance	équilibre
balance	équilibrer
balance sheet	bilan
balanced	balancé
balanced	compensé
balanced	pondéré
balanced	équilibré
balancing	balancement
balancing	balançant
balancing	équilibrage
bald	chauve
bald	pelé
bald	sec
bald-headed	chauve
baldachin	baldaquin
baldly	abruptement
baldly	ouvertement
baldness	calvitie
baldness	nudité
bale	balle
baleful	funeste
baleful	maléfique
baleful	sinistre
balk	entrave
balk	obstacle
balk	reculer
balk	solive
ball	bal
ball	balle
ball	ballon
ball	bille
ball	boule
ball	boulette
ball	globe
ball	pelote
ball	peloton
ball	sphère
ballad	ballade
ballade	ballade
ballast	ballast
ballast	lest
ballerina	ballerine
ballet	ballet
ballistic	balistique
ballistics	balistique
balloon	aérostat
balloon	ballon
balloon	bulle
ballot	bulletin de vote
ballot	scrutin
ballot	vote
bally	sacré
balm	baume
balmy	adoucissant
balmy	doux
balsam	baume
balustrade	balustrade
bamboo	bambou
ban	anathème
ban	bannir
ban	défendre
ban	défense
ban	interdiction
ban	interdire
ban	interdit
ban	prohiber
ban	prohibition
banal	banal
banal	ordinaire
banality	banalité
banana	banane
banana	bananier
banana tree	bananier
band	bague
band	bandage
band	bande
band	bandelette
band	cercle
band	chapelle
band	fanfare
band	groupe
band	orchestre
band	raie
band	ruban
band	écharpe
bandage	bandage
bandage	bande
bandage	bandeau
bandage	bander
bandage	pansement
bandaged	bandé
bandanna	foulard
bandanna	mouchoir
banded	rayé
bandit	bandit
banditry	banditisme
baneful	funeste
bang	battre
bang	claquement
bang	coup
bang	fracas
bang	taper
banger	pétard
banger	saucisse
bangle	bracelet
banish	bannir
banish	chasser
banish	proscrire
banish	éloigner
banishment	bannissement
banishment	exil
banister	balustre
banister	rampe
bank	banc
bank	banque
bank	banquette
