upside down	sens dessus dessous
upstairs	dessus
upstanding	brave
upstanding	droit
upstanding	intègre
upstart	parvenu
upstream	en amont
upsurge	vague
upswing	essor
uptight	tendu
upturn	amélioration
upturn	avancement
upturn	retourner
upward	ascendant
upward	ascensionnel
upward	montant
uraninite	uraninite
uranium	uranium
urate	urate
urban	citadin
urban	municipal
urban	urbain
urbane	courtois
urbanise	urbaniser
urbanity	courtoisie
urbanization	urbanisation
urbanize	urbaniser
urchin	polisson
urea	carbamide
urethra	urètre
urethral	urétral
urge	aiguillonner
urge	animer
urge	contraindre
urge	encourager
urge	hâter
urge	inciter
urge	insister
urge	pousser
urge	presser
urge	éperonner
urgency	urgence
urgent	impérieux
urgent	instant
urgent	pressant
urgent	urgent
urinal	urinoir
urinary	urinaire
urinate	pisser
urinate	uriner
urination	miction
urine	urine
urn	urne
urologist	urologue
urology	urologie
urticaria	urticaire
us	nous
usable	utilisable
usage	coutume
usage	emploi
usage	traitement
usage	usage
usage	utilisation
use	appliquer
use	consommer
use	emploi
use	employer
use	habitude
use	jouissance
use	manier
use	pratiquer
use	profiter
use	se servir de
use	traiter
use	usage
use	user
use	user de
use	usufruit
use	utilisation
use	utiliser
use	utilité
use up	épuiser
used	habituel
used	habitué
used	usagé
used	usé
useful	utile
usefully	utilement
usefulness	utilité
useless	inutile
useless	inutilisable
useless	vain
uselessly	inutilement
user	consommateur
user	usager
user	utilisateur
usher	introduire
usher	placeur
usherette	ouvreuse
usual	accoutumé
usual	commun
usual	courant
usual	coutumier
usual	habituel
usual	ordinaire
usual	usité
usual	usuel
usually	d'habitude
usually	généralement
usually	ordinaire
usually	ordinairement
usufruct	usufruit
usurer	usurier
usurious	usuraire
usurp	usurper
usurpation	usurpation
usurper	usurpateur
usury	usure
utensil	ustensile
uterine	utérin
uterus	matrice
uterus	utérus
utilisation	utilisation
utilise	employer
utilise	utiliser
utilitarian	utilitaire
utilitarianism	utilitarisme
utility	utilitaire
utility	utilité
utilization	exploitation
utilization	utilisation
utilize	employer
utilize	utiliser
utopia	utopie
utopian	utopique
utopian	utopiste
utter	absolu
utter	complet
utter	parfait
utter	pousser
utter	proférer
utter	prononcer
utter	total
utter	émettre
utter	énoncer
utterance	déclaration
utterance	expression
utterance	prononciation
utterance	énonciation
utterly	absolument
utterly	complètement
utterly	totalement
uvula	luette
uvula	uvule
uvular	uvulaire
v	v
vacancy	place vacante
vacancy	poste vacant
vacancy	vide
vacant	absent
vacant	disponible
vacant	inoccupé
vacant	libre
vacant	stupide
vacant	vacant
vacant	vide
vacate	débarrasser
vacate	dégager
vacate	quitter
vacate	vider
vacate	évacuer
vacated	quitté
vacation	congé
vacation	vacances
vacation	évacuation
vacationer	vacancier
vacationist	vacancier
vaccinate	vacciner
vaccination	vaccination
vaccine	vaccin
vacillate	chanceler
vacillate	hésiter
vacillate	vaciller
vacillation	hésitation
vacuity	vide
vacuole	vacuole
vacuous	vacant
vacuous	vide
vacuum	vide
vacuum cleaner	aspirateur
vagabond	clochard
vagabond	errant
vagabond	vagabond
vagary	caprice
vagina	gaine
vagina	vagin
vaginal	vaginal
vagrancy	vagabondage
vagrant	clochard
vagrant	errant
