vagrant	vagabond
vague	confus
vague	imprécis
vague	indistinct
vague	indécis
vague	indéterminé
vague	vague
vagueness	vague
vain	futile
vain	inutile
vain	stérile
vain	vain
vain	vaniteux
vainglory	orgueil
vainglory	prétention
vainglory	vanité
vainly	vainement
vale	vallée
valence	valence
valency	valence
valet	valet
valiance	vaillance
valiant	brave
valiant	courageux
valiant	vaillant
valiantly	vaillamment
valid	valable
valid	valide
validate	homologuer
validation	validation
validity	validité
valine	valine
valley	val
valley	vallée
valor	bravoure
valor	courage
valor	valeur
valorization	valorisation
valorize	revaloriser
valorize	valoriser
valorize	évaluer
valorous	vaillant
valour	bravoure
valour	courage
valour	vaillance
valour	valeur
valuable	précieux
valuation	appréciation
valuation	estimation
valuation	évaluation
value	apprécier
value	chiffrer
value	coter
value	estimer
value	juger
value	mérite
value	priser
value	utilité
value	valeur
value	valoriser
value	évaluer
valued	estimé
valued	précieux
valueless	sans valeur
valve	clapet
valve	piston
valve	robinet
valve	soupape
valve	valve
valvular	valvulaire
vamp	vamp
vampire	vampire
van	camion
van	fourgon
vanadium	vanadium
vandal	vandale
vandalism	vandalisme
vane	aile
vane	ailette
vane	aube
vane	girouette
vanilla	vanille
vanilla	vanillier
vanish	disparaître
vanish	s'évanouir
vanished	disparu
vanity	vanité
vanquish	battre
vanquish	surmonter
vanquish	vaincre
vantage	avantage
vantage point	point de vue
vapid	fade
vapidity	fadeur
vapor	vapeur
vaporization	vaporisation
vaporize	vaporiser
vaporize	évaporer
vaporizer	atomiseur
vaporizer	vaporisateur
vapour	buée
vapour	vapeur
variability	variabilité
variable	changeant
variable	inconstant
variable	variable
variance	différence
variance	divergence
variance	désaccord
variance	variation
variant	différent
variant	divers
variant	variante
variant	varié
variation	changement
variation	fluctuation
variation	variation
varicolored	bigarré
varicoloured	bigarré
varied	divers
varied	varié
variegated	bariolé
variegated	bigarré
variegated	panaché
variety	diversité
variety	variété
variola	variole
various	différent
various	divers
various	varié
varix	varice
varlet	coquin
varlet	vaurien
varnish	laque
varnish	vernir
varnish	vernis
varnish	vernisser
varnish	émail
vary	accidenter
vary	altérer
vary	balancer
vary	changer
vary	différer
vary	modifier
vary	osciller
vary	varier
varying	changeant
varying	variable
vascular	vasculaire
vase	vase
vaseline	vaseline
vassal	vassal
vast	ample
vast	démesuré
vast	immense
vast	infini
vast	vaste
vast	étendu
vastly	immensément
vastly	énormément
vastness	amplitude
vastness	immensité
vat	bac
vat	baquet
vat	citerne
vat	cuve
vat	réservoir
vault	cave
vault	caveau
vault	crypte
vault	saut
vault	sauter
vaunt	fanfaronner
veal	veau
vector	vecteur
veer	virer
veg	légume
vegan	végétarien
vegetable	légume
vegetable	plante
vegetable	potager
vegetable	végétal
vegetables	légume
vegetal	végétal
vegetarian	végétarien
vegetarianism	végétarisme
vegetate	végéter
vegetation	végétation
vegetative	végétatif
veggie	végétarien
vehemence	impétuosité
vehemence	violence
vehemence	véhémence
vehement	passionné
vehement	violent
vehement	véhément
vehicle	moyen
vehicle	voiture
vehicle	véhicule
veil	voile
