exhaust pipe	échappement
exhausted	épuisé
exhausted	éreinté
exhausting	fatigant
exhausting	épuisant
exhaustion	accablement
exhaustion	épuisement
exhaustive	complet
exhaustive	exhaustif
exhibit	manifester
exhibit	montrer
exhibit	présenter
exhibit	étaler
exhibition	démonstration
exhibition	exposition
exhibition	salon
exhibitioner	boursier
exhilarate	vivifier
exhilarate	émoustiller
exhilaration	gaieté
exhort	exhorter
exhume	déterrer
exigence	nécessité
exigency	exigence
exigency	nécessité
exigent	exigeant
exigent	pressant
exigent	urgent
exiguous	modique
exile	bannir
exile	bannissement
exile	exil
exist	exister
exist	subsister
exist	vivre
existence	existence
existent	d'aujourd'hui
existing	actuel
exit	décès
exit	départ
exit	issue
exit	mort
exit	partir
exit	sortie
exit	sortir
exodus	départ
exonerate	blanchir
exonerate	disculper
exonerate	décharger
exonerate	exonérer
exorbitance	outrance
exorbitancy	outrance
exorbitant	exagéré
exotic	exotique
expand	accroître
expand	augmenter
expand	dilater
expand	déployer
expand	développer
expand	répandre
expand	s'étendre
expand	élargir
expand	étendre
expanded	répandu
expanded	étendu
expanse	étendue
expansion	accroissement
expansion	amplification
expansion	augmentation
expansion	croissance
expansion	développement
expansion	expansion
expansive	vaste
expansive	étendu
expatriate	émigré
expect	attendre
expect	espérer
expectance	attente
expectancy	attente
expectation	attente
expectation	espérance
expectation	expectative
expected	attendu
expected	espéré
expecting	enceinte
expectorate	cracher
expedience	opportunité
expediency	convenance
expediency	opportunité
expedient	convenable
expedient	moyen
expedient	opportun
expedite	accélérer
expedite	activer
expedite	hâter
expedite	presser
expedite	précipiter
expedition	expédition
expel	chasser
expel	exclure
expel	expulser
expel	renvoyer
expelled	exclu
expend	dépenser
expendable	remplaçable
expenditure	dépense
expenditure	frais
expense	dépense
expense	frais
expenses	dépense
expenses	frais
expensive	cher
experience	acquis
experience	connaître
experience	expérience
experience	expérimenter
experience	pratique
experience	subir
experience	traverser
experience	vivre
experience	éprouver
experienced	averti
experienced	chevronné
experienced	expert
experienced	éprouvé
experiment	essai
experiment	expérience
experimental	expérimental
expert	adroit
expert	connaisseur
expert	expert
expert	habile
expert	spécialiste
expertness	adresse
expertness	agilité
expertness	habileté
expiate	expier
expiate	purger
expiration	décès
expiration	expiration
expiration	fin
expiration	trépas
expiration	échéance
expire	décéder
expire	expirer
expire	finir
expire	mourir
expire	périmer
expire	échoir
expired	périmé
expired	échu
expiry	expiration
expiry	échéance
explain	développer
explain	expliquer
explain	illustrer
explain	éclaircir
explain	éclairer
explain	élucider
explanation	explication
explanation	interprétation
explanation	éclaircissement
expletive	juron
explication	explication
explicit	formel
explode	détoner
explode	exploser
explode	éclater
exploit	exploiter
exploitation	exploitation
exploration	exploration
exploration	recherche
exploration	reconnaissance
explore	examiner
explore	explorer
explore	rechercher
explore	reconnaître
explore	sonder
explore	tâter
explosion	déflagration
explosion	détonation
explosion	explosion
explosive	explosif
exponent	interprète
exponent	remplaçant
exponent	représentant
exponent	substitut
exponent	suppléant
export	exportation
export	exporter
exportation	exportation
exporter	exportateur
expose	démasquer
expose	révéler
exposed	découvert
exposed	démasqué
exposition	exposition
exposition	salon
exposure	dévoilement
exposure	exposition
