figment	invention
figurative	figuré
figure	air
figure	apparence
figure	calculer
figure	chiffre
figure	chiffrer
figure	dessin
figure	estimer
figure	figure
figure	figurer
figure	forme
figure	image
figure	nombre
figure	penser
figure	personnage
figure	personnalité
figure	personne
figure	représenter
figure	taille
figure	évaluer
figure out	comprendre
figure out	résoudre
figurine	figurine
filament	fibre
filament	fil
filament	filament
filament	filet
filch	barboter
filch	chiper
filch	voler
file	cartable
file	classeur
file	dossier
file	enregistrer
file	lime
file	limer
file	rang
file	service
files	archives
filial	filial
filiation	filiation
filibuster	obstruction
filiform	filiforme
filing	classement
filing	enregistrement
filing cabinet	classeur
fill	approvisionner
fill	bourrer
fill	charger
fill	combler
fill	emplir
fill	fourrer
fill	imprégner
fill	occuper
fill	plomber
fill	remplir
fill	réaliser
fill	verser
fill in	combler
fill in	remplir
fill in for	remplacer
fill out	forcir
fill out	remplir
fill up	emplir
fill up	remplir
filled	plein
filled	rempli
filler	remplissage
filler	remplisseur
fillet	filet
filling	bourrage
filling	comblement
filling	farce
filling	garniture
filling	plombage
filling	remplissage
fillip	encouragement
fillip	stimulant
film	bande
film	cinématographique
film	couche
film	film
film	filmer
film	pellicule
filming	filmage
filming	tournage
filmy	transparent
filter	filtre
filter	filtrer
filtering	filtrage
filtering	filtration
filth	crasse
filth	fange
filth	immondices
filth	ordure
filth	saleté
filthiness	crasse
filthiness	malpropreté
filthiness	saleté
filthy	immonde
filthy	obscène
filthy	sale
filtrate	filtrat
filtrate	filtrer
filtration	filtration
fin	nageoire
final	dernier
final	décisif
final	définitif
final	final
final	finale
final	terminal
final	ultime
finale	conclusion
finale	finale
finalist	finaliste
finalize	parachever
finally	définitivement
finally	enfin
finally	finalement
finance	commanditer
finance	finances
financed	financé
finances	finances
financial	financier
financial	pécuniaire
financially	financierement
financier	financier
financing	financement
finch	pinson
find	constater
find	découverte
find	découvrir
find	repérer
find	trouvaille
find	trouver
finder	chercheur
finder	détecteur
finder	inventeur
finding	trouvaille
finding	verdict
fine	affiner
fine	amende
fine	amincir
fine	beau
fine	contravention
fine	délicat
fine	délié
fine	excellent
fine	fin
fine	joli
fine	magnifique
fine	subtil
fine	tendre
fine	éminent
finely	magnifiquement
fineness	délicatesse
fineness	finesse
fineness	subtilité
finesse	finesse
finesse	subtilité
finger	doigt
fingernail	ongle
finish	accomplir
finish	achever
finish	arrivée
finish	cesser
finish	conclure
finish	dénouement
finish	fin
finish	finir
finish	finissage
finish	finition
finish	terminer
finish off	achever
finish off	finir
finished	accompli
finished	achevé
finished	consommé
finished	fini
finished	parfait
finished	prêt
finishing	achèvement
finishing	finissage
finishing	finition
finite	fini
finite	limité
fink	mouchard
finn	finlandais
finnish	finlandais
fire	allumer
fire	chauffer
fire	décocher
fire	enflammer
fire	enthousiasme
fire	enthousiasmer
fire	feu
fire	flamme
fire	fougue
