aspirant	18-561-B,18-579-B
aspirate	18-597-B
aspiration	18-614-B,18-634-B
aspire	18-656-B,18-675-B
aspirin	18-690-B
aspiring	18-707-B
ass	18-726-B,18-739-B,18-750-B
assail	18-759-B,18-776-B
assailant	18-792-B,18-812-B,18-833-B
assassin	18-853-B,18-871-B
assassinate	18-890-B
assassination	18-913-B,18-938-B
assault	18-960-B,18-977-B,18-995-B,18-1013-B,18-1028-B,18-1044-B
assay	18-1061-B,18-1073-B
assemblage	18-1087-B,18-1109-B,18-1131-B
assemble	18-1150-B,18-1169-B,18-1185-B,18-1205-B,18-1224-B
assembling	18-1241-B
assembly	18-1263-B,18-1285-B,18-1305-B,18-1325-B,18-1342-B,18-1365-B
assent	18-1383-B,18-1401-B,18-1418-B,18-1435-B,18-1454-B,18-1474-B
assert	18-1491-B
assertion	18-1507-B,18-1529-B
assertive	18-1549-B,18-1570-B
assess	18-1593-B,18-1611-B,18-1626-B,18-1641-B,18-1654-B,18-1667-B,18-1683-B
assessable	18-1699-B
assessed	18-1720-B
assessing	18-1738-B
assessment	18-1758-B,18-1783-B,18-1800-B,18-1816-B,18-1838-B,18-1860-B
assessor	18-1883-B
asset	18-1902-B,18-1917-B,18-1929-B,18-1943-B
assets	18-1960-B,18-1973-B
asseveration	18-1987-B
assiduity	18-2012-B
assiduous	18-2033-B
assiduousness	18-2050-B
assign	18-2076-B,18-2091-B,18-2107-B,18-2122-B,18-2138-B,18-2155-B
assignation	18-2169-B,18-2193-B
assigned	18-2215-B
assignment	18-2233-B,18-2256-B,18-2275-B,18-2293-B,18-2312-B
assignor	18-2333-B
assimilate	18-2350-B,18-2370-B
assimilation	18-2391-B,18-2417-B
assist	18-2442-B,18-2455-B,18-2471-B
assistance	18-2487-B,18-2503-B,18-2520-B,18-2542-B
assistant	18-2561-B,18-2579-B,18-2598-B,18-2613-B,18-2633-B,18-2657-B,140-528-S,218-2861-S
assisting	18-2680-B
associate	18-2700-B,18-2719-B,18-2738-B,18-2762-B,18-2782-B,18-2805-B,18-2823-B
associated	18-2845-B
association	18-2865-B,18-2884-B,18-2908-B,18-2930-B,18-2957-B,18-2982-B,18-3004-B
associations	18-3022-B
associative	18-3047-B
assonance	18-3070-B
