bareness	23-1223-B
bargain	23-1240-B,23-1257-B,23-1276-B,23-1292-B
bargaining	23-1310-B,23-1333-B
baric	23-1357-B
baritone	23-1373-B
barium	23-1390-B
bark	23-1404-B,23-1414-B,23-1429-B,23-1441-B,23-1453-B,23-1465-B,23-1477-B,23-1487-B,23-1500-B
barkeeper	23-1514-B
barking	23-1531-B,23-1549-B
barley	23-1565-B
barmaid	23-1577-B
barman	23-1593-B
barmy	23-1607-B
barn	23-1622-B,23-1634-B
barometer	23-1647-B,23-1667-B
barometric	23-1688-B
barometrical	23-1713-B
baron	23-1740-B,23-1752-B
baroness	23-1765-B
baronet	23-1782-B
baronial	23-1799-B
barony	23-1818-B
baroque	23-1834-B
barque	23-1850-B
barrack	23-1864-B,23-1880-B,23-1896-B
barracks	23-1913-B
barrage	23-1930-B,23-1946-B
barrel	23-1964-B,23-1977-B,23-1993-B,23-2006-B,23-2022-B,23-2038-B
barren	23-2053-B,23-2068-B,23-2087-B,23-2102-B
barricade	23-2118-B,23-2138-B
barrier	23-2159-B,23-2175-B,23-2193-B,23-2209-B
barring	23-2226-B
barrister	23-2239-B
barrow	23-2256-B,23-2272-B,23-2286-B
bartender	23-2301-B
barter	23-2318-B
barytes	23-2330-B
barytic	23-2347-B
barytone	23-2365-B
basal	23-2382-B
basalt	23-2400-B
basaltic	23-2415-B
bascule	23-2435-B
base	10-150-S,23-2451-B,23-2465-B,23-2474-B,23-2484-B,23-2499-B,23-2511-B,23-2524-B,23-2534-B,23-2545-B,23-2558-B
baseboard	23-2567-B
based	23-2585-B
basely	23-2598-B
baseness	23-2615-B,23-2633-B,23-2653-B
bash	23-2670-B,23-2682-B,23-2692-B
bashful	23-2705-B,23-2721-B
bashfulness	23-2736-B,23-2755-B
basic	23-2777-B,23-2791-B,23-2807-B,23-2825-B,23-2841-B
basil	23-2861-B
basilar	23-2875-B
basilica	23-2893-B
basilisk	23-2912-B
basin	23-2929-B,23-2942-B,23-2956-B,23-2966-B,23-2980-B,23-2992-B,23-3005-B,23-3016-B
basis	23-3031-B,23-3046-B,23-3057-B,23-3068-B
basket	24-0-B,24-17-B,24-30-B,24-47-B,24-60-B,24-73-B
basketball	24-87-B
basketry	24-105-B
basque	1-602-B,24-123-B
bass	24-137-B,24-148-B
basset	24-160-B
bassoon	24-174-B
bassoonist	24-189-B
bast	24-207-B
bastard	24-218-B,24-234-B
baste	24-249-B,24-263-B
bastille	24-276-B
bastion	24-292-B
bat	24-308-B
batch	24-318-B,24-333-B,24-346-B
