alpine	Alpin...
alpinist	Alpinist
alps	Alpen
already	bereits
already	schon
also	auch
also	außerdem
also	ferner
altar	Altar
altarpiece	Altarbild
alter	abändern
alter	modifizieren
alter	verändern
alter	wandeln
alter	ändern
alteration	Abänderung
alteration	Umbau
alteration	Umänderung
alteration	Veränderung
alteration	Änderung
alterations	Neuerungen
alterations	Änderungen
altercate	streiten
altercation	Zank
altered	geändert
altered	umgeändert
altered	ändert
alternate	abwechselnd
alternate	alternativ
alternate	wechseln
alternate	wechselweise
alternately	abwechselnd
alternately	wechselweise
alternating	abwechselnd
alternating	wechselhaft
alternating	wechselnd
alternation	Halbwelle
alternation	Wechsel
alternation	Wechselbetrieb
alternative	Mehrfachmöglichkeit
alternative	abwechselnd
alternative	alternativ
alternatively	alternativ
alternatives	Alternativen
alternator	Drehstromgenerator
alternator	Generator
alternator	Lichtmaschine
alternator	Wechselstromgenerator
alternator	Wechselstrommaschine
although	obgleich
although	obschon
although	obwohl
although	wenngleich
altimeter	Höhenmesser
altitude	Höhe
altitude	Höhenlage
alto	Altistin
altogether	insgesamt
altogether	sämtlich
altogether	vollkommen
altruist	Altruist
altruistic	altruistisch
alumina	Tonerde
always	allemal
always	immer
always	jedesmal
always	jeweils
always	prinzipiell
always	stets
am	bin
am	vormittags
amalgam	Amalgam
amalgam	Mischung
amalgamate	vereinigen
amalgamation	Amalgamierung
amalgamation	Unternehmenszusammenschluss
amalgamation	Vereinigung
amalgamation	Vermischung
amalgamation	Zusammenschluss
amass	anhäufen
amass	scheffeln
amateur	Amateur
amateur	Anfänger
amateur	Nichtfachmann
amateurish	dilettantisch
amateurish	laienhaft
amateurishness	Dilettantismus
amatory	verliebt
amaze	verblüffen
amazed	erstaunt
amazement	Schrecken
amazement	Verblüffung
amazing	erstaunen
amazing	erstaunlich
amazing	staunenswert
ambassador	Botschafter
ambassador	Repräsentant
ambassadress	Botschafterin
amber	Bernstein
amber	amber
ambergris	ambra
ambience	Ambiente
ambience	Atmosphäre
ambience	Milieu
ambience	Umgebung
ambiguity	Doppelbödigkeit
ambiguity	Doppelsinnigkeit
ambiguous	doppelbödig
ambiguous	mehrdeutig
ambiguous	unklar
ambiguous	verschwommen
ambiguous	zweideutig
ambit	Bereich
ambit	Geltungsbereich
ambit	Umfang
ambition	Ambition
ambition	Ehrgeiz
ambition	Zielsetzung
ambitious	ambitioniert
ambitious	ehrgeizig
ambitiously	ehrgeizig
ambivalence	Doppelwertigkeit
ambivalent	ambivalent
amble	schlendern
amble	zotteln
ambulance	Ambulanz
ambulance	Krankenwagen
ambulance	Rettungswagen
ambulant	wandernd
ambuscade	auflauern
ambush	Hinterhalt
ambush	überfallen
ameba	Amöbe
ameliorate	verbessern
amelioration	Aufbesserung
amelioration	Verbesserung
amenability	Gefügigkeit
amenable	gefügig
amenable	unterworfen
amenable	verantwortlich
amend	Gutmachung
amend	berichtigen
amend	bessern
amend	ändern
amendment	Abänderungsantrag
amendment	Berichtigung
amendment	Ergänzungsantrag
amendment	Korrektur
amendment	Nachbesserung
amendment	Verbesserung
amendment	Änderung
amends	Schadenersatz
amends	verbessert
amenities	Annehmlichkeiten
amenity	Anmut
amenity	Annehmlichkeit
americium	Amerizium
amethyst	Amethyst
amiability	Liebenswürdigkeit
amiable	entgegenkommend
amiable	liebenswürdig
amiableness	Gütigkeit
amiably	freundlich
amiably	liebenswürdig
amiably	liebenswürdige
amicable	freundschaftlich
amicable	gütig
amiss	fehlend
amiss	schlecht
amiss	verkehrt
amity	Freundschaft
amity	Freundschaftlichkeit
ammeter	Amperemeter
ammeter	Strommesser
ammo	Munition
ammonia	Ammoniak
ammunition	Munition
amnesia	Amnesie
amnesia	Gedächtnisschwund
amnesty	Amnestie
amoeba	Amöbe
amok	Amok
among	unter
among	zwischen
amongst	zwischen
amoral	amoralisch
amorous	verliebt
amorousness	Verliebtheit
amorphous	amorph
amorphous	formlos
amorphous	unkristallinisch
amount	Betrag
amount	Menge
amount	Summe
amount	betragen
amounts	Beträge
amounts	beträgt
ampersand	Kaufmanns-Und
amphibian	Amphibie
amphibian	amphibisch
