hatch	schraffieren
hatchback	Fließheck
hatchback	Hecktür
hatchback	Steilheck
hatchery	Brutplatz
hatchet	Beil
hatchet	Kriegsbeil
hatching	Schraffierung
hatching	ausbrütend
hate	Hass
hate	hassen
hated	gehasst
hated	hasste
hateful	verabscheut
hateful	verhasst
hatefulness	Gehässigkeit
hatefulness	Verhasstheit
hater	Hasser
hates	hasst
hatred	Hass
hats	Hüte
haughtiness	Hochmut
haughtiness	Stolz
haughty	hochmütig
haughty	stolz
haul	Ausbeute
haul	Fang
haul	Fischzug
haul	Gütertransport
haul	Lastbeförderung
haul	schleppen
haul	transportieren
haul	ziehen
haulage	Schleppen
hauler	Schlepper
haulier	Frachtführer
haulier	Spediteur
haulier	Transporteur
haulier	Transportfirma
haulier	Transportunternehmer
haunch	Hüfte
haunch	Lende
haunt	aufsuchen
haunt	verfolgen
have	habe
have	haben
have	worden
haven	Zufluchtsort
havens	Häfen
havens	Zufluchtsorte
haversack	Brotbeutel
having	habe
having	habend
having	nachdem
havoc	Verwüstung
hawk	Falke
hawk	Habicht
hawk	hausieren
hawkshaw	Detektiv
hawthorn	Hagedorn
hawthorn	Weißdorn
hay	Heu
haycock	Heuhaufen
hayloft	Heuboden
haystack	Heuhaufen
haystack	Heuschober
haystack	Pfostenspeicher
haywire	baufällig
haywire	kaputt
haywire	übergeschnappt
hazard	Gefahr
hazard	Gefährdung
hazard	Risiko
hazard	Zufall
hazardous	riskant
hazards	Zufälle
haze	Dunst
haze	Dunstschleier
haze	Nebel
haze	Schleier
haze	schikanieren
hazel	Haselnussstrauch
hazel	haselnussbraun
hazel	nussbraun
haziness	Unschärfe
haziness	Verschwommenheit
hazy	dunstig
hazy	nebelhaft
hazy	verschwommen
he	er
head	Chef
head	Haupt
head	Kesselboden
head	Kopf
head	Oberhaupt
head	Stück
headache	Brummschädel
headache	Kopfschmerz
headache	Kopfweh
headaches	Kopfschmerzen
headaches	Sorgen
headband	Stirnband
headdress	Frisur
header	Dateikopf
header	Kennsatz
header	Kopfsprung
header	Kopfzeile
headgear	Kopfbedeckung
headgear	Zaumzeug
heading	Ansetzungsform
heading	Bugrichtung
heading	Kopf
heading	Rubrik
heading	Titel
heading	Überschrift
headless	kopflos
headlight	Scheinwerferlicht
headline	Kopfzeile
headline	Schlagzeile
headline	Titelzeile
headline	Überschrift
headlines	Schlagzeilen
headlong	kopfüber
headman	Führer
headmaster	Direktor
headmaster	Rektor
headmistress	Direktorin
headphone	Kopfhörer
headphones	Kopfhörer
headquarters	Hauptquartier
headquarters	Leitstelle
headquarters	Stabsquartier
heads	Köpfe
headset	Kopfhörer
headsman	Scharfrichter
headstall	Halfter
headstone	Grundstein
headstrong	eigensinnig
headwaiter	Oberkellner
headway	Fortschritt
headway	Vorwärtsfahrt
headwind	Gegenwind
headword	Stichpunkt
headword	Stichwort
heady	voreilig
heal	abheilen
heal	heilen
heal	verheilen
healed	abgeheilt
healed	geheilt
healed	verheilte
healer	Heiler
healer	Heilpraktiker
healing	abheilend
healing	heilend
healing	verheilend
heals	heilt
heals	verheilt
health	Gesundheit
health	Gesundheitszustand
healthful	gesund
healthful	heilsam
healthier	gesünder
healthily	gesund
healthily	gesundes
healthy	gesund
healthy	gesünder
healthy	wohlbehalten
heap	Halde
heap	Haufen
heap	Menge
heap	häufen
heaps	häuft
heard	gehört
heard	hörte
heard	vernahm
hearer	Hörer
hearer	Zuhörer
hearing	Gehör
hearing	Hearing
hearing	hörend
hearken	horchen
hears	hört
hears	vernimmt
hearsay	Hörensagen
hearse	Bestattungswagen
hearse	Leichenwagen
heart	Herz
heart	Herzstück
heartache	Herzleiden
heartache	Herzschmerz
heartache	Kummer
heartbeat	Herzschlag
heartbreak	Herzeleid
heartbreaking	herzzerbrechend
heartbroken	gebrochen
heartburn	Sodbrennen
heartening	ermutigend
heartfelt	tiefgefühlt
hearth	Feuerstelle
