ingredient	Inhaltsstoff
ingredients	Bestandteile
ingredients	Inhaltsstoffe
ingredients	Zutaten
ingress	Eintritt
ingress	Zugang
ingress	Zutritt
inhabit	bewohnen
inhabitable	bewohnbar
inhabitant	Bewohner
inhabitant	Einwohner
inhabitants	Einwohner
inhabited	bewohnte
inhalation	Inhalation
inhale	einatmen
inhale	inhalieren
inherent	eingewurzelt
inherent	inhärent
inherit	beerben
inherit	erben
inherit	mitschleppen
inheritable	vererbbar
inheritance	Erbe
inheritance	Erbschaft
inherited	ererbte
inherited	geerbt
inherited	mitgeschleppt
inherited	mitgeschleppter
inheritor	Erbe
inheritress	Erbin
inhibit	blockieren
inhibit	hemmen
inhibit	hindern
inhibit	sperren
inhibition	Hemmung
inhibition	Sperrung
inhibition	Unterdrückung
inhibitor	Hemmstoff
inhomogeneity	Inhomogenität
inhomogeneity	Ungleichartigkeit
inhomogeneous	inhomogen
inhospitable	ungastlich
inhospitable	unwirtlich
inhospitableness	Ungastlichkeit
inhuman	menschenverachtend
inhuman	unmenschlich
inhumane	unmenschlich
inhumanity	Grausamkeit
inhume	beerdigen
inimical	feindlich
inimical	schädlich
inimitable	einzigartig
inimitable	unnachahmlich
iniquitous	ungerecht
iniquity	Frevel
iniquity	Ungerechtigkeit
initial	Anfang
initial	Anfangs...
initial	Initiale
initial	anfänglich
initially	anfänglich
initially	zuerst
initially	zunächst
initiate	anbahnen
initiate	anlaufen
initiate	anstoßen
initiate	auslösen
initiate	beginnen
initiate	einführen
initiate	initiieren
initiation	Anbahnung
initiation	Anstoß
initiation	Einleitung
initiation	Einweihung
initiation	Initiation
initiation	Initiierung
initiative	Entschlusskraft
initiative	Initiative
initiative	Unternehmungsgeist
initiator	Urheber
inject	einimpfen
inject	einspeisen
inject	einspritzen
inject	injizieren
inject	spritzen
injection	Injektion
injector	Dampfstrahlpumpe
injector	Einspritzventil
injudicious	unüberlegt
injudiciousness	Unüberlegtheit
injure	beschädigen
injure	verletzen
injured	beschädigt
injured	verletzte
injurious	schädlich
injury	Beschädigung
injury	Rechtsverletzung
injury	Verletzung
injustice	Ungerechtigkeit
ink	Tinte
inkling	Andeutung
inkstand	Tintenfass
inkwell	Tischtintenfass
inland	Binnenland
inlay	Einlegearbeit
inlay	Einschluss
inlay	Intarsia
inlay	Marqueterie
inlet	Ansaugung
inlet	Eingang
inlet	Einlass
inmate	Insasse
inmost	innerst
inn	Gasthaus
inn	Gasthof
inn	Wirtshaus
innards	Innereien
innate	angeboren
innate	angeborene
inner	Innen...
inner	innere
inner	innerlich
innermost	innerst
innervate	anregen
innervate	kräftigen
innkeeper	Gastwirt
innocence	Arglosigkeit
innocence	Unschuld
innocent	ahnungslos
innocent	unschuldig
innocent	züchtig
innocuous	harmlos
innocuousness	Unbedenklichkeit
innocuousness	Unschädlichkeit
innovation	Neuerung
innovations	Neuerungen
innovative	innovativ
innovative	neu
innovative	neuartig
innovator	Erfinder
innovator	Innovator
innovator	Neuerer
innovator	Schrittmacher
innovator	Vorkämpfer
innovator	Wegbereiter
innoxious	unschädlich
innuendo	Anspielung
innumerable	unzählig
innumerable	unzählige
inoculate	einimpfen
inoculate	impfen
inoculation	Impfung
inoffensive	harmlos
inoffensiveness	Harmlosigkeit
inoperable	funktionslos
inoperable	inoperabel
inoperable	unklar
inoperative	funktionsunfähig
inoperative	ruhend
inoperative	ruhendes
inoperative	stillgelegt
inopportune	unangebracht
inordinate	unmäßig
inordinate	übermäßig
inorganic	unorganisch
input	Eingabe
input	Einspeisung
input	eingeben
inquest	Untersuchung
inquietude	Unruhe
inquirer	Anfragende
inquirer	Forscher
inquirer	Fragende
inquirer	Fragesteller
inquirer	Untersuchender
inquisition	Untersuchung
inquisitive	neugierig
inquisitive	wissbegierig
inquisitiveness	Wissbegierde
inquisitor	Untersuchungsbeamte
inroad	Überfall
inroad	Übergriff
inrush	Zustrom
insalubrious	ungesund
insane	geistesgestört
insane	wahnsinnig
insanely	unsinnig
insanely	wahnsinnig
insanitary	ungesund
insanity	Irrsinn
insanity	Wahnsinn
insatiability	Unersättlichkeit
insatiable	unersättlich
inscribe	aufschreiben
inscribe	beschriften
inscription	Aufschrift
inscription	Eintrag
inscription	Inschrift
inscrutability	Unergründlichkeit
inscrutable	undurchschaubar
