inscrutable	unergründlich
insect	Insekt
insecticide	Insektengift
insectivore	Insektenfresser
insectivorous	insektenfressend
insects	Insekten
insecure	unsicher
insecurity	Angst
insecurity	Unsicherheit
inseminate	befruchten
insemination	Besamung
insensate	empfindungslos
insensate	gefühllos
insensibility	Gefühllosigkeit
insensible	unempfindlich
insensible	unempfänglich
insensitive	unempfindlich
insensitiveness	Empfindungslosigkeit
insensitivity	Unempfindlichkeit
inseparability	Untrennbarkeit
inseparable	untrennbar
insert	Einsatz
insert	einfügen
insert	einsetzen
insertion	Einfügung
insertion	Einschub
insertion	Einstich
insertion	Einwurf
inset	Einsatz
inside	Innere
inside	drin
inside	innen
inside	inneres
inside	innerhalb
inside	inwendig
inside	zwischen
insider	Mitglied
insidious	heimtückisch
insidious	hinterlistig
insight	Einblick
insight	Einsicht
insight	Erkenntnis
insight	Verständnis
insignia	Abzeichen
insignia	Insignien
insignia	Rangabzeichen
insignificance	Geringfügigkeit
insignificant	bedeutungslos
insignificant	unbedeutend
insincere	falsch
insincere	unaufrichtig
insincerely	falsch
insincerely	unaufrichtig
insincerity	Unaufrichtigkeit
insinuate	andeuten
insinuation	Andeutung
insipid	fade
insipidity	Geschmacklosigkeit
insist	beharren
insist	bestehen
insist	insistieren
insistent	beharrlich
insistent	hartnäckig
insobriety	Unmäßigkeit
insofar	insofern
insolation	Sonnenbestrahlung
insole	Brandsohle
insolence	Frechheit
insolent	dummdreist
insolent	dummfrech
insolent	frech
insolent	unverschämt
insolent	vorlaut
insolently	frech
insolently	freche
insolently	unverschämt
insolubility	Unlöslichkeit
insoluble	unauflöslich
insoluble	unlöslich
insolvable	unlösliche
insolvency	Insolvenz
insolvency	Zahlungsunfähigkeit
insolvent	zahlungsunfähig
insomnia	Schlaflosigkeit
insouciance	Sorglosigkeit
insouciant	unbekümmert
inspect	beschauen
inspect	inspizieren
inspect	untersuchen
inspected	beschaute
inspected	geprüft
inspection	Abnahme
inspection	Betrachtung
inspection	Einsichtnahme
inspection	Inspektion
inspection	Prüfung
inspection	Sichtung
inspection	Überprüfung
inspector	Aufseher
inspector	Beschauer
inspector	Kontrolleur
inspiration	Eingebung
inspiration	Inspiration
inspire	anregen
inspire	begeistern
inspired	angeregt
inspired	genial
inspired	inspirierte
inspiring	anregend
inspirit	beleben
instability	Haltlosigkeit
instability	Instabilität
instability	Labilität
instability	Unbeständigkeit
instable	unsicher
install	einbauen
install	installieren
install	montieren
installation	Einbau
installation	Einrichtung
installation	Installierung
installations	Einbauten
installations	Installationen
installing	Installation
installing	installierend
instance	Beispiel
instance	Exemplar
instance	Fall
instance	Gelegenheit
instance	Inkarnation
instance	Instanz
instance	Vorgang
instancy	Dringlichkeit
instant	Augenblick
instant	Moment
instant	augenblicklich
instant	sofort
instant	tafelfertig
instantaneous	augenblicklich
instantaneous	momentan
instantaneous	sofort
instantaneous	unverzüglich
instantaneously	sofort
instantly	augenblicklich
instantly	sogleich
instantly	unverzüglich
instate	einsetzen
instead	anstelle
instead	stattdessen
instep	Rist
instep	Spann
instigate	anstiften
instigate	anzetteln
instigated	angestiftet
instigation	Anstiftung
instigator	Anstifter
instigator	Impulsgeber
instill	einträufeln
instinct	Instinkt
instinctive	instinktiv
instinctive	instinktmäßig
instinctual	instinktiv
instinctual	instinktmäßig
institute	Anstalt
institute	Institut
institute	einrichten
institute	gründen
institution	Anstalt
institution	Einrichtung
instruct	anleiten
instruct	beauftragen
instruct	belehren
instruct	einleiten
instruct	einweisen
instruct	informieren
instruct	instruieren
instruct	unterrichten
instruct	unterweisen
instruction	Anleitung
instruction	Anordnung
instruction	Anweisung
instruction	Auftrag
instruction	Ausbildung
instruction	Befehl
instruction	Unterricht
instructions	Anleitungen
instructions	Anweisungen
instructions	Befehle
instructions	Handlungsanweisungen
instructions	Merkblatt
instructions	Vorschriften
instructive	aufschlussreich
instructive	belehrend
instructive	lehrreich
instructor	Lehrer
instrument	Handelspapier
instrument	Instrument
instrument	Werkzeug
instrument	Wertpapier
instrumental	instrumentell
