apposition	Hinzufügung
appraisal	Abschätzung
appraisal	Auswertung
appraisal	Begutachtung
appraisal	Bewertung
appraisal	Schätzung
appraise	abschätzen
appraise	auswerten
appraise	bewerten
appraise	schätzen
appraise	taxieren
appraisement	Schätzung
appraisement	Zollbewertung
appraiser	Schätzer
appreciable	merkbar
appreciable	merklich
appreciable	nennenswert
appreciably	beträchtlich
appreciably	deutlich
appreciably	merkbar
appreciably	merklich
appreciably	nennenswert
appreciably	spürbar
appreciate	goutieren
appreciate	schätzen
appreciate	würdigen
appreciated	geschätzt
appreciated	gewürdigt
appreciated	schätzte
appreciated	würdigte
appreciation	Aufwertung
appreciation	Dankbarkeit
appreciation	Schätzung
appreciation	Wertsteigerung
appreciation	Würdigung
appreciative	anerkennend
appreciatory	anerkennend
apprehend	erfassen
apprehend	verstehen
apprehend	wahrnehmen
apprehensible	begreiflich
apprehension	Ahnung
apprehension	Angst
apprehension	Befürchtung
apprehension	Begreifen
apprehension	Besorgnis
apprehension	Fassungsgabe
apprehension	Verstand
apprehension	Vorahnung
apprehensive	bedenklich
apprehensive	begreifend
apprentice	Lehrling
apprentices	Lehrlinge
apprenticeship	Ausbildung
apprenticeship	Lehre
apprenticeship	Lehrstelle
apprenticeship	Lehrverhältnis
apprenticeship	Lehrzeit
apprise	benachrichtigen
approach	Annäherung
approach	Einführung
approach	Herangehensweise
approach	Herannahen
approach	Kontaktaufnahme
approach	Lösungsvorschlag
approach	Näherung
approach	Verfahrensweise
approach	Versuch
approach	Zugang
approach	Zutritt
approach	anfliegen
approach	annähern
approach	bevorstehen
approach	einfliegen
approach	herannahen
approach	nahen
approachability	Zugänglichkeit
approachable	zugänglich
approaching	anmarschierend
approaching	nähernd
approbation	Billigung
approbation	Genehmigung
approbation	Zustimmung
appropriate	angebracht
appropriate	angemessen
appropriate	annähern
appropriate	einschlägig
appropriate	entsprechend
appropriate	passend
appropriate	sachgemäß
appropriate	zeitgemäß
appropriate	zutreffend
appropriate	zweckentsprechend
appropriately	angemessen
appropriately	angemessene
appropriation	Aneignung
appropriation	Besitznahme
appropriation	Fördermittel
appropriation	Verwendung
approval	Billigung
approval	Genehmigung
approval	Zulassung
approve	billigen
approve	genehmigen
approve	zusagen
approved	bewährt
approved	erprobt
approved	gebilligt
approving	beifällig
approving	billigend
approving	zustimmend
approvingly	zustimmend
approximate	angleichend
approximate	annähern
approximate	annähernd
approximate	nähern
approximated	angenähert
approximated	genähert
approximately	annähernd
approximately	annäherungsweise
approximately	nahezu
approximately	schätzungsweise
approximately	zunächst
approximation	Annäherung
appurtenance	Zubehör
appurtenant	zugehörig
apricot	Aprikose
apricot	Marille
apricots	Aprikosen
apricots	Marillen
apron	Schurz
apron	Schürze
apropos	apropos
apse	Apsis
apt	begabt
apt	geeignet
apt	passend
aptitude	Befähigung
aptitude	Begabung
aptitude	Eignung
aptitude	Neigung
aptness	Geschick
aptness	Neigung
aquamarine	Aquamarin
aquarium	Aquarium
aquatic	Wasser...
aquatic	aquatisch
aqueduct	Aquädukt
aqueduct	Wasserleitung
aqueous	wasserartig
aqueous	wasserhaltig
aqueous	wässerig
aqueous	wässrig
aquifer	Bewässerungssystem
aquifer	Grundwasserleiter
arable	anbaufähig
arable	kulturfähig
arbalest	Armbrust
arbiter	Schiedsmann
arbiter	Schiedsrichter
arbitrage	Arbitrage
arbitrage	Kursunterschied
arbitrariness	Willkür
arbitrary	arbiträr
arbitrary	beliebig
arbitrary	eigenmächtig
arbitrary	eigenwillig
arbitrary	launenhaft
arbitrary	tyrannisch
arbitrary	willkürlich
arbitrator	Schiedsrichter
arc	Bogen
arc	Kreisbogen
arcade	Bogengang
arcade	Säulengang
arcane	geheimnisvoll
arch	Bogen
arch	Fußrücken
arch	Gewölbe
archaeological	archäologisch
archaic	archaisch
archaic	veraltet
archaism	Archaismus
archangel	Erzengel
archbishop	Erzbischof
archbishopric	Erzbistum
archduke	Erzherzog
arched	gewölbt
archenemy	Erzfeind
archeologist	Archäologe
archer	Bogenschütze
archery	Bogenschießen
archetype	Urform
archipelago	Archipel
archipelago	Inselgruppe
architect	Architekt
architect	Architektin
architectural	architektonisch
architecture	Architektur
architecture	Baufach
