libertine	Wüstling
liberty	Freiheit
libido	Libido
librarian	Bibliothekar
librarians	Bibliothekare
librarianship	Bibliothekswesen
libraries	Bibliotheken
libraries	Sammlungen
library	Bibliothek
library	Bücherei
library	Sammlung
libretto	Libretto
libretto	Textbuch
lice	Läuse
licensee	Lizenznehmer
licensee	lizenzieren
licentious	liederlich
licentious	unzüchtig
lichen	Flechte
lichens	Flechten
licit	gesetzmäßig
lick	anlecken
lick	lecken
lick	schlecken
licking	Schleckerei
licking	leckend
licorice	Lakritz
licorice	Lakritze
licorice	Süßholz
lid	Augenlid
lid	Deckel
lid	Lid
lid	Topfdeckel
lido	Strandbad
lids	Deckel
lids	Lider
lie	Lüge
lie	liegen
lied	Kunstlied
lied	gelegt
lied	gelogen
lies	liegt
life	Leben
life	Lebensdauer
life	Standzeit
lifeboat	Rettungsboot
lifeguard	Rettungsschwimmer
lifeguard	Strandwächter
lifeless	leblos
lifelessly	leblos
lifelessly	leblose
lifelike	naturgetreu
lifelong	lebenslänglich
lifespan	Lebenserwartung
lifestyle	Lebensstil
lifetime	Leben
lifetime	Lebensdauer
lifetime	Lebenszeit
lift	Erfolgserlebnis
lift	Fahrstuhl
lift	Hub
lift	Lift
lift	Personenaufzug
lift	aufheben
lift	fördern
lift	heben
lifting	abhebend
lifting	hebend
lifting	straffend
lifts	Aufzüge
lifts	Fahrstühle
lifts	hebt
ligament	Band
ligature	Binde
ligature	Bindung
ligature	Doppelbuchstabe
ligature	Ligatur
ligatures	Binden
light	Licht
light	Lichtschein
light	Schein
light	anzünden
light	beleuchten
light	blond
light	erhellen
light	erleuchten
light	hell
light	leicht
lighten	erhellen
lighten	erleuchten
lighter	Feuerzeug
lighter	Leichter
lighter	Taschenfeuerzeug
lightest	bekömmlichste
lightest	leichteste
lighthearted	fröhlich
lighthouse	Leuchtturm
lighting	Beleuchtung
lightly	leicht
lightness	Helligkeit
lightness	Leichtigkeit
lightness	Niedrigkeit
lightning	Blitz
lightning	Blitzen
lightning	blitzschnell
lights	Beleuchtungen
lights	Lichter
lightweight	Leichtgewicht
lightweight	leicht
ligneous	hölzern
lignite	Braunkohle
likable	liebenswürdig
likable	sympathisch
like	gernhaben
like	gleich
like	goutieren
like	lieben
like	schätzen
like	wie
like	ähnlich
liked	beliebt
liked	gemocht
liked	mochte
likelihood	Wahrscheinlichkeit
likeliness	Wahrscheinlichkeit
likely	gleicht
likely	voraussichtlich
likely	wahrscheinlich
likely	ähnlich
likeness	Ähnlichkeit
likes	mag
likewise	desgleichen
likewise	ebenfalls
likewise	ebenso
likewise	gleichermaßen
likewise	ähnlich
liking	mögend
lilac	Flieder
lilt	trällern
lily	Lilie
limb	Glied
limber	biegsam
limber	locker
limbo	Limbo
limbo	Rumpelkammer
limbo	Schwebezustand
limbs	Gliedmaßen
lime	Kalk
lime	Limette
lime	Limone
lime	Linde
lime	Lindenholz
limekiln	Kalkofen
limestone	Kalk
limestone	Kalkstein
limit	Begrenzung
limit	Grenze
limit	Grenzwert
limit	Obergrenze
limit	befristen
limitation	Befristung
limitation	Begrenzung
limitation	Einschränkung
limitation	Verjährung
limitations	Anwendungsgrenzen
limitations	Begrenzungen
limitations	Beschränktheiten
limited	begrenzt
limited	eingeschränkt
limited	limitiert
limiter	Begrenzer
limiter	begrenzer
limiting	Begrenzung
limiting	begrenzend
limitless	grenzenlos
limitlessness	Unendlichkeit
limousine	Limousine
limp	hinken
limp	lahmen
limp	schlapp
limpid	durchsichtig
limping	hinkend
limping	lahmend
limy	kalkig
linchpin	Achsnagel
linchpin	Lünse
linchpin	Stütze
linchpin	Vorstecker
line	Branche
line	Falte
line	Furche
line	Gleis
line	Grenzlinie
line	Leine
line	Linie
line	Richtung
line	Runzel
line	Schlange
line	Strecke
line	Strich
