orchid	Orchidee
ordain	bestimmen
ordain	ordinieren
ordeal	Feuerprobe
ordeal	Geduldsprobe
ordeal	Marter
ordeal	Prüfung
order	Anordnung
order	Auftrag
order	Befehl
order	Bestellung
order	Kommando
order	Ordnung
order	Reihenfolge
order	anordnen
order	befehlen
order	bestellen
order	gliedern
order	ordnen
ordered	angeordnet
ordered	beauftragt
ordered	befahl
ordered	geordert
ordering	anordnend
ordering	befehlend
ordering	ordernd
orderless	ungeordnet
orderliness	Ordnung
orderliness	Regelmäßigkeit
orderly	geordnet
orderly	ordentlich
orderly	systematisch
orders	Anordnungen
orders	Aufträge
orders	Befehle
ordinance	Anordnung
ordinance	Verordnung
ordinarily	gewöhnlich
ordinarily	gewöhnliche
ordinary	alltäglich
ordinary	gewöhnlich
ordinary	üblich
ordination	Ordination
ordure	Kot
ordure	Schmutz
ore	Erz
oregano	Oregano
organ	Organ
organ	Orgel
organic	biologisch
organic	organisch
organism	Organismus
organist	Organist
organs	Organe
organs	Orgeln
orgasm	Orgasmus
orgy	Orgie
oriel	Erker
orient	Osten
orient	ausrichten
orient	orientieren
oriental	Orientale
oriental	orientalisch
oriental	östlich
orientate	orientieren
orientation	Ausrichtung
orientation	Orientierung
orientation	Richtung
oriented	bezogen
oriented	orientiert
orifice	Ausflussöffnung
orifice	Ausguss
orifice	Blende
orifice	Drosselblende
orifice	Durchgang
orifice	Düse
orifice	Mündung
orifice	Öffnung
origin	Anfang
origin	Ausgangspunkt
origin	Entstehung
origin	Herkunft
origin	Ursprung
original	Original
original	Ur...
original	Ursprungs-
original	original
original	originell
original	originär
original	unbearbeitet
original	ursprünglich
originality	Echtheit
originality	Orginalität
originality	Originalität
originally	originell
originally	ursprünglich
originate	abstammen
originate	entstehen
originate	erzeugen
originate	verursachen
originated	entstanden
originates	entsteht
origination	Veranlassung
originator	Absender
originator	Ausgangspunkt
originator	Erfinder
originator	Erzeuger
originator	Schöpfer
originator	Urheber
oriole	Pirol
ornament	Ornament
ornament	Verzierung
ornament	Zier
ornament	Zierde
ornamental	dekorativ
ornamental	schmückend
ornamentation	Ausschmückung
ornate	kunstvoll
ornate	schnörkelhaft
ornate	verziert
ornithological	ornithologisch
ornithological	ornithologische
ornithological	vogelkundlich
ornithologist	Ornithologe
ornithologist	Vogelkundler
ornithology	Ornithologie
ornithology	Vogelkunde
orphan	Waise
orphan	Waisenkind
orphanage	Waisenhaus
orphaned	verwaist
orphans	Waisen
orthodox	orthodoxe
orthodoxy	Orthodoxie
orthodoxy	Rechtgläubigkeit
orthogonal	orthogonal
orthogonal	rechtwinklig
orthographic	orthographisch
orthography	Orthographie
orthography	Rechtschreibung
oscillate	oszillieren
oscillate	pendeln
oscillate	schwingen
oscillate	vibrieren
oscillation	Schwingung
oscillator	Oszillator
oscillograph	Oszillograph
oscillograph	Schwingungsschreiber
oscilloscope	Oszillograph
oscilloscope	Oszilloskop
osculate	oskulieren
osmium	Osmium
osmotic	osmotisch
osseous	knöchern
ossification	Verknöcherung
ossify	verknöchern
ostensible	angeblich
ostensible	vordergründig
ostensibly	angeblich
ostentation	Schaustellung
ostentation	Zurschaustellung
ostentatious	demonstrativ
ostentatious	ostentativ
ostentatious	prahlerisch
ostentatious	protzend
osteoblast	Knochenbildner
osteopathy	Chiropraxis
osteopathy	Osteopathie
ostrich	Strauß
other	andere
other	anderes
other	anders
other	sonstig
other	zusätzlich
others	andere
otherwise	anderenfalls
otherwise	andernfalls
otherwise	sonst
otiose	müßig
otter	Otter
ouch	autsch
ought	sollte
ounce	Unze
our	unser
ours	unsere
ours	unsers
ourselves	uns
oust	enteignen
oust	verdrängen
out	aus
out	auswärts
out	außerhalb
out	heraus
out	hinaus
outage	Ausfall
outage	Unterbrechung
outbreak	Ausbruch
outbreaks	Ausbrüche
outburst	Ausbruch
outburst	hervorbrechen
