transplantation	Transplantation
transplants	transplantiert
transplants	verpflanzt
transport	Transport
transport	befördern
transport	transportieren
transportable	transportabel
transportation	Beförderungsmittel
transportation	Deportation
transportation	Transport
transportation	Verkehrswesen
transporter	Transporter
transports	Transporte
transports	transportiert
transpose	austauschen
transpose	transponieren
transposition	Austausch
transposition	Transposition
transposition	Umstellung
transposition	Umstimmung
transshipment	Umladung
transversal	Transversale
transversal	schräg
transverse	diagonal
transverse	quer
transverse	querliegend
transverse	schräg
transverse	tranversal
trap	Falle
trap	Fallgrube
trap	abfangen
trap	einfangen
trap	fangen
trap	verschließen
trapdoor	Falltür
trapezoidal	trapezförmig
trapezoidal	trapeziodes
trapezoidal	trapezoid
trappings	Putz
trappings	Rangabzeichen
trappings	Schmuck
trash	Abfall
trash	Kitsch
trash	Müll
trash	Quatsch
trash	Schund
trash	Schundliteratur
trashiness	Wertlosigkeit
trashy	kitschig
trashy	wertlos
trauma	Trauma
traumatic	traumatisch
traumatology	Traumatologie
travel	Fahren
travel	anreisen
travel	reisen
travelogue	Reisebericht
traverse	Polygonzug
traverse	Traverse
traverse	durchfließen
traverse	durchlaufen
traverse	durchqueren
traverse	durchziehen
traverse	kreuzen
traverse	überqueren
travesty	Travestie
trawl	Schleppnetz
trawl	durchforsten
tray	Ablage
tray	Ablagekasten
tray	Tablett
treacherous	heimtückisch
treacherous	trügerisch
treacherous	tückisch
treacherous	verräterisch
treachery	Verrat
treacle	Sirup
treacly	süßlich
treacly	zuckersüß
tread	Gang
tread	Lauffläche
tread	Reifenprofil
tread	Schritt
tread	treten
treason	Landesverrat
treason	Verrat
treasonable	verräterisch
treasonous	verräterisch
treasonous	verräterischen
treasure	Kleinod
treasure	Kostbarkeit
treasure	Schatz
treasure	hegen
treasure	häufen
treasure	pflegen
treasure	sammeln
treasurer	Kassenwart
treasurer	Schatzmeister
treasury	Schatzamt
treasury	Schatzkammer
treasury	Staatskasse
treat	Leckerbissen
treat	Leckerei
treat	Vergnügen
treat	behandeln
treat	betrachten
treat	freihalten
treat	unterhandeln
treating	behandelnd
treatise	Abhandlung
treatment	Behandlung
treatment	Verfahren
treatments	Behandlungen
treats	behandelt
treaty	Abkommen
treaty	Staatsvertrag
treaty	Vertrag
treaty	Übereinkommen
treble	Höhen(regler)
treble	dreifach
treble	verdreifachen
tree	Baum
trees	Bäume
trefoil	Klee
trefoil	Kleeblatt
trek	Treck
tremble	bangen
tremble	erschauern
trembling	bangend
trembling	zitternd
trembling	zitternde
tremendous	furchtbar
tremendous	fürchterlich
tremendous	gewaltig
tremendous	toll
tremendous	ungeheuer
tremendously	furchtbar
tremendously	fürchterlich
tremendously	gewaltig
tremendously	ungeheuer
tremor	Beben
tremor	Erdbeben
tremor	Zittern
tremor	Zucken
tremulous	bebend
tremulous	furchtsam
tremulous	zitternd
trench	Graben
trench	Schützengraben
trench	ausheben
trench	graben
trench	zerfurchen
trenchancy	Schärfe
trenchant	scharf
trencherman	Esser
trend	Richtung
trend	Tendenz
trend	Trend
trendy	poppig
trendy	schick
trendy	trendig
trepidation	Angst
trepidation	Zittern
trespass	Besitzstörung
trespass	Hausfriedensbruch
trespass	Vergehen
trespass	Verstoß
trespass	Übergriff
trespass	Übertretung
trespasser	Übertreter
tress	Flechte
tress	Locke
trestle	Gerüst
triad	Triade
trial	Erprobung
trial	Probe
trial	Probeversuch
trial	Prozess
trial	Prüfung
trial	Untersuchung
trial	Verhandlung
trial	Versuch
triangle	Dreieck
triangle	Dreikant
triangles	Dreiecke
triangular	dreieckig
tribe	Sippe
tribe	Sitte
tribe	Stamm
tribes	Stämme
tribes	Volksstämme
tribulation	Drangsal
tribunal	Strafgericht
tributary	Nebenfluss
tributary	abhängig
tribute	Abgabe
trick	Kniff
trick	Kunst
trick	Kunstgriff
trick	Kunststück
