utterance	Äußerung
utterances	Äußerungen
utterer	Verbreiter
utterly	absolut
uttermost	äußerst
uvula	Gaumenzäpfchen
uvula	Zäpfchen
vac	Semesterferien
vacancy	Leere
vacancy	Lücke
vacant	leer
vacant	unbesetzt
vacant	vakant
vacantly	leer
vacate	entleeren
vacate	freimachen
vacation	Ferien
vacation	Semesterferien
vacation	Urlaub
vacationer	Urlauber
vacationist	Urlauber
vaccinate	impfen
vaccinated	geimpft
vaccinated	impfte
vaccination	Impfung
vaccine	Impfstoff
vaccine	Schutzstoff
vacillate	schwanken
vacillation	Unschlüssigkeit
vacuity	Leere
vacuous	leer
vacuum	Leerraum
vacuum	Unterdruck
vacuum	Vakuum
vagabond	Landstreicher
vagabond	Strolch
vagarious	launisch
vagary	Einfall
vagary	Laune
vagary	Schrulle
vagina	Scheide
vaginal	vaginal
vagrancy	Landstreicherei
vagrant	unstet
vagrant	wandernd
vague	undeutlich
vague	unklar
vague	vage
vaguely	undeutlich
vaguely	undeutliche
vaguely	unklar
vagueness	Verschwommenheit
vagueness	Verschwommenheiten
vain	eingebildet
vain	vergeblich
vainglorious	prahlerisch
vainglory	Prahlerei
vainly	eingebildet
vainly	eitel
vainly	vergeblich
vale	Lebewohl
vale	Tal
valediction	Abschied
valence	Valenz
valence	Wertigkeit
valency	Wertigkeit
vales	Täler
valet	Diener
valet	Kammerdiener
valetudinarian	kränklich
valiant	tapfer
valid	gültig
valid	rechtsgültig
valid	zulässig
validate	bestätigen
validate	validieren
validate	überprüfen
validation	Bereinigung
validation	Bestätigung
validation	Gültigkeitsprüfung
validation	Validierung
validation	Überprüfung
validity	Aussagekraft
validity	Beweiskraft
validity	Gültigkeit
valley	Dachkehle
valley	Tal
valleys	Täler
valorous	tapfer
valuable	wertvoll
valuables	Kostbarkeiten
valuables	Preziosen
valuables	Wertsachen
valuation	Bewertung
valuation	Schätzung
valuation	Wertung
value	Wert
value	bewerten
value	schätzen
valued	bewertet
valueless	wertlos
values	Werte
valve	Elektronenröhre
valve	Radioröhre
valve	Ventil
valves	Ventile
valvular	klappenförmig
vampire	Vampir
van	Lastwagen
van	Lkw
van	Möbelwagen
vanadium	Vanadium
vandalism	Vandalismus
vandalism	Zerstörungswut
vane	Luftleitblech
vane	Wetterfahne
vane	Windfahne
vanguard	Vorhut
vanguard	Vortrupp
vanilla	Vanille
vanish	verschwinden
vanished	entschwand
vanished	verschwunden
vanishes	verschwindet
vanity	Aufgeblasenheit
vanity	Egoismus
vanity	Einbildung
vanity	Eitelkeit
vanquish	besiegen
vanquish	überwinden
vanquished	besiegte
vanquisher	Sieger
vantage	Vorteil
vapid	fad
vapid	flach
vapidness	Fadheit
variability	Variabilität
variability	Veränderlichkeit
variable	Größe
variable	Platzhalter
variable	Variable
variable	variabel
variableness	Veränderlichkeit
variance	Abweichung
variance	Varianz
variance	Veränderung
variant	abweichend
variation	Abwandlung
variation	Abweichung
variation	Mannigfaltigkeit
variation	Variation
variation	Veränderung
variation	Wechsel
varicose	varikös
varied	variiert
varied	verschieden
varied	verändert
varied	wechselvoll
variegated	belebt
variegated	belebte
varieties	Abarten
varieties	Unterschiede
varieties	Verschiedenheiten
variety	Art
variety	Auswahl
variety	Mannigfaltigkeit
variety	Sorte
variety	Verschiedenheit
variety	Vielfalt
various	allerlei
various	diverse
various	mannigfaltig
various	verschieden
various	verschiedenartig
various	verschiedene
various	viele
varlet	Knappe
varnish	Lack
varnisher	Lackierer
vary	abwandeln
vary	schwanken
vary	variieren
varying	abweichend
varying	uneinheitlich
varying	variierend
varying	verschieden
varying	verändernd
vase	Vase
vaseline	Vaselin
vases	Vasen
vassal	Vasall
vassalage	Vasallentum
vast	ausgedehnt
vast	gewaltig
vast	unüberschaubar
vastly	gewaltig
vastness	Weite
vat	Bütte
vat	Fass
vat	Mehrwertsteuer
