cloister	Kreuzgang
cloistral	klösterlich
clone	Clone
clone	Nachbau
clone	entwerfen
clone	erzeugen
clone	klonen
clone	nachbilden
clone	nachmachen
clone	verändern
close	Handgemenge
close	abschließen
close	schließen
close	zumachen
closed	eingestellt
closed	geschlossen
closed	gesperrt
closefisted	geizig
closely	dicht
closely	eng
closeness	Geschlossenheit
closeness	Nähe
closest	nächste
closet	Kabinett
closing	Schließen
closing	Schluss
closing	scheidend
closing	schließend
closure	Ende
closure	Schließ...
closure	Schluss
closure	Verschließung
closure	Verschluss
closure	schließen
closure	verschließen
closures	Verschließungen
closures	Verschlüsse
clot	Klumpen
clot	Klümpchen
clot	Pfropf
cloth	Lappen
cloth	Leinen
cloth	Stoff
cloth	Tischtuch
cloth	Tuch
clothe	bekleiden
clothe	einkleiden
clothe	kleiden
clothed	bekleidete
clothed	gekleidet
clothes	Garderobe
clothes	Kleider
clothes	Kleidung
clothes	Wäsche
clothesline	Wäscheleine
clothing	Klamotten
clothing	Kleidung
clothing	bekleidend
clotted	geronnen
clotting	Gerinnung
clotting	gerinnend
cloud	Schatten
cloud	Wolke
cloud	trüben
cloudburst	Platzregen
cloudburst	Wolkenbruch
clouded	bewölkt
cloudiness	Bewölkung
cloudless	wolkenlos
clouds	Bewölkung
clouds	Gewölk
clouds	Wolken
cloudy	bewölkt
cloudy	trüb
cloudy	wolkig
clout	Einfluss
clout	Kopfnuss
clout	Lappen
clout	Schlag
clout	Schlagkraft
clove	Gewürznelke
cloven	gespalten
cloven	gespaltet
clover	Klee
clown	Clown
clown	Faxenmacher
clownish	närrisch
clownish	plump
club	Club
club	Keule
club	Klub
club	Knüppel
club	Polizeiknüppel
club	Sozietät
club	Verein
cluck	locken
clue	Anhaltspunkt
clue	Hinweis
clueless	ratlos
clues	Anhaltspunkte
clues	Hinweise
clump	Batzen
clump	Klumpen
clumsiness	Tölpelei
clumsiness	Unbeholfenheit
clumsiness	Ungeschick
clumsy	schwerfällig
clumsy	unbeholfen
cluster	Anhäufung
cluster	Cluster
cluster	Diskettenbereich
cluster	Gruppe
cluster	Haufen
cluster	anhäufen
cluster	gruppieren
clutch	Gelege
clutch	Schar
clutch	festhalten
clutter	Stördaten
clutter	Wirrwar
clutter	Wirrwarr
coach	Kutsche
coach	Personenwagen
coach	Reisebus
coach	Repetitor
coach	Trainer
coach	Wagen
coachman	Kutscher
coagulant	Gerinnungsmittel
coagulant	Verdichter
coagulate	gerinnen
coagulation	Gerinnen
coagulation	Gerinnung
coal	Kohle
coal	Steinkohle
coalesced	vereinigte
coalesced	verschmolzen
coalescence	Vereinigung
coalition	Koalition
coalition	Vereinigung
coarse	grob
coarse	roh
coarse	ungeschliffen
coarsely	grob
coarsely	ungehobelt
coarseness	Unebenheit
coarseness	Ungeschliffenheit
coast	Küste
coaster	Küstenfahrer
coaster	Untersetzer
coat	Anstrich
coat	Belag
coat	Decke
coat	Fell
coat	Hülle
coat	Jacke
coat	Jackett
coat	Lage
coat	Mantel
coat	Pelz
coat	Schicht
coat	anstreichen
coat	beschichten
coat	umkleiden
coat	überstreichen
coat	überziehen
coated	bedeckt
coating	Anstrich
coating	Auflage
coating	Belag
coating	Beschichtung
coating	Lack
coating	Mantelstoff
coating	Panade
coating	Überzug
coatings	Beläge
coatings	Überzüge
coauthor	Mitverfasser
coax	Koaxialkabel
coax	schmeicheln
coaxer	Schmeichler
coaxial	Koaxial...
coaxial	koaxial
cobalamin	Kobalamin
cobalt	Kobalt
cobble	flicken
cobble	schustern
cobbler	Flickschuster
cobbler	Schuster
cobblestone	Kopfsteinpflaster
cobblestone	Stümper
cobra	Brillenschlange
cobweb	Spinnengewebe
cobweb	Spinnennetz
cobweb	Spinnwebe
cocaine	Kokain
coccyx	Steißbein
cock	Gockel
cock	Hahn
cockade	Kokarde
