agglomerate	aufhäufen
agglomeration	Anhäufung
agglomeration	Ballung
agglomeration	Ballungsraum
agglutinate	verbinden
agglutination	Klumpen
aggravate	erschweren
aggravate	verschlimmern
aggravate	verschärfen
aggravating	erschwerend
aggravating	gravierend
aggravation	Verschlimmerung
aggravation	Ärger
aggregate	Aggregat
aggregate	Gesamtmenge
aggregate	Summe
aggregate	aggregieren
aggregate	ansammeln
aggregation	Aggregation
aggregation	Gruppierung
aggression	Aggression
aggression	Angriff
aggression	Überfall
aggressions	Angriffe
aggressive	aggressiv
aggressive	angriffslustig
aggressiveness	Angriffslust
aggressor	Angreifer
aggrieve	kränken
aggrieved	betrübt
aggrieved	gekränkt
aghast	bestürzt
aghast	entgeistert
agile	agil
agile	beweglich
agile	gelenkig
agile	lebhaft
agile	wendig
agility	Behändigkeit
agility	Gewandtheit
agility	Lebendigkeit
agio	Agio
agio	Aufgeld
agio	Aufpreis
agitate	aufregen
agitate	aufrühren
agitate	beunruhigen
agitate	erschüttern
agitate	schütteln
agitated	aufgeregt
agitated	gehandelt
agitation	Agitation
agitation	Angst
agitation	Beunruhigung
agitation	Tätigkeit
agitator	Anstifter
agitator	Scharfmacher
agitator	Unruhestifter
ago	vor
ago	vorher
agog	gespannt
agony	Angst
agony	Qual
agony	Todeskampf
agoraphobia	Platzangst
agrarian	Agrar...
agrarian	landwirtschaftlich
agree	beipflichten
agree	zustimmen
agree	übereinstimmen
agreeable	angenehm
agreeable	umgänglich
agreed	abgesprochen
agreed	einig
agreed	vereinbart
agreed	zugestimmt
agreement	Abkommen
agreement	Einigung
agreement	Verabredung
agreement	Vereinbarung
agreement	Vertrag
agreement	Zustimmung
agreement	Übereinkunft
agreement	Übereinstimmung
agricultural	ackerbautreibend
agricultural	landwirtschaftlich
agriculture	Ackerbau
agriculture	Landwirtschaft
agriculturist	Landwirt
agronomy	Agrarwissenschaft
ahead	geradeaus
ahead	oben
ahead	voraus
ahead	vorn
ahead	vorne
aid	Beihilfe
aid	Hilfe
aid	Hilfsmittel
aid	Mithilfe
aid	beispringen
aid	helfen
aide	Helfer
aided	geholfen
aided	unterstützt
ail	kränkeln
ail	plagen
aileron	Querruder
ailing	kränkelnd
ailing	leidend
ailment	Leiden
ailment	Unpässlichkeit
aim	Ziel
aim	Zweck
aim	beabsichtigen
aimless	ziellos
aims	Ziele
air	Aussehen
air	Lied
air	Luft
air	Miene
air	Pose
air	Weise
air	lüften
aircraft	Fluggerät
aircraft	Flugsystem
aircraft	Flugzeug
aircraft	Luftfahrzeug
airdrome	Flughafen
airfield	Flugfeld
airfield	Flugplatz
airfields	Flugplätze
airflow	Luftführung
airflow	Luftstrom
airgun	Luftgewehr
airing	Lüftung
airless	luftlos
airlift	Luftbrücke
airmail	Luftpost
airman	Flieger
airport	Flughafen
airship	Luftschiff
airship	Zeppelin
airsickness	Flugkrankheit
airsickness	Luftkrankheit
airspace	Luftraum
airtight	luftdicht
airworthiness	Luftfahrttauglichkeit
airworthiness	Lufttüchtigkeit
airy	luftig
airy	lässig
aisle	Seitenschiff
akin	anverwandt
akin	verwandt
akin	ähnlich
alabaster	Alabaster
alacrity	Bereitwilligkeit
alacrity	Eifer
alarm	Alarm
alarm	Sorge
alarm	Warneinrichtung
alarm	alarmieren
alarm	beunruhigen
alarm	ängstigen
alarming	alarmierend
alarming	bedenklich
alarming	besorgniserregend
alarmist	Panikmacher
alas	leider
albeit	obgleich
albite	Natronfeldspat
album	Album
albumen	Eiweiß
albumin	Eiweiß
albumin	Eiweiße
albuminous	eiweißhaltig
alcohol	Alkohol
alcoholic	Alkoholiker
alcoholic	alkoholisch
alcoholic	alkoholische
alcoholism	Alkoholsucht
alcoholism	Trunksucht
alcove	Nische
aldehyde	Aldehyd
alder	Erle
alder	Erlenholz
alderman	Stadtrat
ale	Bier
alehouse	Bierschenke
alert	Alarm
alert	Alarmruf
alert	Warnton
alert	alarmieren
alert	wach
alert	wachsam
alertly	wachsam
alertly	wachsame
alertness	Wachheit
alertness	Wachsamkeit
algae	Algen
algebraic	algebraisch
