magnetize	balanion
magnificent	tuman kadungganon
magnificent	tumanskatahum
maid	babae
maid	dalagita
maid	ssuluguon
maidenly	mabuyaon
maidenly	matahapon
mail	koreo
mail	magassulat
mail order	kreo
mail order	palanagtagan-sulat
main	kalalawran
main	tig-una
mainstay	tagsakdag
maintain	maginakup
maintain	magsakdag
maintenance	ginasagud
maintenance	sustento
majestic	dungganon
majestic	lutaw
majesty	kadungganan
majesty	kalutawan
major	kapinsang dinakoan
major	komandante
majority	kadamoan
make	humanon
make	magbuhat
make	pagkabuhat
make	sari
maker	tagbuhat
makeshift	tigtalal-us
make-up	make-up
make-up	maninguha
make-up	smagpaanyag
malcontent	di-naayawan
male	lalaki
malediction	sulubulon
malediction	sulumpaon
malefactor	dalakpon
malefactor	kriminal
man	dumalahan
man	lalaki
man	tao
manage	pagadumalahan
manage	tatapon
manager	manogtatap
mandate	mando
mandate	sugo
mangle	lapalapaon
mangrove	bakhawan
manhood	pagkahamtongs (lalaki)
manicurist	manikurista
manicurist	tagtatapkuko
manifest	minipesto
manifest	pabutyag
manifold	madamo
manifold	sarisari
manipulate	hinikutanssa kamut
manipulate	maniobra
mankind	pagkataohanon
manner	pinanilagan
manner	tinun-an
mansion	puly-anan
manslaughter	di-hungodsnga pagpatay
mantle	mantil
manual	hilikutonssa kamut
manufacture	dawdaw
manufacture	magdawdaw
manufacture	magprodukto
manufacture	produkto
many	madamo
map	mapa
marble	marmol
March	martsa
mare	kabayosnga babae
margin	higad
margin	kilid
marital	natungodssa pag-asawahay
mark	marka
mark	stimbre
mark	tanda
market	ibaligya
market	itinda
market	merkado
market	tindahan
marriabeable	panahonssang pagpahgasawa
marriage	kasal
marriage	pag-asawahay
martyr	martir
marvelous	katingalahan
masculine	panglalaki
mask	maskara
mason	kantero
mason	manogkalapatisemento
masonic	natungodssa mga Mason
masquerade	kispras
masquerade	saputssa saut nga di-makilal-an
Mass	misa
massacre	patyon
master	agalon
master	agalon
master	stun-an
master	ulo
master	ulo
masthead	palossang bapor
masthead	tig-ulong dinalan sang pamantalaan
mat	banig
mat	pahiran
match	ibagay
match	isibu
match	posporo
mate	asawa
mate	kaupod
mate	opisyalssa bapor
material	kasangkapan
materialistic	kapinsang paghandum sa pilak
materialize	katabo
materialize	mamatud-an
matter	butang
matter	kasaba
matter	pamalibad
matter	sbutang
matter	unod
mattress	kutson
mature	bangkalawagon
mature	gulang
mature	sibussa gualang
maturity	kapanahonan
maturity	tigpanahon
maul	bayhon
maul	dukdukon
maxim	hurubaton
May	Mayo
maybe	ayhan
maybe	basispa lang
Mayflower	Bulakssa Mayo
mayor	alkalde
maze	katingalahan
me	ako
me	sasakon
meadow	halalban
meadow	patag
meadowy	madamongshilamon
meadowy	patag
meal	pagkaon
mean	bastos
mean	malwan
meandering	palikuliku
meaning	kahulogan
meantime	samtangsnga
meanwhile	samtangssa
measles	tipdas
measly	makahuluya
measure	sukbon
measure	takson
measure	takus
measure	talaksan
meat	karne
mechanic	mekaniko
mechanic	natungodssa makina
medal	medalya
meddle	pag-pahilabot
meddling	pahilabtan
mediation	pagpasibusibu
medicine	bulong
mediun	kasarangan
mediun	paagi
meek	mabuot
meek	mahagup
meet	magkitaay
meet	magtaboay
meeting	miting
meeting	pulongpulong
melancholic	masinulub-on
melody	melodiya
melt	tunawon
melting	tunawan
member	katapo
membership	pagtapo
membrane	lanyatlanyat
memorial	handumanan
memorize	isaulo
memory	handumanan
menace	katalagman
mend	kaayohon
mendacious	malikumon
mendicant	nagapakilimos
mendicant	pobre
mention	hinambitan
mercenary	makipilak
merchandise	balaligya
merchandise	inogtinda
merchant	mamaligya
merchant	negosiante
merciful	maawaon
merciful	maluluy-on
merciless	wala'yskaawa
mercy	awa
mercy	kaluoy
