oppose	sumpongon
opposite	kabatuk
opposite	katimbang
opposition	kaaway
opposition	katusay
oppressed	lupigon
oppressed	muli-muli
oppression	pagkalupig
oppression	pagmulimuli
optical	natungodssa mata
optician	manogbulongssang panulok
or	ukon
oracle	manoghimalad
oracle	orakulo
oral	mitlang
oral	oral
orally	pagmitlang
orange	duagskabugaw
orange	kabugaw
oraring	nagangurob
oraring	nguroban
oration	malahalonsnga pamulongpulong
oration	orasyon
orchard	lagwerta
orchard	talamnan
orchid	sarissang lulak nga matahum kaayo
ordain	isugo
ordain	ordenan
ordain	sipabuot
ordeal	paantus
order	imando
order	isugo
order	mando
order	sugo
orderly	mahipid
ordinance	kasugoan-banwa
ordinance	ordinansa
ordinary	kinaugali
ordinary	ordinaryo
ordinary	spasagi
organ	organo
organist	organista
organization	katilingban
organization	organisasyon
organize	magtilingub
organize	magtukod
orgy	pagpahubog
orgy	pagtuo
orient	sidlangan
original	kinaugalingon
original	orihinal
orphan	ilo
orphan	wala'ysginikanan
orphanage	balayalaypan
osculate	manghaluk
other	ibanspa
otherwise	kondi
ought	dapat
ought	kinahanglan
ounce	ikanapulo'gsanum ka bahin sang isa ka libra
ounce	onsa
our	amon
our	aton
ours	sa aton
ours	sasamon
ourselves	sasaton kaugalingon
oust	pahalinon
ousted	pinahalin
out	sagwa
out	sasluas
outburst	tumiyabaw
outcome	kinaguaanssina
outgrowth	inunahanssa pagtubo
outlaw	dalakpon
outline	pagbalayon
outside	sagwa
outside	sasluas
outside	tagaluas
outward	pakadtossagwa
oven	hurno
oven	pugon
over	kapin sa
over	sasibabaw
over	tapos na
over	tungod
over-bearing	bugalon
over-bearing	soplado
overcoat	kapote
overcoat	kunop
overcome	dag-on
overcome	lampasan
overflow	lumapaw
overflow	sumagahay
overflowing	dagaya
overflowing	sagahay
overhaul	halungkaton
overhaul	tinloan
overpower	dag-on
overpower	lutuson
overtake	abutan
overthrow	nakigbalhin
overthrow	nakigbatuk
overthrow	pagpakigbalhin
overthrow	pagpakigbatuk
overthrow	spagpakigkulob
overthrow	spakulbon
owe	mangutang
owe	mautangan
owl	bukaw
own	iyahon
own	panagiyahan
owner	tag-iya
ox	toro
oxytone	matagsing
oyster	pakinhason
pace	lak-ang
pacific	malinong
pacification	paghusay
pacification	pagpalinong
pack	binugkosan
pack	bugkuson
pack	pinutsan
pack	putson
package	pakite
package	pinutos
packer	tagbugkos
packer	tagputos
paddle	bugsay
padlock	kandado
padlock	yabi
pagan	pagano
page	pahina
page	pahinahon
page	pamihak
page	pamihakon
pageant	palaguaon
pageantry	lohososnga palaguaon
paging	pagpahina
paging	pagpamihak
pail	balde
pail	timba
pain	hapdi
pain	sakit
painful	masakit
painful	nagabusog
painless	wala'yssakit
paint	magpinta
paint	pinta
paint	pintahan
paint	pintura
painter	pintor
painter	tagpinta
pair	magkaupod
pair	paris
pal	abyan
pal	kaupod
palace	kastilyo
palace	palasyo
palatial	palasyohon
pale	malapsi
pale	maluspad
palisade	kudalsnga mataliwis
pallid	nagapalanglapsi
palm	paklang
palm	palma
palm	spalad
paltry	wala'yskabilinggan
pan	kalaha
pan	kasirola
panacea	tambalssa tanan mga balatian
pane	salamingssang bintana ukon pwertahan
panel	dingding
panic	pagkakibut
panorama	talan-awon
pant	delargo
pant	paghapuhapu
pant	sarwal
pantry	talagoan
papa	tatay
papa	tay
paper	bantalaan
paper	papel
parachute	parakayda
paradise	paraiso
paragon	anggiran
paragon	modelo
paragraph	parapo
parallel	magkaubay
parallel	pagkulubay
paralytic	baldado
paralytic	paralitoko
parasite	saligssa iban
parcel	binahin
parcel	pinutsan
parcel post	koreo
pardon	pagpatawad
pardon	patawad
pardonable	mapatawad
parent	ginikaana
parentage	partidos
