bookkeeper	tenedorya
bootblack	manoglimpya-botas
border	dulonan
bore	buhoan
bore	samongon
borrow	hulam
borrow	humulam
borrow	smanghulam
bosom	balataan
bosom	dughan
boss	agalon
boss	tagdumala
both	silasnga duha
bother	samongon
bothersome	masamongon
bothersome	samokan
bottle	botelya
bottom	sasidalum
bough	sanga
bought	bumakal
boulder	dalagkongsbato
boundary	dulonan
bounty	bugay
bounty	kahamungayaan
bouquet	pungpongsnga bulak
bow	pana
bower	kasudlan
bowl	yahong
box	kahon
box	sumbaganay
boy	batasnga lalaki
boy	suluguon nga lalaki
boyish	payaon
bracelet	pulseras
braid	salapid
brain	utok
brake	preno
bran	lintok
branch	sanga
brand	marka
brass	saway
brave	lamposanay
brave	maisug
bread	tinapay
breadfruit	bungassang kamansi
breadfruit	kolo
breadline	pilassa pakilimsan
breadth	lapad
breadth	sangkad
break	buongon
break	utdon
breakdown	inogpugong
breakfast	pamahaw
breast	dughan
breast	suso
breath	ginhawa
breathless	dishalos makaginhawa
breed	magpanganak
breed	mangliwat
breeding	buluadan
breeze	harupoy
brethren	mag-ulotod
brevity	kalip-oton
bribe	pabuya
bribery	pasuhot
brick	tisa
bride	nobya
bridegroom	nobyo
bridesmaid	abay
bridge	taytay
bridle	busal
bridle	renda
bridle	sinogtuytoy
brief	malip-ot
brigade	guban
brigand	makawat
brigand	smanog-ati
brigand	tulisan
bright	maalam
bright	masanag
brighten	pahalipayon
brilliant	masili
brilliant	masiling
brilliant	smangin-alamon
bring	dalhon
brink	kilid
brink	pangpang
brisk	maabtik
brisk	mapagsik
brittle	buongon
brittle	matapok
broad	malapad
broad	masangkad
broadcast	ipahayags(sa radyo)
broil	iparilya
broil	sinugba
broke	balasubas
broke	walasgid
brood	mgastuytoy
broom	silhig
broth	sabaw
brother	utodsnga lalaki
brotherhood	kautoran
brother-in-law	bayaw
brow	kilay
brown	duagskaki
brown	kayumanggi
bruise	pakris
brush	eskoba
brush	kahilamnan
brusque	walay tinun-an
brusque	walayskatahuran
bubble	bukal
bucket	balde
bucket	timba
bud	bukol
buddy	abyan
buddy	kaupod
budget	badyet
buggy	kalesa
buggy	karitela
bugle	budyong
bugle	trumpeta
build	maghikut
build	magpasad
building	balay
bulb	bombilya
bulk	bulto
bulk	daku
bulk	sdamo
bulky	bulto
bulky	madamul
bull	bakasnga lalaki
bull	toro
bulldoze	pahadlukon
bulldoze	pahugon
bullet	bala
bulletin	bulitin
bump	bunggo
bunch	sipi
bundle	bugkos
bundle	bugkoson
bungle	sariwaol
burden	palasanon
burdensome	mabaknal
burdensome	mabug-at
bureau	buro
burglar	makawat
burglar	tulisan
burglarize	kawatan
burial	lubong
burn	sunugon
burst	bumusaag
burst	lumupok
bury	ilubong
bush	magagmaysnga puno sang kahoy
business	negosyo
business	palatikangan
busy	masaku
busy	okupado
but	apang
butcher	manog-ihaw
butler	mayordomo
butter	mantikilya
butterfly	alibangbang
button	ibutones
buy	bumakal
buyer	manogbakal
by	sa
by	sa higad sang
by	sasluyo
by-gones	nagligad
by-law	kinaugalingsnga sulondan
by-stander	tumalan-aw
cab	auto
cab	kotse
cabaret	kabaret
cabaret	sautan
cabbage	repolyo
cabin	kamarote
cabinet	gabinete
cable	kablegrama
cack	bibingka
cack	keik
cad	huroshuros
cafeteria	kapiterya
calamity	distresa
calamity	kalamidad
caldron	kaldero
calendar	kalendaryo
calf	pusopusoan
calf	tindays(baka)
call	tawag
call	tawagon
calm	palinongon
calumny	butangbutang
camera	kamera
camera	kodak
camp	kampo
camp	patag
