summary	kabilogan
summary	kasumahan
summer	tingadlaw
summon	ipasugat
summon	sipatawag
summon	tawagon
sun	adlaw
Sunday	Domingo
sunlight	sanagssang adlaw
sunny	masadya
sunny	maysadlaw
sunset	paghinalupssang adlaw
sunshine	pagsilakssang adlaw
sup	magpanyapon
superintendent	superintendente
superintendent	tagdumala
superior	mataassnga punoan
superior	mataasssing sari
superiority	kasarian
supervision	pagsayasat
supervisor	superbisor
supervisor	tagsayasat
supper	panyapon
supply	kinahanglanon
supply	maghatagssing kinahanglan
support	pagsakdag
support	pagtabang
support	sakdagon
support	tabangan
suppose	bulobantaon
suppose	pananglitan
supremacy	pagkamataasonssa tanan
supreme	katasonssa tanan
sure	patud
surely	kapat-uran
surface	dagway
surface	nawong
surgeon	doktorsnga nagabusbos
surgeon	siruhano
surgery	kinaalamssa pagbusbos
surgical	natungodssa pagbusbos
surname	apelyido
surprise	kibuton
surprise	pagka-kibot
surprise	pagkatingala
surprising	makapakibot
surprising	makatilingala
surrender	nagyanib
surrender	nagyanib
surround	paglibotan
surrounding	saspalibot
survey	pagtakus
survey	pagtul-id
survey	takson
survey	tul-ron
suspect	halan-an
suspect	han-an
suspend	pauntaton
suspend	susspendehon
suspender	tirante
sustain	sakdagon
sustain	susteneron
sustenance	pagsagud
sustenance	sustento
swallow	ligong-ligong
swallow	lumyon
swallow	tunlon
swamp	dalanawan
swamp	kanipaan
swampy	manipaon
swan	dugwak
swan song	hingapusansng amba
swarm	dulumugan
swarm	gubanssang mga hayup
sway	tabog
sway	tabugon
swear	magsumpa
sweat	balbas
sweat	pabalhasan
sweaty	pagpabalhas
sweep	silhig
sweep	silhigon
sweeping	panilhigon
sweet	matam-is
sweeten	patam-ison
sweetly	katam-ison
swell	mamanog
swell	palamanog
swift	madasig
swiftly	kadasigon
swim	lumangoy
swimsuit	saputssa langoy
swing	duyan
swing	duyanon
swing	habyog
swing	ihabyog
switch	swit
switch	yabihan
switchman	angstagtatap sang elektrisidad
sword	espada
symbol	timaan
symbolic	mapatimaanon
symbolic	mayskahulogan
symbolize	patimaanan
sympathy	pagbuylogssa kabubut-on
synonym	kabaragubay
synonym	sibu-kahulogan
syntax	balayanssang sinulatan ukon dinalan
syringe	heringilya
system	paagi
system	sistema
system	spahito
systematic	mapahituon
table	lamisa
table	latuk
tablet	kwaderno
tablet	tableta
tack	lansangsnga malapad ang ulo
tactical	mapahituon
tactics	paagi
tactics	pahito
tail	ikug
tailor	mananahi
tailor	sastre
tailor shop	sastreriya
tailor shop	talahian
take	kuhaon
take	kumuha
take	sdalhon
tale	maysinagihan
tale	sugilanonsnga maragtason sa panaysayon
talent	kinaadman
talent	talento
talented	angin-alamon
talented	makinaadmanon
talisman	anting-anting
talk	hambal
talkative	palahambal
tall	lantyog
tall	mataas
tamarind	sambag
tame	kaki
tame	kayumanggi
tank	tangke
tanner	kurtidor
tap	pikpik
tap	pikpikon
tar	alketran
tardiness	kabundulon
tardy	mabundol
tardy	ulihi
task	buluhaton
task	trabaho
taste	lalim
taste	laliman
tasteful	malalimon
tasteless	wala'yslalim
tasty	manamit
tasty	marimis
tavern	balaysdalayonan
tax	buhis
tax	buhisan
tea	tsa
teach	tudlostudluan
teacher	maestrosukon maestra
teacher	manunudlo
teaching	pagtudlo
team	hugnatan
team	kampihan
team	maghugnatan
team	magkampihan
tear	gisi
tear	gision
tear	luha
tearful	luhaon
tease	sunlog
tease	sunlogon
tease	tukso
tease	tuksuon
tedious	makatalaka
telegram	hatudulos
telegram	telegrama
telephone	telepono
telephone	teleponohan
tell	silingon
tell	singganon
teller	tagbayadsukon tagkubra sa bangko
temper	ibutangssa naigoan
temper	kainitssang ulo
temperamental	padasudasu
temperamental	pagbag-obag-o
temperate	kasarangan
temperature	kahimtanganssang panahon
temperature	kainiton sang lawas
tempest	bagyo
tempest	unos
tempestuous	masupok
temple	simbahan
temple	templo
tempt	tuksuon
