crib	8-1344-B
cricket	8-1367-B,8-1406-B
cried	8-1424-B,8-1437-B
crime	8-1452-B
criminal	8-1479-B,8-1497-B
crimson	8-1515-B
cripple	8-1530-B,8-1551-B,8-1565-B,8-1579-B
criticism	8-1595-B,8-1613-B
criticize	8-1631-B,8-1649-B,8-1668-B
crop	8-1693-B
cross	8-1706-B,8-1721-B,11-2076-S,11-2097-S
crown	8-1735-B,8-1748-B
crowned	8-1761-B,8-1781-B
cruel	8-1800-B,8-1815-B
cruelty	8-1832-B,8-1849-B
crumb	8-1870-B,8-1885-B
crumbling	8-1897-B,8-1920-B
crumpled	8-1938-B
crush	8-1953-B
cry	8-1967-B,8-1976-B,8-1988-B
crystal	8-1999-B
cucumber	8-2015-B
cuff	8-2031-B,8-2045-B
culpability	8-2057-B
cultivate	8-2080-B
culture	8-2101-B
cunning	8-2118-B,8-2133-B
cup	8-2146-B,8-2157-B
cupboard	8-2166-B,8-2185-B
cure	8-2216-B,8-2229-B,8-2241-B,8-2255-B
curious	8-2269-B,8-2288-B
currency	8-2303-B
current	8-2320-B,8-2336-B,8-2353-B
curriculum	8-2367-B
curse	8-2402-B,8-2418-B
cursory	8-2434-B,8-2449-B
curtain	8-2465-B
curve	8-2481-B,8-2493-B,8-2506-B
cushion	8-2517-B,8-2535-B
custom	8-2550-B,8-2565-B
customer	8-2584-B
cut	8-2598-B,8-2610-B,8-2622-B
cutlery	8-2632-B
cycle	8-2663-B,8-2675-B
cyclone	8-2689-B
cymbal	8-2707-B
cynical	8-2724-B
cynosure	8-2744-B
daily	8-2763-B
dainty	8-2781-B,8-2797-B
dairy	8-2812-B
dairymaid	8-2826-B
dairyman	8-2857-B
dam	8-2888-B,8-2896-B,8-2904-B,8-2920-B
damage	8-2933-B,8-2952-B
dame	8-2969-B,8-2980-B
damnation	8-2992-B
damp	8-3011-B,8-3026-B,8-3038-B,8-3053-B
dance	8-3072-B
dancer	8-3083-B
dangerous	8-3102-B,8-3123-B
dapper	8-3144-B,8-3157-B
dare	8-3175-B,8-3188-B,8-3202-B
dark	8-3217-B
darken	8-3230-B
darkness	8-3246-B
darling	8-3265-B,9-0-B,9-14-B
darn	9-34-B,9-47-B
dart	9-59-B
dash	9-82-B
date	9-111-B,9-122-B
datin	9-134-B
daughter	9-146-B
daughter in law	9-170-B
dawdle	9-202-B,9-227-B
dawn	9-244-B
day	9-262-B,20-1503-S,26-2731-S,41-778-S
daydream	9-272-B
daze	9-292-B,9-305-B
dead	9-320-B
deaf	9-331-B
deal	9-343-B,9-359-B
dealer	9-380-B,9-400-B
dear	9-421-B
death	9-432-B
deathless	9-448-B
debate	9-474-B,9-488-B
debt	9-502-B
debut	9-513-B
decay	9-530-B
deceit	9-547-B,9-562-B,9-578-B
deceive	9-598-B,9-614-B
december	9-632-B
decide	9-651-B,9-668-B
decision	9-686-B,9-708-B
deck	9-726-B,9-739-B
declaration	9-763-B,9-780-B
declare	9-802-B,9-821-B
decline	9-841-B,9-859-B
decorate	9-876-B,9-893-B
decoy	9-910-B,9-924-B
decrease	9-935-B,9-952-B
decree	9-972-B,9-987-B
decrepit	9-999-B,9-1015-B
decry	9-1049-B
dedication	9-1063-B,9-1080-B
deduction	9-1097-B
deed	9-1115-B,9-1130-B,9-1141-B
deem	9-1158-B,9-1171-B
deep	9-1190-B
deepness	9-1203-B
deer	9-1222-B
deface	9-1231-B,9-1246-B
defamation	9-1262-B,9-1295-B
defeat	9-1316-B
defect	9-1334-B,9-1349-B
defend	9-1367-B
defense	9-1385-B
deference	9-1405-B
deformity	9-1427-B
defraud	9-1455-B,9-1470-B
defy	9-1486-B,9-1501-B
degree	9-1516-B,9-1529-B
dejection	9-1546-B,9-1568-B
delay	9-1588-B,9-1604-B
delegate	9-1617-B,9-1635-B,9-1659-B
delete	9-1677-B,9-1692-B,9-1706-B
delicate	9-1722-B,9-1742-B
delicious	9-1759-B,9-1779-B,9-1797-B
delight	9-1816-B
delightful	9-1832-B
delinquent	9-1860-B,9-1892-B
delirious	9-1916-B
deliver	9-1940-B,9-1955-B,9-1972-B
delivery	9-1991-B,9-2008-B,9-2028-B
demand	9-2052-B,9-2073-B
demarcation	9-2088-B
democracy	9-2108-B,9-2129-B
demonstrate	9-2153-B,9-2174-B
denial	9-2194-B,9-2211-B
denounce	9-2233-B,9-2252-B
dense	9-2270-B,9-2284-B
denude	9-2297-B,9-2313-B
deny	9-2327-B,9-2346-B
depart	9-2364-B,9-2379-B
department	9-2397-B,9-2414-B
depend	9-2438-B
