ABC	alfabeto
Abyssinian	abissino
Adriatic	adriatico
African	africano
Albanian	albanese
Algerian	algerino
American	americano
Americanism	americanismo
Anglo-Saxon	anglosassone
Antichrist	anticristo
April	aprile
Arab	arabo
Arabic	arabico
Argentine	argentino
Armenian	armeno
Asian	asiatico
Assyrian	assiro
August	agosto
Australian	australiano
Aztec	azteco
Basque	basco
Bavarian	bavarese
Belgian	belga
Berber	berbero
Bible	bibbia
British	britannico
Buddhist	buddista
Bulgarian	bulgaro
Cambodian	cambogiano
Canadian	canadese
Catalan	catalano
Catholicism	cattolicesimo
Chilean	cileno
Chinese	cinese
Christian	cristiano
Christianity	cristianesimo
Creole	creolo
Croatian	croato
Cuban	cubano
Czech	ceco
Danish	danese
December	dicembre
Dominican	domenicano
Dutch	olandese
Eden	eden
Egyptian	egiziano
English	inglese
Eocene	eocene
Eskimo	eschimese
Esperanto	esperanto
Estonian	estone
Ethiopian	etiopico
European	europeo
February	febbraio
Filipino	filippino
Finnish	finlandese
Flemish	fiammingo
Florentine	fiorentino
Franciscan	francescano
French	francese
German	tedesco
Germanic	germanico
Gothic	gotico
Greek	ellenico
Greek	greco
Gregorian	gregoriano
H-bomb	bomba H
Hebraic	ebraico
Hebrew	ebraico
Hebrew	ebreo
Hellenic	ellenico
Helvetian	elvetico
Hispanic	ispanico
Hispanic	ispano
Hungarian	ungherese
I	io
I	me
I go	vado
Iberian	iberico
Icelandic	islandese
Indian	indiano
Irish	irlandese
Islamic	islamico
Israeli	israeliano
Italian	italiano
January	gennaio
Japanese	giapponese
Japanese	nipponico
Jesuit	gesuita
Jewess	ebrea
Jewish	ebreo
July	luglio
June	giugno
Koran	corano
Korean	coreano
Latin	latino
Latvian	lettone
Lithuanian	lituano
March	marzo
May	maggio
Mexican	messicano
Middle Ages	medioevo
Miss	signorina
Moslem	islamico
Mr	signore
Mrs	signora
Muscovite	moscovita
Muslim	islamico
Nazi	nazista
Nazism	nazismo
Norwegian	norvegese
November	novembre
October	ottobre
Pakistani	pakistano
Parisian	parigino
Persian	persiano
Pleistocene	pleistocene
Polish	polacco
Portuguese	portoghese
Russian	russo
Saturday	sabato
Saxon	sassone
Scandinavian	scandinavo
Semite	semita
September	settembre
Serbian	serbo
Siberian	siberiano
Slav	slavo
Slovak	slovacco
Spanish	spagnolo
Sunday	domenica
Swedish	svedese
T-shirt	maglietta
TV	televisione
Thai	tailandese
Viennese	viennese
a	al
a	alla
a	allo
a	per
a	un
a little	un po'
aback	dietro
abandon	abbandonare
abandon	lasciare
abandoned	abbandonato
abandoned	desolato
abandoned	dissoluto
abandonment	abbandono
abase	abbassare
abase	avvilire
abase	degradare
abase	umiliare
abasement	avvilimento
abasement	degradazione
abasement	umiliazione
abash	confondere
abash	intimidire
abash	svergognare
abashment	confusione
abashment	imbarazzo
abate	abbassarsi
abate	alleviare
abate	annullare
abate	calmarsi
abate	cassare
abate	detrarre
abate	diminuire
abate	lenire
abate	ribassare
abate	ridurre
abate	scemare
abatement	abbuono
abatement	cancellazione
abatement	detrazione
abatement	diminuzione
abatement	falcidia
abatement	ribasso
abatement	riduzione
abatement	sconto
abatement	sospensione
abattoir	macello
abattoir	mattatoio
abbacy	abbazia
abbatial	abbaziale
abbatial	badiale
abbess	badessa
abbey	abbazia
abbey	badia
abbot	abate
abbreviate	abbreviare
abbreviate	accorciare
abbreviate	ridurre
abbreviation	abbreviamento
abbreviation	abbreviazione
abdicate	abdicare
abdication	abdicazione
abdomen	addome
abdominal	addominale
abdominous	panciuto
