nit	lendine
nitrate	nitrato
nitration	nitrazione
nitre	nitrato di potassio
nitre	nitro
nitre	salnitro
nitride	nitruro
nitrite	nitrito
nitrocellulose	nitrocellulosa
nitrogen	azoto
nitrous	nitroso
nitwit	imbecille
nix	niente
nix	nulla
no	nessuno
no	niente
no	no
no	non
no one	nessuno
nobble	corrompere
noble	nobile
nobleman	nobile
nobleman	nobiluomo
noblewoman	nobildonna
nobody	nessuno
noctambulism	sonnambulismo
nocturnal	notturno
nocturne	notturno
nod	annuire
noddle	tentennare
node	nocchio
node	nodo
nodule	nodulo
noel	natale
nog	cavicchio
nog	piolo
noise	baccano
noise	chiasso
noise	clamore
noise	fracasso
noise	frastuono
noise	rumore
noise	schiamazzo
noiseless	silenzioso
noisome	dannoso
noisome	disgustoso
noisome	nauseabondo
noisome	nocivo
noisy	rumoroso
noisy	tumultuoso
nomad	nomade
nomadic	nomade
nomenclator	nomenclatore
nomenclature	nomenclatura
nominal	nominale
nominal	nominativo
nominate	designare
nominate	nominare
nomination	nomina
nominative	nominativo
nominee	candidato
non-interest-bearing	infruttifero
non-party	apartitico
nonagon	nonagono
nonalcoholic	analcolico
noncombatant	borghese
nonconducting	coibente
nondescript	indescrivibile
nondrinker	astemio
none	nessuno
none	niente
none	veruno
nonexistent	inesistente
nonpareil	incomparabile
nonparty	apartitico
nonparty	indipendente
nonpayment	mancato pagamento
nonplus	imbarazzo
nonpolitical	apolitico
nonproductive	improduttivo
nonsense	insulsaggine
nonsense	nonsenso
nonsensical	assurdo
nonsensical	insensato
nonskid	antisdrucciolevole
nonsmoker	non fumatore
nonstop	incessante
nonstop	ininterrotto
nontoxic	atossico
noodle	gonzo
noodle	sempliciotto
noodle	tagliatelle
nook	angolo
nook	cantuccio
noon	meriggio
noon	mezzogiorno
noonday	meriggio
noonday	mezzogiorno
noontide	meriggio
noontide	mezzogiorno
noose	cappio
noose	laccio
nope	no
nor	neppure
nor	né
norm	norma
norm	regola
normal	norma
normal	normale
normal	perpendicolare
normalization	normalizzazione
normalize	normalizzare
norman	normanno
normative	normativo
north	nord
north	nordico
north	settentrionale
north	settentrione
northerly	settentrionale
northern	boreale
northern	nordico
northern	settentrionale
northwest	nordovest
nose	muso
nose	naso
nose	prora
nose	prua
nose	punta
nosebleed	epistassi
nosedive	picchiare
nosepipe	boccaglio
nosey	nasuto
nostalgia	nostalgia
nostalgic	nostalgico
nostril	frogia
nostrils	nari
nostrum	panacea
nosy	nasuto
nosy	odoroso
not	no
not	non
notable	considerevole
notable	degno di nota
notable	insigne
notable	notevole
notable	ragguardevole
notarial	notarile
notary	notaio
notary public	notaio
notation	nota
notation	notazione
notch	incavo
notch	incisione
notch	intaccatura
notch	intaglio
notch	tacca
note	annotare
note	annotazione
note	appunto
note	biglietto
note	chiosa
note	nota
note	notare
note	osservare
note	postilla
note	tono
notebook	taccuino
notecase	portafogli
notepaper	carta da lettere
noteworthy	degno di nota
noteworthy	ragguardevole
nothing	niente
nothing	nulla
nothingness	nulla
nothingness	quisquilia
notice	accorgersi
notice	affisso
notice	annuncio
notice	annunzio
notice	attenzione
notice	avviso
notice	comunicazione
notice	disdetta
notice	notare
notice	notifica
notice	notizia
notice	osservare
notice	preavviso
notice	recensione
notice	scorgere
noticeable	ragguardevole
notification	comunicazione
notification	notifica
notify	avvisare
notify	dichiarare
notify	informare
notion	concetto
notion	idea
notion	nozione
notional	astratto
