pacific	tranquillo
pacifier	ciucciotto
pacifier	succhiotto
pacifism	pacifismo
pacifist	pacifista
pacify	calmare
pacify	pacificare
pacify	placare
pacify	sedare
pack	balla
pack	banda
pack	branco
pack	fagotto
pack	fardello
pack	imballare
pack	impaccare
pack	impacchettare
pack	involto
pack	muta
pack	pacchetto
pack	pacco
pack animal	giumento
package	balla
package	collo
package	confezionare
package	confezione
package	imballaggio
package	imballare
package	impaccare
package	involto
package	pacchetto
package	pacco
packaging	confezione
packaging	imballaggio
packer	imballatore
packer	impaccatore
packet	involto
packet	pacchetto
packet	pacco
packet	piego
packing	confezione
packing	imballaggio
packsack	zaino
packthread	spago
pact	accordo
pact	convenzione
pact	patto
pad	blocco
pad	cuscinetto
pad	imbottire
pad	imbottitura
pad	ovattare
padding	imbottitura
paddle	aletta
paddle	pala
paddle	paletta
paddle	remare
paddle	remo
paddle	spatola
paddy	arrabbiatura
padlock	lucchetto
padre	cappellano
paean	peana
paederast	pederasta
paediatric	pediatrico
paediatrician	pediatra
paediatrics	pediatria
pagan	pagano
paganism	paganesimo
page	foglio
page	lato
page	paggio
page	pagina
pageant	parata
pageant	pompa
pageant	sfarzo
pageantry	pompa
paging	paginatura
paging	paginazione
pagoda	pagoda
paid	pagato
pail	secchia
pail	secchio
pain	addolorare
pain	doglia
pain	dolere
pain	dolore
pain	male
pain	pena
painful	dolente
painful	doloroso
painful	fastidioso
painful	molesto
painful	penoso
painless	indolore
paint	belletto
paint	colore
paint	dipingere
paint	pingere
paint	pittura
paint	pitturare
paint	rossetto
paint	tinta
paint	vernice
paint	verniciare
painter	imbianchino
painter	pittore
painter	verniciatore
painting	dipinto
painting	pittura
painting	quadro
pair	coppia
pair	paio
pairing	accoppiamento
pairing	appaiamento
pajamas	pigiama
pal	compagno
palace	palagio
palace	palazzo
paladin	paladino
palaeontologist	paleontologo
palaeontology	paleontologia
palatable	gustoso
palatable	saporito
palatal	palatale
palate	palato
pale	impallidire
pale	pallido
pale	palo
pale	sbiadito
pale	scialbo
pale	smorto
pale	steccone
pale blue	azzurrino
paleness	pallidezza
paleness	pallore
paleontologist	paleontologo
paleontology	paleontologia
palette	tavolozza
palimpsest	palinsesto
paling	steccato
palisade	palizzata
pall	cappa
pall	coltre
pall	manto
pallet	pagliericcio
pallet	paletta
pallet	tavolozza
palletization	palettizzazione
palliate	attenuare
palliate	lenire
palliate	mitigare
pallid	pallido
pallid	smorto
pallid	smunto
pallidness	pallore
pallor	pallore
palm	palma
palm tree	palma
palm tree	palmizio
palmar	palmare
palmer	pellegrino
palpable	chiaro
palpable	evidente
palpable	manifesto
palpitation	palpitazione
palsied	paralitico
palsy	paralisi
palter	mercanteggiare
palter	tergiversare
paludal	palustre
pamper	coccolare
pamphlet	libello
pamphlet	opuscolo
pan	casseruola
pan	padella
pan	tegame
pan	teglia
pan	terrina
panacea	panacea
pancake	frittata
pancake	frittella
panchromatic	pancromatico
pancreas	pancreas
pancreatic	pancreatico
pandemonium	pandemonio
pander	mezzano
pander	ruffiano
pane	riquadro
pane	vetro
panegyric	panegirico
panegyrist	panegirista
panel	giuria
panel	pannello
panel	riquadro
panel	tavola
pang	pena
panhandler	accattone
panic	panico
panicle	pannocchia
