philanderer	galante
philanthropist	filantropo
philatelic	filatelico
philatelist	filatelista
philately	filatelia
philharmonic	filarmonico
philippine	filippino
philological	filologico
philologist	filologo
philology	filologia
philosopher	filosofo
philosophic	filosofico
philosophical	filosofico
phlebitis	flebite
phlegm	muco
phlegmatic	flemmatico
phlegmatic	freddo
phlegmatic	imperturbabile
phobia	fobia
phoenician	fenicio
phon	fon
phone	telefonare
phone	telefono
phone box	cabina telefonica
phoneme	fonema
phonetic	fonetico
phonetician	fonetista
phoneticist	fonetista
phonetics	fonetica
phoney	falso
phoney	finto
phoney	fittizio
phonograph	fonografo
phonograph	grammofono
phonolite	fonolite
phonology	fonologia
phosgene	fosgene
phosphate	fosfato
phosphide	fosfuro
phosphite	fosfito
phosphoresce	fosforeggiare
phosphorescence	fosforescenza
phosphorescent	fosforescente
phosphorite	fosforite
phosphorous	fosforoso
phosphorus	fosforo
photo	foto
photo	fotografia
photocell	fotocellula
photochemical	fotochimico
photochemistry	fotochimica
photocomposition	fotocomposizione
photocopy	fotocopia
photoelectric	fotoelettrico
photoelectric cell	fotocellula
photogenic	fotogenico
photogrammetry	fotogrammetria
photograph	foto
photograph	fotografare
photograph	fotografia
photographer	fotografo
photographic	fotografico
photography	fotografia
photometer	fotometro
photometry	fotometria
photomontage	fotomontaggio
photon	fotone
photosensitive	fotosensibile
photosynthesis	fotosintesi
phototypesetter	fotocompositrice
phrase	espressione
phrase	esprimere
phrase	formulare
phrase	frase
phrase	locuzione
phrase	modo di dire
phraseological	fraseologico
phraseology	fraseologia
phrasing	fraseggio
phrenetic	frenetico
phthisis	tisi
phylum	ceppo
physic	medicina
physical	fisico
physician	guaritore
physician	medico
physicist	fisico
physics	fisica
physiognomy	fisionomia
physiologist	fisiologo
physiology	fisiologia
pianissimo	pianissimo
pianist	pianista
piano	piano
piano	pianoforte
pianoforte	piano
pianoforte	pianoforte
piazza	piazza
picaresque	picaresco
piccolo	ottavino
pick	beccare
pick	cogliere
pick	piccone
pick	prendere
pick	raccogliere
pick	scegliere
pick-axe	piccone
pickax	piccone
pickaxe	piccone
picked	scelto
picket	paletto
picket	picchetto
picket	piolo
pickled	sbronzo
pickled	ubriaco
pickling	decapaggio
picklock	grimaldello
pickpocket	borsaiolo
pickpocket	borsaiuolo
pickpocket	borseggiatore
pickup	fonorivelatore
pickup	trasduttore
picky	difficile
picky	esigente
picnic	scampagnata
picture	dipinto
picture	disegno
picture	figurare
picture	fotografia
picture	illustrazione
picture	imago
picture	immagine
picture	maschera
picture	pittura
picture	quadro
picture	raffigurare
picture	ritrarre
picture gallery	pinacoteca
picturesque	pittoresco
pie	crostata
pie	pasta
pie-eyed	sbronzo
pie-eyed	ubriaco
piebald	pezzato
piebald	screziato
piece	brano
piece	parte
piece	pezza
piece	pezzo
piece	porzione
pied	pezzato
pied	screziato
pier	banchina
pier	molo
pierce	forare
pierce	perforare
pierce	sfondare
pierce	trafiggere
pierce	trapassare
piercing	acuto
piercing	penetrante
piercing	pungente
pietistical	pietistico
piety	devozione
piezoelectric	piezoelettrico
piezometer	piezometro
piffle	blaterare
piffling	futile
pig	maiale
pig	porco
pig	suino
pigeon	colombo
pigeon	piccione
piggery	porcile
piggish	ingordo
piggish	maialesco
piggish	porcino
pigheaded	caparbio
pigheaded	cocciuto
pigheaded	ostinato
pigheaded	testardo
piglet	porcellino
pigment	pigmento
pigmentation	pigmentazione
pigmy	pigmeo
pigpen	porcile
pigtail	codino
pigtail	treccia
pike	asta
pike	luccio
pike	picca
piker	tirchio
pilchard	sardina
pile	accatastare
pile	ammonticchiare
pile	catasta
pile	cumulo
pile	mucchio
pile	palafitta
pile	palo
