submerged	sommerso
submergence	immersione
submergence	sommersione
submersion	immersione
submersion	sommersione
submission	assoggettamento
submission	soggiogamento
submission	sottomissione
submissive	docile
submit	cedere
submit	chinarsi
submit	deferire
submit	presentare
submit	sottomettersi
submit	sottoporre
suborder	sottordine
subordinate	dipendente
subordinate	soggetto
subordinate	sottoposto
subordinate	subalterno
subordinate	subordinare
subordinate	subordinato
subordinated	subordinato
subordination	subordinazione
suborn	subornare
subprogram	sottoprogramma
subrogate	surrogare
subroutine	sottoprogramma
subscribe	sottoscrivere
subscriber	abbonato
subscriber	sottoscrittore
subscription	abbonamento
subsequent	seguente
subsequent	successivo
subsequent	susseguente
subsequent	ulteriore
subservient	giovevole
subservient	utile
subset	sottoinsieme
subsidence	abbassamento
subsidence	calo
subsidence	cedimento
subsidence	diminuzione
subsidiary	accessorio
subsidiary	supplementare
subsidy	sovvenzione
subsidy	sussidio
subsist	esistere
subsist	sussistere
subsistence	esistenza
subsistence	sussistenza
subsonic	subsonico
substance	beni
substance	essenza
substance	materia
substance	nerbo
substance	patrimonio
substance	sostanza
substance	sostanze
substantial	considerevole
substantial	consistente
substantial	essenziale
substantial	importante
substantial	notevole
substantial	ragguardevole
substantial	solido
substantial	sostanziale
substantial	sostanzioso
substantially	sostanzialmente
substantive	reale
substantive	sostantivo
substantive	sostanziale
substation	sottostazione
substitute	sostituire
substitute	sostituto
substitute	succedaneo
substitute	surrogato
substitution	sostituzione
substrate	substrato
substratum	sostrato
substratum	substrato
subsume	includere
subtenant	subaffittuario
subterfuge	sotterfugio
subterfuge	stratagemma
subterranean	sotterraneo
subtitle	sottotitolo
subtle	acuto
subtle	fine
subtle	fino
subtle	penetrante
subtle	perspicace
subtle	sagace
subtle	sottile
subtle	tenue
subtlety	acume
subtlety	finezza
subtlety	sagacia
subtlety	sottigliezza
subtract	detrarre
subtract	sottrarre
subtraction	sottrazione
subtrahend	sottraendo
subtropical	subtropicale
suburb	periferia
suburb	sobborgo
suburban	suburbano
suburbia	borgo
suburbia	periferia
subvention	sovvenzione
subversive	sovversivo
subvert	minare
subvert	rovesciare
subvert	sovvertire
subway	ferrovia sotterranea
subway	metropolitana
subway	sottopassaggio
succeed	riuscire
succeed	seguire
succeeding	seguente
succeeding	successivo
succeeding	susseguente
success	esito
success	riuscita
success	successo
successful	di successo
successful	prospero
successful	riuscito
succession	sequela
succession	serie
succession	successione
successive	consecutivo
successive	successivo
successor	successore
succinct	breve
succinct	conciso
succinct	succinto
succour	assistenza
succour	soccorrere
succulent	succoso
succumb	cedere
succumb	soccombere
succumb	soggiacere
such	siffatto
such	tale
such	tanto
such as	come
suchlike	simile
suck	aspirare
suck	poppare
suck	risucchio
suck	sorbire
suck	sorso
suck	succhiare
sucker	babbeo
sucker	gonzo
sucker	ventosa
suckle	allattare
suckling	lattante
suckling	poppante
sucrose	saccarosio
suction	aspirazione
suction	succhiamento
suction	suzione
sudden	improvviso
sudden	inaspettato
sudden	inatteso
sudden	repente
sudden	repentino
sudden	subitaneo
suddenly	di colpo
sue	querelare
suffer	patire
suffer	soffrire
suffer	subire
suffer	tollerare
sufferable	sopportabile
sufferable	tollerabile
sufferance	sopportazione
suffering	dolore
suffering	patimento
suffering	pena
suffering	sofferenza
suffice	bastare
sufficient	bastante
sufficient	bastevole
sufficient	sufficiente
suffix	suffisso
suffocate	affogare
suffocate	asfissiare
suffocate	soffocare
suffocating	asfissiante
suffocating	soffocante
suffrage	suffragio
sugar	addolcire
sugar	inzuccherare
sugar	zuccherare
sugar	zucchero
sugar-cane	canna da zucchero
suggest	proporre
