begin	principiare
beginner	esordiente
beginner	principiante
beginning	esordio
beginning	inizio
beginning	origine
beginning	principio
begird	cingere
begonia	begonia
begrudge	invidiare
beguiling	allettante
beguiling	seducente
behavior	comportamento
behavior	contegno
behaviour	comportamento
behaviour	condotta
behaviour	contegno
behind	appresso
behind	deretano
behind	didietro
behind	dietro
behind	indietro
behind	sedere
behind	sotto
beholder	spettatore
behove	convenirsi
being	creatura
being	esistenza
being	essere
belated	ritardato
belay	legare
belch	ruttare
beldam	vecchia
beleaguer	assediare
belfry	campanile
belief	convinzione
belief	credito
belief	fede
belief	fiducia
believable	credibile
believe	credere
believe	immaginare
believe	pensare
belittle	sminuire
bell	campana
bell	campanaccio
bell	campanello
bell tower	campanile
bell-ringer	campanaro
bell-shaped	a campana
belle	bella
bellow	barrito
bellow	urlare
bellows	soffietto
belly	pancia
belong	appartenere
belong to	appartenere
belongings	cose
belongings	possesso
beloved	cara
beloved	caro
beloved	diletto
below	abbasso
below	dabbasso
below	disotto
below	sotto
below	sottostante
belt	cinghia
belt	cintola
belt	cintura
belt	cinturino
bemire	inzaccherare
bemoan	piangere
bemuse	confondere
bench	banco
bench	panca
bench	panchina
bench	scanno
bend	curva
bend	curvare
bend	curvatura
bend	flessione
bend	flettere
bend	piega
bend	piegamento
bend	piegare
bend	piegatura
bend	rivolgere
bend	svolta
bend	virata
bend	voltare
bended	curvo
bending	flessione
bending	piegatura
beneath	abbasso
beneath	sotto
benedict	benedetto
benediction	benedizione
benefaction	beneficenza
benefactor	benefattore
beneficence	beneficenza
beneficent	benefico
benefit	assistenza
benefit	beneficio
benefit	giovamento
benefit	guadagno
benevolence	gentilezza
benevolent	benevolo
benign	benevolo
benign	benigno
benign	propizio
benignity	favore
benjamin	beniamino
bent	curvo
benumb	inebetire
benumb	intorpidire
benzaldehyde	benzaldeide
benzene	benzene
benzene	benzolo
benzine	benzina
benzoic	benzoico
benzol	benzolo
beret	berretta
bergamot	bergamotto
berry	bacca
berry	uovo
berserk	frenetico
berth	cuccetta
beryllium	berillio
beseech	supplicare
beside	a fianco di
beside	accanto
beside	accosto
beside	oltre
beside	oltre a
beside	presso
besides	d'altronde
besides	inoltre
besiege	assediare
besiege	importunare
besom	granata
besom	scopa
bespeak	ordinare
bespoke	su misura
besprinkle	cospargere
bestial	brutale
bestow	dare
bestow	porre
bestrew	cospargere
bestrew	spargere
bet	posta
bet	puntare
bet	puntata
bet	scommessa
bet	scommettere
betatron	betatrone
betray	ingannare
betray	tradire
betrayal	fellonia
betrayal	tradimento
betrothal	fidanzamento
better	meglio
better	migliore
betterment	miglioramento
between	fra
between	tra
betwixt	fra
betwixt	in mezzo a
betwixt	tra
bevel	smussare
bevel	smussatura
bevel	smusso
beverage	bevanda
beverage	beveraggio
beverage	bibita
bevy	frotta
bewail	compiangere
bewail	lamentare
bewail	piangere
bewilder	sconcertare
bewilderment	confusione
bewilderment	garbuglio
bewilderment	sconcerto
bewitch	affascinare
bewitch	incantare
bewitch	stregare
bewitching	affascinante
beyond	oltre
bhang	hascisc
bias	deviazione
bias	inclinazione
bib	bavaglino
bible	bibbia
bibliographer	bibliografo
bibliographical	bibliografico
bibliography	bibliografia
bibliophile	bibliofilo
bibliopole	libraio
bicameral	bicamerale
bicarbonate	bicarbonato
