abutment	spalla
abutter	confinante
abysm	abisso
abysmal	abissale
abyss	abisso
abyss	baratro
acacia	acacia
acacia	gomma arabica
academic	accademico
academical	accademico
academician	accademico
academism	accademismo
academy	accademia
accede	accedere
accede	salire
accelerate	accelerare
accelerated	accelerato
accelerating	accelerativo
acceleration	accelerazione
accelerative	accelerativo
accelerator	acceleratore
accelerometer	accelerometro
accent	accento
accent	accentuare
accent	tono
accentual	accentuativo
accentuate	accentuare
accentuate	sottolineare
accentuation	accentuazione
accept	accettare
accept	accogliere
acceptable	accettabile
acceptable	ammissibile
acceptance	accettazione
acceptance	accoglienza
acceptance	approvazione
acceptor	accettante
acceptor	destinatario
access	accesso
access	adito
access	entratura
accessible	abbordabile
accessible	accessibile
accessible	raggiungibile
accession	accessione
accession	incremento
accessory	accessorio
accessory	complice
accident	accidente
accident	incidente
accident	infortunio
accidental	accidentale
accidental	casuale
accidental	fortuito
acclaim	acclamare
acclaim	applauso
acclamation	acclamazione
acclimation	acclimatazione
acclimation	acclimazione
acclimatization	acclimatazione
acclimatization	acclimazione
acclimatize	acclimare
acclimatize	acclimatare
accolade	distinzione
accommodate	accantonare
accommodate	adattare
accommodate	albergare
accommodate	alloggiare
accommodate	comporre
accommodating	accomodante
accommodating	compiacente
accommodating	servizievole
accommodation	accomodamento
accommodation	adattamento
accommodation	alloggiamento
accommodation	alloggio
accompaniment	accompagnamento
accompany	accompagnare
accompany	scortare
accomplice	complice
accomplice	correo
accomplish	compiere
accomplish	compire
accomplish	effettuare
accomplish	eseguire
accomplished	compiuto
accomplished	perfetto
accomplishment	risultato
accord	accordare
accord	accordo
accord	armonia
accord	concedere
accord	concordanza
accord	consenso
accord	trattato
accordance	concordanza
accordant	conforme
accordant	congruente
according to	secondo
accordingly	quindi
accordion	fisarmonica
accordionist	fisarmonicista
accost	abbordare
accost	avvicinare
account	calcolo
account	conto
account	liquidazione
account	rapporto
account	relazione
accountable	responsabile
accountable	spiegabile
accountancy	ragioneria
accountant	contabile
accountant	ragioniere
accounting	ragioneria
accounting	resa dei conti
accoutre	attrezzare
accoutre	equipaggiare
accredit	accreditare
accredit	omologare
accretion	concrescenza
accrual	incremento
accrue	risultare
accumulate	accumulare
accumulate	ammassarsi
accumulate	cumulare
accumulate	immagazzinare
accumulation	accumulazione
accumulation	addensamento
accumulation	ammassamento
accumulation	cumulazione
accumulation	immagazzinamento
accumulator	accumulatore
accuracy	accuratezza
accuracy	diligenza
accuracy	esattezza
accuracy	precisione
accurate	accurato
accurate	esatto
accurate	preciso
accursed	maledetto
accusal	accusa
accusal	imputazione
accusation	accusa
accusation	imputazione
accusation	incriminazione
accusative	accusativo
accusatorial	accusatorio
accusatory	accusatorio
accuse	accusare
accuse	addebitare
accuse	incolpare
accuse	incriminare
accused	accusato
accuser	accusatore
accustomed	abituale
accustomed	accostumato
accustomed	avvezzo
accustomed	consueto
accustomed	solito
ace	asso
acerbity	acredine
acerbity	asprezza
acetate	acetato
acetic	acetico
acetone	acetone
acetyl	acetile
acetylene	acetilene
ache	doglia
ache	dolere
ache	male
ache	pena
achievable	conseguibile
achievable	ottenibile
achievable	raggiungibile
achieve	conseguire
achieve	ottenere
achieve	raggiungere
achievement	conseguimento
achievement	lavoro
achievement	rendimento
aching	dolente
aching	doloroso
achromatic	acromatico
acicular	aghiforme
acid	acido
acid	acre
acidification	acidificazione
acidify	acidificare
acidify	inacidire
acidimetry	acidimetria
acidulate	acidulare
acknowledge	ammettere
acknowledge	riconoscere
acknowledgement	ricevuta
acknowledgement	riconoscimento
acknowledgment	ammissione
acknowledgment	riconoscimento
acme	acme
acme	culmine
