competition	gara
competitive	agonistico
competiton	concorso
competitor	competitore
competitor	concorrente
competitor	rivale
compilation	compilazione
compile	compilare
compiler	compilatore
complain	lagnarsi
complain	lamentare
complain	lamentarsi
complain	reclamare
complainant	attore
complainant	querelante
complaint	accusa
complaint	lagnanza
complaint	lamentela
complaint	lamento
complaint	malattia
complaint	querela
complaint	reclamazione
complaint	reclamo
complaisance	compiacenza
complaisance	cortesia
complaisance	deferenza
complaisant	accondiscendente
complaisant	compiacente
complaisant	deferente
complement	complemento
complementary	complementare
complete	assoluto
complete	compire
complete	compiuto
complete	completare
complete	completo
complete	finire
complete	finito
complete	integrare
complete	integro
complete	intero
complete	perfetto
complete	riempire
complete	terminare
complete	totale
complete	ultimare
completed	compiuto
completed	finito
completely	completamente
completeness	compiutezza
completion	allestimento
completion	compimento
completion	completamento
completion	ultimazione
complex	complesso
complex	complicato
complex	intricato
complex	macchinoso
complexion	apparenza
complexion	carnagione
complexion	colorito
complexity	complicazione
compliant	accondiscendente
compliant	arrendevole
compliant	remissivo
complicated	complicato
complicated	intricato
complication	complicazione
compliment	complimento
compliment	omaggio
comply	ottemperare
component	componente
component	ingrediente
comport	comportarsi
compose	comporre
compose	riordinare
composed	calmo
composed	composto
composed	sereno
composed	tranquillo
composer	compositore
composite	composto
composition	composizione
composition	composto
composition	costituzione
composition	tema
compositor	compositore
compost	composta
compote	composta
compound	comporre
compound	composto
compound	mescolare
compound	misto
comprehend	capire
comprehend	comprendere
comprehend	contenere
comprehend	intendere
comprehensible	comprensibile
comprehensible	intelligibile
comprehension	comprensione
comprehensive	ampio
comprehensive	completo
comprehensive	esauriente
compress	comprimere
compress	stringere
compressed	compresso
compressible	compressibile
compressible	comprimibile
compression	compressione
compression	concentrazione
compression	pressione
compressor	compressore
comprise	comprendere
comprise	contenere
comprise	includere
comprised	compreso
compromise	compromesso
compromising	compromettente
compulsion	coercizione
compulsion	costrizione
compulsive	coercitivo
compulsive	costrittivo
compulsory	coercitivo
compulsory	forzato
compulsory	forzoso
compulsory	obbligatorio
compulsory	tassativo
computable	calcolabile
computation	calcolo
computation	computo
compute	calcolare
compute	computare
compute	contare
computer	calcolatore
computer	calcolatrice
computer	computer
computer	elaboratore
computer science	informatica
comrade	camerata
comrade	compagno
comrade	socio
comradely	cameratesco
comradeship	cameratismo
comradeship	colleganza
con	contro
con	raggirare
con	truffare
concatenation	concatenazione
concave	concavo
conceal	celare
conceal	nascondere
conceal	occultare
concealment	occultamento
concede	ammettere
concede	concedere
concede	riconoscere
conceit	presunzione
conceited	pieno di sé
conceited	presuntuoso
conceivable	concepibile
conceivable	immaginabile
conceive	concepire
conceive	ideare
concentrate	concentrare
concentrate	concentrarsi
concentrate	concentrato
concentrated	concentrato
concentration	concentramento
concentration	concentrazione
concentrator	concentratore
concentric	concentrico
concept	concetto
conception	concepimento
conception	concetto
conception	concezione
concern	affare
concern	allarme
concern	attenere
concern	azienda
concern	concernere
concern	cosa
concern	ditta
concern	faccenda
concern	impresa
concern	interessare
concern	interesse
concern	partecipazione
concern	preoccupazione
concern	relazione
concern	riferimento
concern	riguardare
concerned	interessato
concerned	preoccupato
concerning	circa
concerning	quanto a
concerning	riguardo a
concert	concerto
concerto	concerto
concession	concessione
concessionaire	concessionario
