cystic	cistico
czarist	zarista
d	d
d	re
dabchick	tuffetto
dachshund	bassotto
dactyl	dattilo
dad	babbo
dadaism	dadaismo
daddy	papa
daft	sciocco
dagger	daga
dagger	pugnale
dagger	stiletto
dahlia	dalia
daily	giornaliero
daily	quotidiano
daily paper	quotidiano
dainty	galanteria
dainty	ghiotto
dainty	schizzinoso
dairyman	lattaio
dais	predella
daisy	margheritina
dale	convalle
dalmatian	dalmata
dam	diga
damage	avaria
damage	danneggiare
damage	danno
damage	detrimento
damage	guasto
damage	ledere
damask	damasco
dame	dama
dame	donna
damn	condannare
damn	dannare
damnable	maledetto
damnation	dannazione
damned	dannato
damp	ammortizzare
damp	smorzare
damp	umido
dampen	attenuare
damper	smorzatore
damping	smorzamento
damsel	damigella
damsel	donzella
damsel	fanciulla
dance	ballare
dance	ballo
dance	danzare
dancer	ballerina
dancer	ballerino
dancer	danzatore
dandelion	soffione
dandelion	tarassaco
dandruff	forfora
dandy	bellimbusto
dandy	damerino
dandy	moscardino
dandy	zerbino
danger	pericolo
danger	rischio
dangerous	pericoloso
dangle	dondolare
dank	umido
dap	rimbalzare
daphne	dafne
dapper	elegante
dapple	pomellato
dappled	chiazzato
dappled	pezzato
dappled	screziato
dare	ardire
dare	arrischiarsi
dare	osare
dare	sfida
dare	sfidare
daring	ardimento
daring	ardimentoso
daring	ardire
daring	audace
dark	astruso
dark	atro
dark	buio
dark	cupo
dark	oscuro
dark	scuro
darken	abbuiare
darken	offuscare
darken	oscurare
darkness	buio
darkness	tenebre
darksome	oscuro
darling	caro
darling	prediletto
darned	maledetto
dart	dardo
dash	lineetta
dash	precipitarsi
dash	sbattere
dash	tratto
dashboard	cruscotto
dastardliness	codardia
dastardly	vile
data	dati
date	data
date	datare
date	dattero
date	durata
dated	sorpassato
dateless	interminabile
dating	datazione
dative	dativo
datura	datura
daughter	figlia
daughter-in-law	nuora
dauntless	intrepido
davenport	divano letto
davenport	scrivania
dawdle	bighellonare
dawdle	oziare
dawn	alba
dawn	albeggiare
dawn	aurora
dawn	inizio
dawn	principio
dawning	alba
day	giornata
day	giorno
daybreak	alba
daydreamer	sognatore
daylight	alba
daylight	luce diurna
days	giorni
dazzle	abbagliare
dazzle	abbarbagliare
dazzle	accecare
dazzle	bagliore
dazzling	splendido
de-escalate	diminuire
deacon	diacono
dead	assoluto
dead	completo
dead	estinto
dead	inerte
dead	monotono
dead	morto
dead	smorto
dead body	salma
deadhead	portoghese
deadlock	bloccaggio
deadly	mortifero
deaf	sordo
deaf-mute	sordomuto
deafen	assordare
deafen	intronare
deafening	assordante
deal	accordo
deal	trattare
dealer	trafficante
dealing	contrattazione
dean	decano
dear	caro
dear	diletto
dear	egregio
dearth	carestia
dearth	difetto
dearth	penuria
death	decesso
death	morte
deathly	micidiale
deathly	mortale
debar	escludere
debark	sbarcare
debasement	avvilimento
debatable	discutibile
debate	dibattito
debate	discussione
debate	disputa
debauched	debosciato
debauched	scostumato
debilitate	debilitare
debilitate	indebolire
debilitation	indebolimento
debility	debolezza
debit	debito
debris	macerie
debris	ruderi
debt	colpa
debt	debito
debt	obbligo
debtor	debitore
debut	debutto
decade	decade
decade	decennio
decadence	decadentismo
decadent	decadente
