insectivorous	93-1575-B
insecure	93-1601-B,93-1619-B,93-1638-B
insemination	93-1657-B
insensate	93-1684-B,93-1704-B
inseparable	93-1721-B
insert	93-1746-B,93-1763-B,93-1780-B,93-1796-B
insertion	93-1815-B,93-1836-B
inshore	93-1854-B
inside	93-1871-B,93-1885-B,93-1901-B,93-1918-B,93-1933-B
insider	93-1950-B
insidious	93-1967-B
insignia	93-1987-B
insignificant	93-2004-B,93-2025-B,93-2054-B
insincere	93-2080-B,93-2096-B
insinuate	93-2116-B
insinuation	93-2136-B
insinuator	93-2161-B
insipid	93-2184-B
insipidity	93-2201-B
insipidness	93-2225-B,93-2249-B
insist	93-2274-B
insistent	93-2291-B,93-2312-B
insobriety	93-2334-B
insole	93-2357-B
insolence	93-2372-B,93-2395-B
insolent	93-2415-B,93-2434-B,93-2453-B
insoluble	93-2472-B
insolvency	93-2493-B
insolvent	93-2515-B
insomnia	93-2536-B
insouciance	93-2554-B,93-2577-B
insouciant	93-2604-B,93-2626-B
inspect	93-2649-B,93-2669-B,93-2687-B
inspection	93-2704-B,93-2724-B,93-2741-B,93-2762-B
inspector	93-2780-B
inspectorate	93-2800-B
inspectorship	93-2825-B
inspiration	93-2851-B,93-2869-B
inspire	93-2893-B,93-2909-B,93-2927-B,93-2944-B
inspissate	93-2960-B
install	93-2981-B,93-2999-B,93-3017-B
installation	93-3036-B
instalment	93-3063-B,93-3080-B
instance	71-3300-S,93-3096-B,93-3110-B,93-3127-B,93-3144-B
instant	93-3163-B,93-3178-B,93-3196-B,93-3212-B
instantaneous	93-3228-B
instantly	93-3253-B
instead of	93-3270-B
instep	93-3291-B
instigate	93-3314-B,93-3332-B,93-3351-B
instigation	93-3370-B
instinct	93-3394-B
instinctive	93-3411-B
institute	93-3433-B,93-3451-B,93-3469-B,93-3490-B,93-3510-B
institution	93-3529-B,93-3553-B
institutional	93-3577-B
institutor	93-3605-B
instruct	93-3627-B
instruction	93-3645-B,93-3670-B
instructive	93-3693-B,93-3717-B
instructor	93-3740-B
instrument	93-3762-B,93-3780-B,93-3800-B,93-3817-B
insubordinate	93-3838-B
insubordination	93-3866-B
insufferable	93-3899-B,93-3925-B
insufficiency	94-0-B
insufficient	94-28-B,94-55-B
insular	94-75-B
insulate	94-92-B,94-109-B
insulation	94-128-B,94-150-B
insulator	94-174-B,94-193-B
insulin	94-213-B
insult	94-230-B,94-247-B
insulting	94-264-B,94-285-B
insuperable	94-305-B
insupportable	94-330-B
insurance	94-359-B,94-382-B
insure	94-406-B
