certain	29-1284-B,29-1298-B,29-1315-B
certainly	29-1330-B,29-1351-B
certainty	29-1367-B,29-1386-B
certifiable	29-1406-B
certificate	29-1424-B,29-1446-B,29-1471-B,29-1492-B,29-1516-B
certification	29-1536-B,29-1563-B,29-1592-B
certify	29-1621-B,29-1639-B,29-1659-B,29-1679-B
certitude	29-1699-B,29-1718-B
cervical	29-1738-B
cesium	29-1757-B
cess	29-1770-B
cessation	29-1783-B,29-1801-B,29-1822-B
cession	29-1844-B
cesspit	29-1861-B
chafe	29-1880-B
chafer	29-1894-B
chaffer	29-1912-B
chaffinch	29-1935-B
chaffy	29-1956-B
chagrin	29-1976-B
chain	29-1995-B
chain reaction	29-2008-B
chair	29-2041-B,29-2053-B,29-2066-B
chair lift	29-2081-B
chairman	29-2102-B
chairwoman	29-2122-B
chalcedony	29-2147-B
chalcopyrite	29-2169-B
chalice	29-2194-B
chalk	29-2209-B,29-2221-B
challenge	29-2233-B,29-2253-B,29-2273-B,29-2289-B
challenger	29-2307-B
challenging	29-2327-B
chamber	29-2352-B
chamberlain	29-2367-B
chambermaid	29-2391-B
chameleon	29-2413-B
chamfer	29-2434-B,29-2451-B
chamois	29-2470-B
chamomile	29-2487-B
champ	29-2507-B,29-2522-B
champagne	29-2542-B
champion	29-2561-B,29-2579-B
championship	29-2598-B
chance	29-2622-B,29-2637-B,29-2649-B,29-2664-B,29-2682-B
chancellor	29-2697-B
chancy	29-2720-B
change	29-2737-B,29-2753-B,29-2772-B,29-2789-B,29-2806-B,29-2825-B,29-2841-B,29-2855-B,29-2873-B,29-2890-B,29-2904-B,29-2920-B,29-2937-B,29-2957-B,29-2974-B,29-2989-B,170-1108-S,170-1133-S
changeable	29-3007-B
changeful	29-3029-B
changing	29-3050-B
channel	29-3071-B,29-3086-B,29-3104-B
chanticleer	29-3124-B,29-3142-B
chaos	29-3164-B,29-3179-B,29-3190-B
chaotic	29-3206-B,29-3223-B
chapel	29-3239-B
chaplain	29-3255-B
chaplet	29-3275-B
chapter	29-3291-B
character	29-3308-B,29-3328-B,29-3350-B
characteristic	29-3368-B,29-3398-B,29-3428-B
characterization	29-3450-B
characterize	29-3485-B
charcoal	29-3513-B
charge	29-3533-B,29-3547-B,29-3565-B,29-3581-B,29-3595-B,29-3611-B,29-3626-B,29-3642-B,29-3661-B,29-3679-B,29-3696-B
charging	29-3709-B
chariness	29-3730-B,29-3748-B
charioteer	29-3767-B
charity	29-3785-B
charivari	29-3805-B
charlatan	30-0-B
charm	30-21-B,30-37-B,30-54-B,30-69-B,30-83-B,30-96-B,30-114-B,30-128-B
