debole	66-1525-B,70-772-B,72-383-B,100-1833-B,171-687-B,173-1093-B,176-501-B,192-1673-B,193-2796-B,210-3165-B,211-1965-B
debolezza	45-2932-B,66-1653-B,68-763-B,73-1540-B,91-4140-B,92-1980-B,100-889-B,211-2184-B
debosciato	45-2819-B
debutto	45-3045-B
decade	45-3059-B
decadente	45-3112-B
decadentismo	45-3089-B
decadenza	46-302-B,56-217-B
decadere	46-1395-B
decadimento	46-318-B,66-2442-B
decaedro	46-37-B
decagono	46-0-B
decagrammo	46-17-B
decalcificare	46-90-B
decalcificazione	46-57-B
decalogo	46-114-B
decano	45-2537-B,54-330-B
decantare	46-133-B,65-2341-B,139-3019-B,167-2715-B
decantazione	46-150-B,167-3353-B
decapaggio	134-2276-B
decasillabo	46-239-B
decatissaggio	46-264-B
decedere	130-863-B
decelerare	46-557-B
decennio	45-3073-B
decente	46-672-B,143-2923-B,165-3402-B
decentramento	46-687-B
decentrare	46-718-B
decenza	46-626-B,144-224-B,165-3346-B
decesso	45-2631-B,47-2853-B
decidere	46-822-B,49-934-B,156-250-B,167-2732-B
decidersi	156-267-B
deciduo	46-889-B
deciframento	46-1024-B
decifrare	46-1005-B,146-1870-B,204-3024-B
decigrammo	46-907-B
decimale	46-927-B
decimare	46-944-B
decimazione	46-962-B
decimetro	46-985-B
decimo	192-2171-B
decimoprimo	57-2122-B
decina	192-1137-B
decisione	4-3165-B,46-1050-B,146-546-B
decisivo	37-373-B,43-2575-B,46-1137-B,69-1566-B
deciso	46-874-B,49-1013-B,69-2706-B,73-884-B,94-1242-B,146-491-B,156-106-B,156-360-B
decisorio	46-1155-B
declamare	150-3722-B
declinare	46-1412-B
declinazione	46-1318-B,46-1342-B
declino	56-231-B,210-1256-B
declive	46-1519-B
declivio	46-1430-B,46-1539-B,78-1288-B,173-1720-B,174-1478-B
decodificare	46-1618-B
decodificatore	46-1638-B
decodificazione	46-1661-B
decollare	46-192-B,101-1111-B,181-1477-B,181-1650-B,190-1944-B
decollazione	46-213-B
decollo	190-2041-B,190-2058-B
decolorare	46-1686-B,46-1708-B
decomponibile	46-1731-B
decomporre	46-1758-B
decomporsi	46-336-B,159-2658-B
decomposizione	46-1799-B,51-3513-B,52-2790-B
decompressione	46-1856-B
decontaminare	46-1885-B
decontaminazione	46-1913-B
decorare	46-1964-B,57-3849-B
decorativo	46-2087-B,126-864-B
decoratore	46-2131-B
decorazione	46-2019-B,126-936-B
decoro	50-783-B,86-2240-B,144-242-B,165-3365-B
decoroso	115-2681-B,156-840-B,166-0-B
decorrenza	64-2808-B
decorrere	57-391-B,64-2849-B,161-555-B
decorso	42-1737-B,64-2830-B,64-2978-B,130-1120-B,161-569-B
decotto	46-1580-B
decozione	46-1598-B
decremento	46-2460-B
decrepitezza	46-2522-B
decrepito	46-2503-B
decrescente	46-2354-B
decrescenza	46-2240-B
decrescere	55-1857-B,210-1269-B
decretare	46-2377-B,140-3755-B
decreto	46-2394-B,68-2995-B,161-14-B,215-2961-B
decubito	46-2564-B
decuplo	192-1928-B
decurtare	44-2037-B
dedalo	99-2907-B,111-1841-B
dedica	46-2618-B
dedicare	46-2583-B
dedicatorio	46-2659-B
dedicazione	46-2636-B
dedizione	49-2158-B
dedurre	37-333-B,46-2697-B,46-2728-B,56-2085-B,57-2217-B,62-3035-B,92-1523-B
deduttivo	46-2799-B
deduzione	38-3242-B,41-966-B,46-2761-B,92-1552-B
defalco	46-2781-B
defecazione	46-3206-B
defenestrazione	46-3469-B
deferente	36-581-B,156-971-B
deferenza	36-505-B
deferire	186-236-B
defezionare	46-3229-B
deficienza	46-3663-B,170-1290-B,170-1379-B,210-1331-B
deficit	46-3761-B,106-2390-B,170-1310-B,170-1581-B
definire	31-2007-B,47-77-B,48-2878-B,167-2748-B
definitivo	47-153-B,62-2016-B,100-3184-B,201-513-B
definizione	47-130-B
deflagrazione	47-175-B
deflazione	47-202-B
deflessione	47-246-B
deflettore	47-291-B
deflusso	56-2951-B,56-2988-B
deforestazione	47-331-B
deformare	47-360-B,52-3716-B,184-137-B
deformazione	25-143-B,47-427-B,51-2321-B,52-3785-B,210-2541-B
deforme	47-452-B,109-780-B,115-111-B
defraudare	47-507-B
defunto	48-317-B
degassificare	47-705-B
degenerazione	47-725-B,47-772-B
degli	124-186-B
deglutire	189-200-B
degnarsi	47-975-B
degno	215-1647-B
degno di fede	43-756-B
degno di nota	121-2430-B,121-2864-B
degradare	1-2463-B,47-848-B,47-3504-B,54-51-B
degradazione	1-2516-B,2-581-B,47-823-B
degustare	162-2090-B,191-1048-B
degustazione	81-896-B,191-1064-B,191-1191-B
dei conti	3-2411-S,151-163-S
dei dadi	49-3134-S
dei razzi	159-738-S
del	124-195-B
del corpo	22-2256-S
del giorno	6-1739-S
del pensiero	129-39-S
del piede	93-3291-S
del quale	212-2372-B
del vetro	77-431-S
delatore	92-2831-B
delega	144-3260-B
delegare	47-1237-B,48-1545-B
delegato	48-1584-B
delegazione	47-1216-B,47-1255-B,48-1522-B
delfino	53-2190-B
deliberare	46-838-B,46-2409-B,156-285-B
deliberatamente	47-1503-B
deliberato	38-2775-B,94-1397-B,99-1919-B,156-376-B
deliberazione	46-1069-B,49-825-B,156-155-B
delicato	47-1656-B,69-1939-B,171-2929-B,176-513-B,192-1687-B,195-515-B
delimitare	23-1553-B,47-93-B,47-1897-B,104-805-B
delimitazione	47-1916-B
delineare	126-3316-B
delinquente	43-1358-B,47-2007-B,124-512-B,216-71-B
delinquenza	43-1263-B,47-1963-B
deliquescente	47-2030-B
deliquio	66-1538-B,189-2347-B
delirare	148-3303-B
delirio	47-2057-B
delitto	43-1281-B,47-1987-B,124-367-B
delittuoso	43-1379-B
delizia	47-1793-B
deliziarsi	108-181-B
delizioso	5-1111-B,30-162-B,47-1735-B,47-1855-B,107-173-B
della	124-202-B
della gleba	22-3130-S,167-1225-S,208-2701-S
della pace	131-471-S
delle	124-211-B
delle lettere	102-3359-S
delle pulci	70-2205-S
dello	124-220-B
deltaplano	82-1897-B
deltoide	47-2244-B
delubro	170-2958-B,192-812-B
delucidare	57-2770-B,64-3029-B,88-3361-B
deludere	46-463-B
delusione	50-3179-B,74-1381-B,102-3023-B
deluso	50-3159-B
demagogia	47-2547-B
demagogico	47-2507-B
demagogo	47-2528-B
demente	107-2465-B
demenza	93-1415-B,107-2392-B,108-1474-B
demiurgo	47-2868-B
democratico	47-2978-B
democratizzare	47-2999-B
democrazia	47-2957-B
demodulazione	47-3026-B
demolire	47-3094-B,51-4033-B
demolitore	215-2433-B
demolizione	47-3131-B
demone	47-3154-B,49-1989-B
demonietto	89-1322-B
demonio	47-3167-B,69-161-B
demoralizzare	47-3479-B
denari	116-851-B
denaro	47-3695-B,116-626-B,132-191-B
denaturare	47-3604-B
dendrologia	47-3624-B
denigrare	47-3709-B,175-215-B,208-2303-B
denigrazione	47-3729-B
denitrificazione	47-3754-B
denocciolare	183-1039-B
denominare	26-1708-B,192-2335-B
denominatore	47-3852-B
denominazione	47-3807-B,118-2838-B,195-2995-B
denotare	47-3877-B
densimetro	48-0-B,88-292-B
denso	35-2712-B,47-3893-B,193-2310-B
dentale	48-62-B
dentario	48-77-B
dentata	179-2727-S
dentato	196-1697-B
dentatura	167-2403-B
dente	33-2944-B,196-1647-B
dentellare	196-1659-B
dentellatura	91-2089-B
denti	56-1175-S
dentiera	48-186-B
dentifricio	196-1732-B
dentistico	48-93-B
dentro	90-1341-B,91-3822-B,93-1871-B,94-4358-B,214-1408-B
denudare	18-982-B,48-203-B,184-3166-B
denunciare	154-3748-B
deodorante	48-274-B
deperimento	46-353-B
depilatorio	48-692-B
deplorare	152-3175-B,160-2151-B
deplorevole	48-739-B,152-3348-B,160-2194-B
depolarizzazione	48-808-B
deporre	50-3685-B,101-1859-B,101-1967-B,193-73-B
deportare	48-888-B
deportazione	48-905-B
depositante	17-1113-B,17-1132-B
depositare	48-1008-B,106-0-B
depositato	48-1059-B,197-1673-S
deposito	48-1027-B,48-1080-B,165-2676-B,167-3375-B,183-2047-B,183-2171-B,210-1795-B
deposizione	48-1100-B,49-1198-B,193-156-B
depredare	106-1970-B,135-161-B,137-1058-B
depressione	47-1013-B,48-1408-B,50-1926-B,54-2756-B,66-2459-B,151-3352-B,162-25-B,174-2493-B
depresso	22-1265-B,43-1104-B,52-851-B,107-623-B,116-2511-B,202-846-B
deprimere	48-1265-B,51-2886-B
depurare	145-3340-B
depurazione	145-3189-B,145-3250-B
deragliamento	48-1635-B
deragliare	48-1617-B
derapare	172-3245-B
derapata	172-3259-B
derelitto	48-1794-B,72-2296-B,72-2881-B,106-2220-B
deretano	17-218-B,20-343-B,25-902-B,26-2846-B,67-716-B,150-1263-B,182-1537-B
deridere	101-935-B,115-1720-B,191-1518-B
derisione	48-1828-B,115-1866-B,164-863-B
derisorio	48-1900-B,115-1952-B
deriva	54-1959-B
derivare	48-1985-B,182-844-B
derivata	48-1942-B
derivazione	48-1919-B,48-1962-B
dermatologo	48-2063-B
dermoide	102-542-B
derrata	35-1986-B
derubare	159-300-B
derviscio	48-2113-B
desco	190-668-B
descrittivo	48-2372-B
descrivere	48-2328-B
descrizione	48-670-B,48-2348-B
deserto	48-2495-B,106-2235-B
desiare	48-3098-B
desiderabile	48-3043-B
desiderare	48-3113-B,210-1347-B,214-850-B
desiderio	48-3131-B,210-1363-B,214-866-B
desideroso	48-3196-B,55-2196-B,87-2428-B,98-1654-B,214-918-B,214-949-B
designare	11-2269-B,14-930-B,48-2732-B,48-2897-B,110-1404-B,118-2857-B,121-893-B
designazione	14-1140-B,48-2954-B
desinare	50-1705-B,107-2565-B
desinenza	59-69-B,192-2619-B
desolante	48-3359-B
desolare	48-3297-B,49-1649-B
desolato	1-2371-B
desolazione	48-3334-B
despota	201-264-B
desquamazione	48-3703-B
dessert	48-3730-B
desso	193-1125-B
destabilizzare	48-3746-B
destare	16-2088-B,210-352-B,210-530-B
destarsi	16-2102-B
destinare	14-947-B,48-2749-B
destinatario	3-752-B,4-2400-B,38-4091-B,150-2934-B,150-3363-B
destinazione	48-3798-B
destino	48-3840-B,67-2449-B
desto	7-1630-B,16-2117-B,105-1073-B,147-1329-B,204-3693-B
destra	158-924-S,158-965-B
destrezza	5-1399-B,6-2478-B,44-1213-B,47-653-B,66-728-B,82-1020-B,99-1033-B,173-171-B,173-2950-B
destrina	49-2457-B
