dibattimento	198-3619-B
dibattito	6-2565-B,12-2385-B,45-2768-B
diboscare	47-312-B
diboscato	205-2095-B
dicastero	48-359-B,114-1364-B
dicembre	1-707-B
diceria	78-354-B
dichiarare	7-2634-B,26-1724-B,46-1280-B,64-3048-B,121-3321-B,142-1667-B,143-2063-B,163-1040-B,181-1887-B
dichiarazione	46-1254-B
diciannove	120-3116-B
diciannovesimo	120-3136-B
diciassette	167-3445-B
diciassettesimo	167-3467-B
diciottesimo	57-84-B
diciotto	57-66-B
dicitura	102-3408-B
didascalia	102-1627-B
didattico	49-3416-B
didentro	93-1885-B
didietro	20-359-B,150-1277-B
dieci	192-1148-B
diecina	192-1158-B
dielettrico	49-3598-B
diesel	49-3632-B,49-3646-B
dieta	49-3698-B
dietetico	49-3709-B,49-3727-B,49-3746-B
dietro	1-2299-B,6-1127-B,20-375-B
difatti	91-1737-B
difendere	46-3379-B,136-2311-B,141-280-B,144-1332-B
difensivo	46-3538-B
difensore	16-3194-B,46-3450-B,80-2503-B,208-2838-B
difesa	46-3326-B,46-3500-B,144-1447-B,161-2830-B,165-2502-B
difetto	25-411-B,45-2601-B,46-3248-B,46-3685-B,47-2755-B,66-1391-B,67-2814-B,70-2035-B,99-3127-B,170-1327-B,170-1402-B,208-1361-B
difettoso	70-2107-B,89-2421-B
diffamare	26-2262-B,46-3003-B,173-1551-B,175-231-B,197-1901-B,208-2320-B
diffamatore	49-1366-B,173-1613-B
diffamazione	26-2283-B,26-2326-B,46-2979-B,103-927-B,163-1767-B,173-1569-B
differente	50-119-B,203-3462-B
differenza	50-35-B
differenziale	50-177-B
differenziare	50-204-B
differimento	139-835-B,188-3450-B
differire	4-2977-B,46-3558-B,47-1035-B,50-0-B,139-720-B,142-1824-B,207-841-B
difficile	50-258-B,67-2207-B,69-2137-B,82-3052-B,134-2426-B,196-2991-B,202-3349-B
difficilmente	84-2235-B
diffida	28-2982-B,210-2468-B
diffidare	5-855-B,28-2664-B,210-2339-B
diffidare di	53-261-B
diffidente	53-321-B,102-1062-B,115-701-B,188-3537-B
diffidenza	53-283-B,115-663-B
diffondere	50-381-B,52-2264-B,65-3347-B,148-522-B,179-1956-B
diffrazione	50-335-B
diffusione	143-2439-B,179-1974-B
diffuso	50-400-B,50-416-B,179-1992-B
diffusore	50-433-B
difterite	50-2006-B
diga	18-1986-B,45-391-B,50-829-B,103-189-B
digerente	7-2134-B,50-592-B
digeribile	50-549-B
digerire	50-481-B
digestione	50-571-B
digestore	50-530-B
digitale	50-690-B
digiunare	67-1968-B
digiuno	67-1983-B
dignitario	50-762-B
dignitoso	50-707-B,79-347-B,156-861-B
digradamento	78-1022-B
digradare	46-1447-B,172-1584-B
digressione	63-2338-B
dilacerare	191-2125-B
dilagare	47-2312-B
dilapidatore	180-549-B
dilatare	50-936-B,64-1076-B
dilatazione	50-895-B,50-952-B,64-1321-B,65-1592-B
dilazionare	47-1051-B,155-873-B
dilazione	46-3624-B,47-1069-B,139-861-B,156-1163-B,188-3474-B
dileggiare	115-1734-B,191-1533-B
dileguare	52-690-B
dileguarsi	207-164-B
dilemma	50-1013-B
dilettante	8-2126-B,50-1048-B
dilettantesco	8-2145-B,8-2167-B,50-1070-B
dilettantismo	50-1097-B
dilettevole	9-911-B,59-2334-B,74-2943-B,136-2439-B
diletto	20-1048-B,45-2559-B,47-1809-B,59-2376-B,136-2735-B
diligente	14-855-B,25-2706-B,27-2607-B,50-1176-B,91-4357-B,165-2944-B,185-1102-B
diligenza	3-2847-B,33-1118-B,50-1139-B
diluente	194-229-B
diluire	50-1244-B,193-2808-B
diluito	202-2550-S
diluviale	50-1259-B
diluviare	47-2328-B
diluvio	47-2345-B,71-71-B
dimagrante	174-692-B
dimagrire	106-2357-B,174-530-B
dimenare	213-1736-B
dimenarsi	69-16-B,71-537-B
dimensionamento	172-2750-B
dimensione	50-1385-B,108-2495-B,172-2627-B
dimenticanza	123-463-B
dimenticare	72-1902-B,119-3135-B,203-3289-B
dimentico	72-1976-B
dimettere	51-172-B,153-1805-B
dimettersi	155-3689-B
diminuire	1-2747-B,45-2182-B,46-2261-B,50-1427-B,54-2773-B,65-1871-B,102-2740-B,107-705-B,151-3252-B,153-1526-B,156-3807-B,162-41-B,170-1486-B,170-3020-B
diminutivo	50-1499-B
diminuzione	1-2883-B,44-2692-B,46-1465-B,46-2280-B,46-2481-B,48-2277-B,54-223-B,65-1934-B,66-2476-B,102-2787-B,107-815-B,151-3374-B,162-55-B,170-3111-B,186-912-B
dimissione	52-96-B
dimora	2-833-B,81-1751-B,155-3458-B,176-1090-B
dimorare	55-1795-B,105-862-B,181-2760-B
dimostrare	47-3239-B,144-2401-B,170-2165-B
dimostrarsi	144-2418-B
dimostratore	47-3453-B
dimostrazione	47-3353-B,62-2640-B,63-3887-B,109-2927-B,143-2180-B,155-523-B
dina	55-2063-B
dinamica	55-1972-B
dinamico	55-1955-B
dinamite	55-1990-B
dinamo	55-2008-B,76-622-B
dinamometro	55-2022-B
dinanzi	19-2832-B
dinastia	55-2046-B
diniego	152-1910-B,155-1686-B
dintorni	60-1983-B,60-2061-B,120-263-B,188-2679-B
dintorno	12-3437-B
dio	77-2419-B
diocesano	50-1829-B
diocesi	21-1604-B,50-1848-B
diodo	50-1864-B
diossina	50-1910-B
diottria	50-1876-B
dipanare	205-1915-B
dipartimento	48-380-B
dipartita	48-463-B,64-686-B
dipendente	48-612-B,58-1427-B,109-1318-B,186-329-B
dipendenza	48-568-B,48-590-B
dipendere	48-502-B
dipingere	128-1515-B,155-373-B
dipinto	88-3731-B,128-1690-B,134-2476-B
diploma	29-1516-B,50-2046-B
diplomatica	50-2127-B
diplomatico	50-2083-B,50-2104-B
diplomazia	50-2062-B
dipolo	50-2151-B
diporto	9-837-B,179-1109-B
diramazione	72-2208-B,148-3394-B
dire	111-2274-S,134-1585-S,146-1227-B,163-1055-B,171-2370-S,177-3066-B,190-2343-B,192-181-B
direttissimo	65-488-B
direttiva	50-2491-B
direttivo	109-2010-B,109-2054-B
diretto	50-2209-B,50-2386-B,89-546-B,127-266-B,183-2892-B
direttore	50-2535-B,84-138-B,84-642-B,101-2422-B,109-1829-B,187-2407-B,187-3184-B
direttrice	84-707-B,109-1948-B
direzione	37-1681-B,42-1752-B,50-2403-B,50-2571-B,84-682-B,84-893-B,101-2439-B,101-2515-B,109-1707-B,182-680-B,187-2358-B,198-3427-B,211-1736-B
dirigente	63-3009-B,109-1847-B,109-1970-B
dirigere	37-1699-B,50-2224-B,80-3170-B,109-1441-B,161-581-B,182-501-B,200-1548-B
dirigersi	200-1562-B
dirigibile	7-672-B,182-637-B
dirimpetto	125-1711-B
diritto	55-1651-B,66-357-B,68-627-B,101-1454-B,158-991-B,175-939-B,183-2909-B
dirittura	184-32-B
diroccare	47-3112-B,51-4052-B
dirozzare	152-211-B
dirupo	78-183-B,149-2902-B
disabitato	203-2140-B
disaccoppiare	202-136-B
disaccordo	50-57-B,50-2745-B,50-2942-B,51-1121-B,51-1623-B,52-2352-B
disadattato	109-391-B
disadatto	90-2186-B,203-387-B,204-4244-B,205-0-B,215-3208-B
disadorno	18-996-B
disagevole	90-3987-B,201-3338-B
disagio	51-639-B
disarmare	50-3232-B
disarmo	50-3249-B
disarmonia	51-2864-B
disarmonico	51-2838-B
disastro	50-3405-B,83-2816-B
disastroso	50-3476-B
disattento	27-2701-B,90-1862-B
disattenzione	90-1756-B,90-1809-B,90-2284-B
disavanzo	46-3704-B,46-3777-B,106-2403-B
disavventura	114-2048-B,114-3531-B
discarica	55-979-B
discendente	48-2210-B,124-1238-B,164-705-B
discendenza	67-135-B,124-1260-B,129-2413-B,131-1908-B,142-3845-B
discendere	35-21-B,48-2191-B,182-858-B
discente	102-171-B
discepolo	51-317-B,71-2391-B
discernere	48-2396-B,51-48-B,51-1773-B,99-1820-B
discernimento	51-126-B,51-1685-B
discesa	48-2297-B,66-2493-B,78-1141-B,78-1306-B,174-1493-B
dischetto	51-3845-B,71-418-B
dischiudere	51-520-B,125-231-B
disciogliere	106-1871-B,153-1823-B,201-2230-B
disciplina	51-404-B
disciplinare	51-353-B,51-378-B,51-426-B
disciplinato	51-450-B
disco	50-3674-B,51-1853-B,51-3834-B,136-1462-B,191-662-B
disco combinatore	49-2674-B
discolpa	63-2277-B,63-2525-B,64-791-B,98-1216-B
discordanza	51-1194-B
discordare	50-17-B,50-2844-B
discorde	52-2993-B
discordia	51-1140-B,52-2311-B,53-549-B
discorrere	177-3077-B,190-2353-B
discorso	4-2328-B,40-1974-B,51-1379-B,178-1173-B,190-2369-B
discostare	154-760-B
discosto	154-877-B
discoteca	51-1262-B
discreditare	51-1538-B
discreto	51-1580-B,66-1866-B,78-14-B,204-867-B
discrezione	51-1598-B,51-1710-B
discriminazione	51-1822-B
discussione	45-2785-B
discutere	12-2302-B,116-2465-B
discutibile	12-2246-B,40-1026-B,40-1177-B,45-2746-B,52-1537-B,53-3224-B,147-1104-B
disdegno	164-1500-B
disdetta	2-1940-B,114-2564-B,121-3102-B,155-2737-B
disdettare	155-2655-B
disdicevole	201-1910-B
disdire	26-3064-B,155-2674-B
disegnare	48-2766-B,54-481-B,54-1086-B,172-3099-B
disegno	48-2783-B,54-1355-B,69-718-B,130-3052-B,134-2492-B,136-352-B,163-3128-B
disegno di legge	21-612-B
diserbante	85-745-B,85-767-B
diseredamento	51-3460-B
diseredare	51-3438-B
disertare	48-2510-B
disertore	48-2548-B,161-855-B
diserzione	48-2567-B
disfacimento	24-653-B,52-1960-B
disfare	204-33-B,204-931-B,205-2197-B,215-2270-B
disfattismo	46-3184-B
disgelo	193-1009-B
disgiungere	51-3668-B,51-3722-B,167-251-B,168-17-B,202-159-B,203-3664-B
disgiunzione	51-890-B,51-3809-B,167-451-B
disgrazia	6-654-B,114-2074-B,114-3309-B
disgraziato	52-4104-B,107-1455-B,114-2973-B,138-2270-B,203-711-B,203-1263-B,203-3975-B,215-2571-B
disgregare	51-3489-B
disgregazione	24-674-B,51-3543-B
disgustare	51-2520-B,171-556-B
disgusto	52-3190-B,105-1801-B,155-1544-B,155-1827-B
disgustoso	2-387-B,51-2690-B,74-2148-B,105-1839-B,106-3048-B,119-499-B,119-1449-B,121-692-B,123-571-B,123-3715-B,155-1604-B,155-1867-B,157-2337-B,171-574-B,204-2929-B
disidratazione	47-930-B
disillusione	50-3204-B,51-3201-B,74-1403-B
disimparare	203-3309-B
disimpegnare	51-2120-B,153-2700-B
disimpegno	151-2852-B
disincantare	51-2070-B
disincanto	51-2094-B
disinfettare	51-3347-B
disinfezione	51-3370-B
disinganno	51-3226-B
disinnescare	47-672-B
disinnestare	46-1558-B,51-773-B,51-2143-B
disinnesto	51-2166-B,153-1844-B
disintegrazione	24-696-B,51-3572-B
disinteressato	166-1957-B,204-3297-B
disinteresse	166-1981-B,204-3322-B
disinvolto	55-3033-B,56-3078-B,201-3960-B
dislivello	78-1155-B,78-1323-B
dislocare	153-2932-B
dislocazione	52-933-B
dismisura	63-899-B
disobbedire	52-180-B
disoccupato	97-636-B,126-2151-B,202-3427-B,215-721-B
disoccupazione	97-656-B,202-3450-B
disonesto	51-2980-B,205-995-B
disonorare	15-1093-B,51-2370-B,51-3017-B,51-3055-B,180-2305-B
disonore	51-3037-B,51-3076-B,125-2066-B,168-1476-B
disopra	205-3496-B
disordinato	52-303-B,52-351-B,113-346-B,118-1412-B,205-562-B
disordine	29-3190-B,33-662-B,50-3293-B,52-245-B,52-326-B,111-1772-B,113-131-B,117-2649-B,118-1379-B,199-1771-B,200-1455-B
disorientamento	52-421-B
disorientare	52-395-B
disossare	22-3168-B
disossidare	48-295-B
disotto	20-1093-B,54-173-B,202-627-B
disparere	50-2966-B
dispari	123-3561-B
disparte	8-714-S,10-3327-S,13-2496-S
dispendio	64-2180-B,64-2271-B,126-3176-B
dispensa	63-3175-B,67-1604-B,100-2453-B,129-230-B
dispepsia	91-3064-B
disperato	48-3401-B,48-3439-B,86-2826-B,101-134-B
disperazione	48-3380-B,48-3459-B,86-2845-B
disperdere	52-709-B,52-2541-B,163-2468-B
