gentildonna	76-1223-B,100-506-B
gentile	31-2544-B,76-1034-B,99-48-B,109-3444-B,120-2310-B,123-320-B,138-527-B,189-1161-B,206-74-B
gentilezza	20-1758-B,76-1201-B,78-31-B,99-161-B,99-235-B,123-359-B
gentiluomo	76-929-B,76-1122-B
genuflettersi	76-1267-B
genuino	15-3682-B,76-1316-B,77-3000-B,145-1157-B,150-694-B,172-687-B,199-2555-B,201-1176-B,201-1412-B,203-292-B
genziana	76-977-B
geocentrico	76-1392-B
geochimica	76-1415-B
geodesia	76-1457-B
geodeta	76-1439-B
geodetico	76-1474-B
geofisica	76-1657-B
geografia	76-1539-B
geografica	110-556-S
geografico	76-1493-B,76-1515-B
geologia	76-1577-B
geologo	76-1559-B
geometra	188-3023-B
geometria	76-1638-B
geometrico	76-1594-B,76-1615-B
gerarchia	85-2152-B
gerarchico	85-2128-B
gerente	109-1865-B,109-1991-B
gergale	173-1679-B,173-1705-B
gergo	12-2234-B,27-559-B,96-2187-B,104-1687-B,129-2820-B,173-1693-B
germanico	1-1058-B
germanio	76-1702-B
germanizzare	76-1721-B
germe	76-1678-B,165-3052-B
germinale	76-1764-B
germinare	76-1783-B,179-2750-B
germinazione	76-1821-B
germogliare	25-245-B,25-1564-B,145-1437-B,179-2767-B
germoglio	124-1155-B,124-1201-B,170-411-B,179-2786-B
gerundio	76-1846-B
gesso	29-2221-B,81-1440-B
gestazione	76-1862-B
gesticolare	76-1883-B
gestionale	125-1019-B
gestione	37-1754-B,109-1728-B,125-960-B
gestire	37-1771-B,109-1472-B,161-658-B
gesto	76-1907-B,117-187-B
gestore	109-1881-B
gesuita	1-1484-B,96-2921-B
gettare	28-918-B,135-1976-B,179-1624-B,194-3165-B
gettare l ancora	9-1952-B
gettata	28-931-B,28-1078-B
gettito	142-1341-B,190-1699-B,216-1493-B
getto	96-2951-B,179-2803-B,194-3179-B
gettone	30-2813-B,42-294-B
geyser	76-2313-B
gheppio	98-2389-B
ghermire	80-18-B,166-485-B
gherone	81-881-B
ghetto	76-2344-B
ghiacciaia	88-1533-B
ghiacciaio	76-3367-B
ghiacciarsi	88-1348-B,88-1411-B,88-1462-B
ghiacciato	74-963-B,74-1155-B,88-1497-B,88-1775-B
ghiaccio	88-1364-B
ghiacciolo	88-1599-B
ghiaia	79-459-B,79-473-S,80-310-B
ghiaioso	79-499-B
ghianda	4-62-B
ghiandaia	96-2373-B
ghigliottina	81-63-B
ghignare	79-3013-B
ghigno	79-3027-B
ghiotto	45-275-B,47-1755-B,79-1585-B,98-37-B,103-1681-B
ghiribizzo	67-623-B,73-2350-B,112-1116-B,206-2168-B,212-2771-B,212-2842-B
ghirlanda	41-1015-B,75-2386-B,215-2185-B
ghisa	28-979-B
giacca	33-1615-B,96-1659-B
giacca a vento	10-946-B,213-2739-B,213-2766-B
giacente	151-2262-B
giacere	103-1947-B,155-185-B,156-1418-B
giaciglio	19-2278-B
giacinto	96-1371-B
giada	96-1722-B
giaguaro	96-1777-B
giaietto	96-2961-B
giallastro	162-1168-B,216-1167-B,216-1250-B
gialliccio	162-1186-B
gialligno	216-1188-B,216-1269-B
giallo	213-785-B,216-1128-B
giallognolo	216-1208-B,216-1287-B
giallore	216-1230-B
giambo	88-1294-B
giammai	119-1793-B,120-1567-B
giapponese	1-1445-B,96-2111-B
giara	97-3072-B
giardinaggio	87-456-B
giardino	75-2228-B
giardino zoologico	216-2801-B,216-2824-B
giarrettiera	75-2635-B
giavazzo	96-2974-B
giavellotto	96-2293-B
gibboso	87-2167-B
gigante	76-2417-B,98-185-B,103-516-B,199-1399-B
gigantesco	34-2452-B,59-2913-B,75-2272-B,76-2431-B,76-2621-B,87-1552-B,98-199-B
gigliaceo	104-475-B
giglio	104-509-B
gigolo	76-2660-B
gilda	80-3314-B
gin	76-2833-B
ginecologia	81-1364-B,81-1388-B
ginecologico	81-1336-B
ginepro	98-729-B
ginevra	76-802-B
ginnasiale	81-1200-B
ginnasio	78-1814-B
ginnasta	81-1258-B
ginnastica	81-1314-B
ginnastico	81-1275-B
ginnico	81-1296-B
ginocchio	99-1223-B
giocare	136-1895-B
giocatore	136-2135-B
giocattolo	136-2188-B,197-853-B
giocherellare	197-868-B
giochetto	75-1720-B
gioco	75-1735-B,135-2029-S,136-1908-B
gioco dei dadi	49-3134-B
gioco di parole	145-1835-B
giocoliere	97-3153-B
giocondo	76-52-B,97-805-B,97-1605-B,97-2096-B,97-2288-B,112-3450-B
giocoso	74-694-B,97-762-B
giogaia	49-2395-B,158-488-B
giogo	216-1752-B
gioia	47-1825-B,77-140-B,77-831-B,82-2556-B,97-90-B,97-2221-B,97-2354-B,114-1968-B,136-2774-B,153-917-B
gioielleria	97-155-B,97-203-B
gioielliere	97-117-B
gioiello	97-102-B
gioioso	22-298-B,30-1591-B,97-2304-B,97-2420-B
gioire	153-845-B
giordania	97-1677-B
giordano	97-1694-B
giornalaio	120-1865-B
giornale	76-125-B,97-1832-B,97-1849-S,120-1989-B,129-491-B
giornaliero	45-199-B,62-2410-B
giornalismo	97-1925-B
giornalista	97-1948-B,120-1929-B,141-859-B
giornalistico	97-1971-B
giornata	45-1986-B
giornata lavorativa	109-1377-B,215-555-B
giorni	45-2080-B
giorno	6-1739-S,45-1999-B,77-3084-S
giostra	97-2067-B,112-3502-B,160-740-B,195-1367-B,197-299-B,197-336-B
giovamento	20-1722-B,142-3264-B
giovane	216-1866-B,216-2172-B
giovane esploratore	164-1919-B
giovanotto	100-266-B,216-1896-B
giovare	84-3226-B,142-3282-B,167-1660-B
giovenca	84-2700-B
giovenco	182-516-B
giovevole	85-63-B,186-791-B,206-817-B
gioviale	40-2950-B,97-729-B,97-2112-B
giovincello	216-1917-B
giovinetto	100-281-B,216-1939-B
giovinezza	216-2186-B
giradischi	151-1413-B
giraffa	26-2476-B,76-2955-B
giramondo	77-1202-B,77-1226-B,210-1077-B
girante	59-431-B,89-2174-B
girare	31-1771-B,81-1467-B,157-2509-B,159-1404-B,159-2833-B,189-2318-B,200-1577-B,200-2694-B
girare a vuoto	88-2441-B
girare un film	69-1240-B
girarrosto	159-2946-B
girasole	187-1511-B
girata	200-1589-B
giravolta	200-1897-B
girevole	159-2786-B
girino	190-1345-B
giro	100-2064-B,132-1070-B,157-652-B,157-2441-B,159-2876-B,160-560-B,185-98-B,197-123-B,200-1601-B,210-608-B
girone	31-1538-B,82-1138-B
giroscopico	81-1556-B
giroscopio	81-1500-B,81-1535-B
girovagare	160-1052-B,210-990-B
girovago	96-1254-B,148-3337-B,160-1097-B,197-2882-B,206-2114-B,206-2272-B,210-1096-B
gita	54-2374-B,63-2403-B,126-3001-B,161-670-B,199-1014-B
gitano	76-2942-B
gitante	63-2445-B,199-1218-B
gittata	149-408-B
giubba	22-911-B,33-1627-B,96-1673-B
giubbotto	22-925-B
giubilare	65-3393-B,97-2551-B,187-1808-B
giubileo	97-2630-B
giubilo	65-3463-B,97-2591-B
giuda	97-2647-B
giudicare	4-3144-B,38-3696-B,46-2856-B,97-2689-B,152-2300-B,155-2087-B,166-3798-B,193-3078-B,200-96-B
giudice	4-3210-B,97-2705-B,98-1133-B,152-50-B
giudiziale	97-2868-B,97-2925-B
giudiziario	72-1103-B,97-2888-B,97-2946-B,102-1388-B
giudizio	51-1733-B,61-3053-B,97-2734-B,97-2808-B,114-634-B,166-3236-B,198-3638-B,208-1719-B
giudizioso	97-3011-B
giugno	1-1537-B
giugulare	97-3194-B
giulivo	85-2498-B
giullare	96-2905-B
giumenta	110-865-B
giumento	128-318-B
giuncata	44-1458-B
giunchiglia	97-1657-B
giunco	151-3601-B
giungere	13-708-B,34-3583-B
giungere a	150-149-B
giungla	98-621-B
giunta	58-2993-B
giuntare	38-1967-B,97-1000-B,179-235-B
giunto	97-1250-B,104-2075-B,165-455-B
giuntura	35-1706-B,38-1575-B,97-1130-B,97-1263-B,98-526-B
giunzione	98-544-B,165-467-B,195-729-B
giuoco	75-1746-B,136-1919-B
giuramento	122-2445-B
giurare	189-864-B
giurato	98-987-B,98-1013-B,189-2518-B
giuria	98-1001-B,128-3135-B
giuridico	98-829-B,98-860-B,98-968-B,102-1406-B
giurisdizione	98-880-B
giurisprudenza	98-907-B
giurista	98-952-B,101-1672-B
giustificabile	98-1167-B,208-2740-B,210-2652-B
giustificare	63-2541-B,98-1341-B,208-2766-B,210-2600-B
giustificativo	64-832-B,98-1259-B
giustificato	98-1318-B
giustificatorio	98-1288-B
giustificazione	63-2561-B,136-2251-B,208-2789-B
giustizia	61-457-B,98-1149-B
giustiziare	63-2773-B
giustiziere	63-2960-B,84-969-B
giusto	11-2525-B,41-1537-B,61-440-B,62-3385-B,66-1775-B,70-195-B,98-1066-B,143-2938-B,158-1018-B,158-1185-B,180-777-B,212-1006-B
glabro	76-3334-B,175-954-B
glaciale	76-3350-B
gladiatore	77-61-B
gladiolo	77-82-B
glandola	77-307-B
glassa	77-610-B,88-1617-B
glassare	77-623-B
gleba	22-3130-S,167-1225-S,208-2701-S
gli	85-2589-B
glicerina	77-1809-B
glicerolo	77-1828-B,77-1848-B
glicogeno	77-1867-B
globale	6-2206-B,60-810-B,77-1136-B,127-1195-B,196-2628-B
globo	17-2046-B,55-2608-B,77-1151-B,125-2741-B,178-2075-B
globo terrestre	77-1163-B
globulare	77-1249-B
globulo	41-1422-B,77-1268-B
gloria	66-3231-B,99-2409-B,141-2883-B,179-67-B,179-105-B
gloriarsi	22-1903-B
glorificare	62-3585-B,77-1417-B,139-3114-B
glorioso	77-1437-B
glossare	77-1492-B
glossario	77-1537-B
glottologico	104-1752-B
glottologo	104-1713-B
glucoside	77-1662-B
glucosio	77-1645-B
glutine	77-1755-B
glutinoso	77-1707-B,77-1770-B,182-2142-B
gnaulare	216-2203-B
gneiss	77-1946-B
gnocco	107-2314-B
gnomo	55-1753-B,77-1960-B,102-2585-B
gnu	77-1983-B
gobba	25-977-B,87-2123-B,87-2152-B,87-2210-B,87-2242-B
gobbo	87-2186-B,87-2258-B,87-2274-B
goccia	19-906-B,22-382-B,54-2788-B
gocciola	54-2800-B
gocciolo	54-2814-B
godere	59-2321-B
godimento	47-1194-B,59-2394-B,206-720-B
godronatura	99-2306-B
goffo	16-2499-B,32-2672-B,33-505-B,44-1132-B,75-3155-B,107-2378-B,203-1006-B,203-1188-B,205-1829-B
gogna	135-404-B
gola	78-208-B,81-286-B,81-362-B,147-2878-B,149-2929-B,189-235-B,194-2614-B
goletta	164-478-B
golf	77-2786-B,145-1387-B
golfo	81-309-B
goloso	79-1600-B,103-1699-B
golpe	42-1315-B
gomena	26-587-B,159-2272-B
gomito	57-473-B
gomitolo	32-1829-B
gomma	61-771-B,81-511-B,148-1347-S,160-1482-B,201-324-B
gomma arabica	3-106-B
gomma da masticare	30-2108-B
gommapiuma	71-1707-B
gommare	81-521-B,160-1495-B
gommoso	81-558-B
gondoliere	77-2830-B
gonfiabile	92-2173-B
gonfiamento	92-2212-B
gonfiare	22-990-B,22-1060-B,92-2195-B,145-871-B,145-1723-B
gonfiatura	95-859-B
gonfio	22-341-B,189-2332-B,200-770-B,200-1390-B
gonfiore	95-883-B,189-1580-B
gongolare	65-3409-B
goniometro	77-2864-B,144-1986-B
gonna	173-739-B
gonorrea	77-2909-B
gonzo	55-1139-B,121-1589-B,186-3085-B
gorgo	56-1112-B,213-35-B
gorgogliamento	24-3396-B
gorgogliare	24-3377-B,80-3104-B,81-808-B
gorgoglio	80-3123-B
gorilla	78-274-B
gota	30-1304-B
gotico	1-1077-B,78-425-B
governabile	182-658-B
governante	78-591-B,160-3058-B
governare	40-793-B,78-524-B,80-3185-B,99-429-B,109-1487-B,119-1606-B,160-2858-B,182-531-B
governativo	78-631-B
governatore	78-656-B
governo	78-572-B,78-612-B,82-1324-B,109-1748-B,160-2873-B,182-699-B
gozzo	43-255-B,77-2617-B
gozzoviglia	23-416-B,157-852-B,158-1706-B
gozzovigliare	157-870-B
gracidare	43-1718-B
gracile	73-1526-B
gradatamente	78-1471-B,182-1129-B
gradazione	78-1045-B
gradevole	6-2957-B,78-3154-B,99-61-B,120-2323-B,136-2460-B,136-2612-B,136-2669-B
gradiente	78-1343-B
gradinata	180-2462-B,180-2534-B
gradino	78-1172-B,103-234-B,180-2478-B
gradire	103-3464-B
gradito	38-279-B,79-95-B,189-1175-B,212-783-B
grado	47-883-B,78-1186-B,125-3135-B,135-1990-B,137-2173-B,149-501-B
graduale	78-1088-B,78-1454-B
graduare	78-1005-B,78-1198-B,78-1494-B
graduato	78-1530-B
graduatoria	100-308-B,104-2781-B
graduazione	78-1066-B,78-1549-B
graffa	23-2272-B,32-2422-B,181-886-B
graffiare	32-357-B,164-1367-B,164-2438-B
graffiatura	164-2456-B
grafia	82-480-B,82-1678-B,178-1659-B,215-3136-B
grafico	30-272-B,49-2629-B,78-2716-B,78-2742-B
grafite	78-2773-B,137-833-B
grafo	78-2730-B
grafologia	78-2834-B
grafologo	78-2811-B
grammatica	78-1795-B
grammaticale	78-1860-B
grammatico	78-1838-B
grammo	78-1783-B,78-1885-B
grammofono	78-1899-B,134-648-B
grana	78-1697-B
grana fine	69-2042-S
grana grossa	33-1435-S
granaglie	78-1709-B
granaio	24-194-B,78-1921-B
granata	20-2329-B,79-2221-B
granatiere	79-2237-B
granato	75-2450-B
granchio	42-2879-B,43-324-B
grande	21-328-B,78-1968-B,79-1096-B,80-1660-B,100-2508-B
grandezza	79-1480-B,100-2588-B,108-2516-B,146-3433-B,172-2656-B
grandinata	81-2336-B
grandine	81-2310-B
grandioso	78-1981-B,78-2169-B,108-2368-B
grandissimo	206-1386-B
granello	78-1725-B
granitico	78-2348-B
granito	78-2332-B
grano	78-1740-B,212-1881-B
granoturco	108-3270-B
granturco	41-685-B,108-3287-B
granulare	78-2582-B,78-2620-B
granulazione	78-2640-B
granuloso	78-1766-B,78-2601-B
grappa	32-2434-B,43-13-B,53-1908-B,181-900-B
grappolo	25-1122-B
grassetto	22-2603-B,22-2704-B
grasso	67-2294-B,79-886-B,79-1037-B,80-706-B,104-2264-B
grasso di balena	22-1188-B
grasso lubrificante	79-900-B
