basilica	18-2841-B
basilicale	18-2859-B
basilico	18-2826-B
basilisco	18-2880-B
bassa	107-880-B
bassa marea	107-506-B
bassa pressione	107-545-S
bassa quota	107-470-S
bassezza	107-929-B
basso	18-2461-B,18-3137-B,18-3148-B,53-3421-S,54-0-B,105-432-B,107-413-B,111-2103-B,168-1349-B,170-890-B,174-2699-B,208-2235-B
bassofondo	168-1363-B,170-35-B
bassopiano	107-894-B
bassotto	45-58-B
bastante	186-3598-B
bastardo	18-3209-B,81-2810-B,114-2319-B,116-817-B,179-3152-B
bastare	19-760-B,186-3582-B
bastevole	9-386-B,186-3618-B
bastimento	169-2630-B,208-424-B
bastionata	72-3126-B
bastione	19-0-B,25-873-B,164-1003-B
bastonare	19-1691-B,54-3039-B,103-1612-B,199-2271-B,210-796-B,213-1093-B
bastonatura	103-1716-B,194-1483-B
bastoncino	159-829-B,182-1878-B
bastone	33-347-B,132-1254-B,181-2732-B,182-1895-B
batacchio	31-3350-B
batiscafo	19-244-B
batista	19-266-B
batocchio	31-3368-B
batosta	22-942-B,103-1736-B,194-1505-B
battaglia	19-452-B
battagliare	19-469-B,69-405-B
battagliero	34-3199-B,145-1015-B
battaglione	19-335-B
battelliere	22-2079-B,211-938-B
battello	22-2006-B,169-2646-B
battello di gomma	148-1347-B
battente	99-1728-B,148-3234-S,149-1033-B,200-1231-S,213-3299-B
battere	18-3273-B,19-369-B,19-1533-B,24-269-B,32-1858-B,82-232-B,86-50-B,99-1437-B,114-1559-B,139-1725-B,149-687-B,175-1404-B,184-2711-B,191-212-B,194-1433-B,194-1996-B,194-2659-B,194-3368-B
battere le ali	71-1248-B
battere le mani	31-3292-B
batteria	19-422-B
batterico	17-401-B
batterio	17-507-B
batteriologia	17-480-B
batteriologico	17-421-B
batteriologo	17-452-B
battesimale	18-476-B
battesimo	18-458-B,31-497-B
battezzare	18-536-B,31-477-B
battezzatore	18-498-B
battibecco	83-1802-B,180-209-B,195-899-B
battiloro	77-2662-B
battimano	31-3313-B,31-3386-B,82-779-B
battista	18-519-B
battito	19-1546-B,19-1773-B,84-1624-B,99-1451-B,135-1855-B,145-1596-B,184-3467-B,194-2673-B
battitura	19-1789-B
battuta	19-1559-B,22-955-B,75-920-B,99-1465-B,145-1855-B,147-2271-B,170-1694-B,184-3482-B,212-1719-B
baule	199-2884-B
bava	25-2206-B,54-1934-B,174-641-B
bavaglino	20-3180-B
bavaglio	75-932-B
bavarese	1-365-B
bavero	34-1122-B
bavoso	174-1392-B
bazar	19-662-B
bazzecola	199-375-B
be	212-939-B
beatificare	19-1753-B
beatificazione	19-1724-B
beatitudine	19-1840-B
beato	19-1709-B,22-206-B
bebe	16-3022-B
beccaccia	214-2866-B
beccaio	25-2807-B
beccare	131-1145-B,134-2051-B
becco	19-931-B,21-577-B,44-424-B,119-2106-B,122-828-B
beccofrusone	211-1703-B
beccuccio	122-841-B
becher	19-942-B
beduino	19-2498-B
beffa	48-1813-B,76-2488-B,97-1376-B,115-1664-B,139-3266-B,164-851-B
beffardo	48-1882-B,115-1935-B
beffare	115-1675-B,191-1504-B
beffatore	86-432-B,115-1798-B,164-908-B
beffe di	100-2708-S
bega	52-1644-B
begonia	20-148-B
belare	16-2873-B,21-3119-B
belato	16-2884-B
belga	1-383-B
bella	20-873-B
belletto	128-1487-B
bellezza	19-1949-B,30-54-B
bellicismo	210-2231-B
bellico	113-3346-B,210-1599-B,210-1933-B
bellicoso	110-2296-B,199-2508-B,210-1949-B
bellimbusto	19-1862-B,42-2716-B,45-907-B,71-3185-B
bellino	50-1789-B
bello	19-1914-B,19-1965-B,35-185-B,66-1694-B,77-2929-B,82-1603-B,107-160-B,119-1981-B,120-2267-B,141-1717-B,177-1179-B
belvedere	106-1430-B
benaccetto	212-707-B
benarrivato	212-726-B
benda	17-2629-B,17-2706-B
bendare	21-936-B
bendatura	17-2720-B
bendisposto	212-1138-B
bene	69-1908-B,77-2940-B,107-66-B,124-1619-B,143-3030-B,158-939-B,212-883-B,212-948-B
benedetto	20-1551-B
benedire	21-3282-B
benedizione	20-1570-B,21-3297-B
beneducato	212-1185-B
benefattore	20-1618-B
beneficenza	20-1594-B,20-1641-B,29-3785-B
beneficio	5-2339-B,20-1704-B,77-2950-B,142-3233-B
benefico	20-1665-B
beneplacito	21-3318-B,38-3099-B
benessere	144-1042-B,212-896-B
benestante	6-792-B,211-2339-B
benestare	11-3933-B,14-459-B,38-3119-B
benevolo	6-0-B,20-1781-B,20-1801-B,74-177-B,78-871-B,98-3166-B
beni	14-793-B,56-2295-B,61-2601-B,78-51-B,143-3081-B,186-1120-B,211-2223-B
beni immobili	150-769-B
beni mobili	117-1955-B,133-1153-B
beniamino	20-1865-B,133-2868-B
benigno	20-1817-B,78-889-B
benissimo	124-1629-B
benone	7-2479-B
benportante	107-3212-B,185-157-B,208-2056-B
benservito	193-110-B
bentornato	212-746-B
benvenuto	79-2085-B,212-765-B
benvoluto	104-100-B,138-2535-B
benzaldeide	20-1931-B
benzene	20-1956-B
benzina	20-1988-B,75-2811-B,133-3114-B
benzoico	20-2004-B
benzolo	20-1972-B,20-2021-B
beone	23-434-B,55-28-B,175-2671-B,177-1124-B,177-1565-B,196-1883-B,214-272-B
beota	88-2384-B
berbero	1-397-B
bere	54-2207-B
bergamotto	20-2051-B
berillio	20-2127-B
berlina	104-1084-B,135-388-B,165-2590-B
bernoccolo	25-961-B,107-2298-B
berretta	20-2036-B,27-773-B
berretto	27-786-B,83-2061-B
bersaglio	7-0-B,25-2918-B,110-1331-B,191-645-B
besciamella	19-2107-B
bestemmia	21-2828-B,122-2430-B
bestemmiare	21-2769-B,44-1913-B,89-4106-B,189-846-B
bestia	9-2940-B,19-1486-B,24-3308-B
bestiale	19-1499-B
bestiame	28-2281-B,105-1225-B
bestiame grosso	28-2297-B
betatrone	20-2553-B
beton	37-649-B
bettola	191-1587-B
betulla	21-1385-B,21-1399-S
beuta	70-1468-B
bevanda	20-2832-B,54-2218-B
beveraggio	20-2849-B
bevibile	54-2258-B,139-1285-B
bevitore	54-2296-B
bevuta	27-3161-B,27-3177-B,54-2232-B,139-1372-B,210-3230-B
bevuto	54-3247-B
biada	71-1973-B,71-3325-B,122-2420-B,122-2490-B
bianca	195-2278-S
