a	1
adsorbimento	2
amazzone	3
apprezzare	4
attaccamento	5
basilica	6
brusco	7
carnaria	8
cinematico	9
comunque	10
coreano	11
debole	12
dibattimento	13
doppiaggio	14
erbaceo	15
far strage di	16
forense	17
gentildonna	18
guerrigliero	19
inatteso	20
inguaribile	21
irreale	22
libro di testo	23
mansione	24
minuendo	25
necrologio	26
operetta	27
parapiglia	28
peto	29
possente	30
prorompere	31
ramingare	32
ridurre al silenzio	33
rovinare	34
schizofrenico	35
serto	36
solforoso	37
sprezzante	38
sveltezza	39
torsolo	40
urgenza	41
voglioso	42
