expound	詳しく述べる [くわしくのべる]
express	エキスプレス
express	エクスプレス
express	描き出す [えがきだす]
express	書き表す [かきあらわす]
express	浮かべる [うかべる]
express	表す [あらわす]
express	表する [ひょうする]
express	表わす [あらわす]
express	言い表す [いいあらわす]
express	言い表わす [いいあらわす]
express	謳う [うたう]
express	述べる [のべる]
express	速達 [そくたつ]
expression	エキスプレッション
expression	エクスプレッション
expression	口調 [くちょう]
expression	句 [く]
expression	申し様 [もうしよう]
expression	発露 [はつろ]
expression	血相 [けっそう]
expression	表れ [あらわれ]
expression	表出 [ひょうしゅつ]
expression	表明 [ひょうめい]
expression	表白 [ひょうはく]
expression	表示 [ひょうじ]
expression	言い回し [いいまわし]
expression	言葉遣い [ことばづかい]
expression	面付き [つらつき]
expression	面持ち [おももち]
expression	面構え [つらがまえ]
expression	面色 [めんしょく]
expression	顔つき [かおつき]
expression	顔付き [かおつき]
expression	顔色 [かおいろ]
expression	顔色 [がんしょく]
expressionless	無表情 [むひょうじょう]
expressiveness	表現力 [ひょうげんりょく]
expressly	態々 [わざわざ]
expressly	態態 [わざわざ]
expressway	エクスプレスウエー
expropriation	収用 [しゅうよう]
expulsion	排斥 [はいせき]
expulsion	放逐 [ほうちく]
expulsion	除名 [じょめい]
expulsion	駆逐 [くちく]
expulsion	駆除 [くじょ]
expunge	ぬぐい取る [ぬぐいとる]
expunge	拭い取る [ぬぐいとる]
exquisite	凝った [こった]
exquisite	妙味 [みょうみ]
exquisite	巧緻 [こうち]
exquisite	洵美 [じゅんび]
exquisite	精妙 [せいみょう]
exquisite	精巧 [せいこう]
exquisite	美妙 [びみょう]
extant	現存 [げんそん]
extant	現存 [げんぞん]
extemporary	俄仕立て [にわかじたて]
extend	亘る [わたる]
extend	亙る [わたる]
extend	伸す [のす]
extend	伸ばす [のばす]
extend	伸びる [のびる]
extend	及ぶ [およぶ]
extend	差し伸べる [さしのべる]
extend	広がる [ひろがる]
extend	広げる [ひろげる]
extend	延ばす [のばす]
extend	延びる [のびる]
extend	押し広げる [おしひろげる]
extend	拡がる [ひろがる]
extend	拡げる [ひろげる]
extend	接ぎ足す [つぎたす]
extend	連なる [つらなる]
extensible	拡張可能 [かくちょうかのう]
extension	エクステンション
extension	伸展 [しんてん]
extension	伸張 [しんちょう]
extension	伸暢 [しんちょう]
extension	伸長 [しんちょう]
extension	増設 [ぞうせつ]
extension	外延 [がいえん]
extension	延伸 [えんしん]
extension	延長 [えんちょう]
extension	引き伸ばし [ひきのばし]
extension	引き延ばし [ひきのばし]
extension	拡張 [かくちょう]
extension	拡張である [かくちょうである]
extension	波及 [はきゅう]
extensive	全面的 [ぜんめんてき]
extensive	厖大 [ぼうだい]
extensive	大々的 [だいだいてき]
extensive	大大的 [だいだいてき]
extensive	宏大 [こうだい]
extensive	尨大 [ぼうだい]
extensive	幅広い [はばひろい]
extensive	広々 [ひろびろ]
extensive	広々とした [ひろびろとした]
extensive	広広 [ひろびろ]
extensive	広広とした [ひろびろとした]
extensive	広汎 [こうはん]
extensive	広範 [こうはん]
extensive	広範囲 [こうはんい]
extensive	膨大 [ぼうだい]
extensively	広く [ひろく]
extensively	手広く [てびろく]
extent	エクステント
extent	其れ程 [それほど]
extent	加減 [かげん]
extent	広さ [ひろさ]
extent	度合 [どあい]
extent	度合い [どあい]
extent	拡がり [ひろがり]
extent	程 [ほど]
extent	範囲 [はんい]
exterior	エクステリア
exterior	上辺 [うわべ]
exterior	上面 [うわつら]
exterior	上面 [じょうめん]
exterior	外 [そと]
exterior	外側 [がいそく]
exterior	外側 [そとがわ]
exterior	外観 [がいかん]
exterior	外面 [がいめん]
exterior	外面 [そとづら]
exterior	表 [おもて]
extermination	撲滅 [ぼくめつ]
extermination	根絶 [こんぜつ]
extermination	根絶やし [ねだやし]
extermination	殲滅 [せんめつ]
extermination	退治 [たいじ]
extermination	鏖殺 [おうさつ]
extermination	防除 [ぼうじょ]
extermination	駆逐 [くちく]
extermination	駆除 [くじょ]
external	エクスターナル
external	付け [づけ]
external	外在 [がいざい]
external	外形的 [がいけいてき]
external	外的 [がいてき]
external	外部 [がいぶ]
external	対外 [たいがい]
extinct	廃止された [はいしされた]
extinction	廃絶 [はいぜつ]
extinction	死滅 [しめつ]
extinction	消灯 [しょうとう]
extinction	消燈 [しょうとう]
extinction	湮滅 [いんめつ]
extinction	絶滅 [ぜつめつ]
extinguish	消し止める [けしとめる]
extol	称える [たたえる]
extol	褒めそやす [ほめそやす]
extol	褒めちぎる [ほめちぎる]
extol	褒め上げる [ほめあげる]
extol	褒め立てる [ほめたてる]
extol	誉めちぎる [ほめちぎる]
extol	讃える [たたえる]
extol	賞賛して措かない [しょうさんしておかない]
extort	せびる
extort	取り立てる [とりたてる]
extortion	たかり
extortion	強奪 [ごうだつ]
extortion	強要 [きょうよう]
extortion	強請 [きょうせい]
extortion	強請 [ごうせい]
extortion	無理強い [むりじい]
extortion	虎落 [もがり]
extra	エキストラ
extra	上乗せ [うわのせ]
extra	余分 [よぶん]
extra	別 [べつ]
extra	増し [まし]
extra	番外 [ばんがい]
extra	限外 [げんがい]
extract	エキス
extract	エキス剤 [エキスざい]
extract	エッセンス
extract	切り抜く [きりぬく]
extract	引き抜く [ひきぬく]
extract	引抜く [ひきぬく]
extract	抜く [ぬく]
extract	抜粋 [ばっすい]
extract	抜萃 [ばっすい]
extract	書き出す [かきだす]
extract	書き抜く [かきぬく]
extract	煮出す [にだす]
extraction	剔出 [てきしゅつ]
extraction	抄出 [しょうしゅつ]
extraction	挿抜 [そうばつ]
extracurricular	正課外 [せいかがい]
extracurricular	課外 [かがい]
extradite	引き渡す [ひきわたす]
extradite	引渡す [ひきわたす]
extradition	引き渡し [ひきわたし]
extradition	引渡し [ひきわたし]
extramural	学外 [がくがい]
extraneous	外側 [がいそく]
extraneous	外側 [そとがわ]
extraordinary	とびっきり
