forte	特長 [とくちょう]
fortification	築城 [ちくじょう]
fortification	築城 [ついき]
fortification	要塞 [ようさい]
fortify	厳に [げんに]
fortify	固める [かためる]
fortify	堅める [かためる]
fortitude	不屈 [ふくつ]
fortitude	剛毅 [ごうき]
fortitude	忍耐力 [にんたいりょく]
fortitude	毅然 [きぜん]
fortitude	腰骨 [こしぼね]
fortnight	二週間 [にしゅうかん]
fortress	城塁 [じょうるい]
fortress	城塞 [じょうさい]
fortress	城廓 [じょうかく]
fortress	城砦 [じょうさい]
fortress	砦 [とりで]
fortuitous	僥倖 [ぎょうこう]
fortuity	偶然 [ぐうぜん]
fortunate	幸有る [さちある]
fortunately	恰も好し [あたかもよし]
fortunately	折り好く [おりよく]
fortune	フォーチュン
fortune	吉凶 [きっきょう]
fortune	好事 [こうじ]
fortune	好事 [こうず]
fortune	好運 [こううん]
fortune	富 [とみ]
fortune	富み [とみ]
fortune	幸 [さち]
fortune	幸運 [こううん]
fortune	盛運 [せいうん]
fortune	福徳 [ふくとく]
fortune	財 [ざい]
fortune	財産 [ざいさん]
fortune	資産 [しさん]
fortune	資財 [しざい]
fortune	身代 [しんだい]
fortune	運 [うん]
fortune	運気 [うんき]
forty	四十 [しじゅう]
forty	四十 [よんじゅう]
forum	フォーラム
forum	討論会 [とうろんかい]
forward	前方 [ぜんぽう]
forward	寄こす [よこす]
forward	寄越す [よこす]
forward	届ける [とどける]
forward	差し出がましい [さしでがましい]
forward	送り出す [おくりだす]
forward	遣す [よこす]
forwardness	僭上 [せんじょう]
forwardness	僭越 [せんえつ]
fossil	化石 [かせき]
fossilization	化石 [かせき]
fossilization	石化 [せっか]
foster	培う [つちかう]
foster	養い育てる [やしないそだてる]
fostering	助成 [じょせい]
fostering	助長 [じょちょう]
fostering	涵養 [かんよう]
foundation	ファウンデーション
foundation	ファンデーション
foundation	下地 [したじ]
foundation	創建 [そうけん]
foundation	営団 [えいだん]
foundation	土台 [どだい]
foundation	基本 [きほん]
foundation	基盤 [きばん]
foundation	基礎 [きそ]
foundation	基部 [きぶ]
foundation	基金 [ききん]
foundation	大宗 [たいそう]
foundation	大本 [おおもと]
foundation	大本 [たいほん]
foundation	拠り所 [よりどころ]
foundation	拠所 [よりどころ]
foundation	根元 [こんげん]
foundation	根元 [ねもと]
foundation	根底 [こんてい]
foundation	根拠 [こんきょ]
foundation	根本 [こんぽん]
foundation	根本 [ねもと]
foundation	根柢 [こんてい]
foundation	素地 [そじ]
foundation	裏付 [うらづけ]
foundation	裏付け [うらづけ]
foundation	設立 [せつりつ]
foundation	財団 [ざいだん]
founder	元祖 [がんそ]
founder	初代 [しょだい]
founder	創建者 [そうけんしゃ]
founder	創業者 [そうぎょうしゃ]
founder	創立者 [そうりつしゃ]
founder	創設者 [そうせつしゃ]
founder	太祖 [たいそ]
founder	始祖 [しそ]
founder	生みの親 [うみのおや]
founder	草分け [くさわけ]
founder	設立者 [せつりつしゃ]
founder	鼻祖 [びそ]
founding	創始 [そうし]
founding	創立 [そうりつ]
founding	創設 [そうせつ]
founding	鋳造 [ちゅうぞう]
fountain	噴泉 [ふんせん]
fountain	泉 [いずみ]
fountain	泉水 [せんすい]
fountainhead	水源 [すいげん]
fountainhead	河の源 [かわのみなもと]
four	四 [し]
four	四 [よん]
four	四つ [よっつ]
fourfold	四重 [しじゅう]
fourteen	十四 [じゅうし]
fourteen	十四 [じゅうよん]
fowl	野鶏 [やけい]
fowl	鳥 [とり]
fox	フォックス
fox	狐 [きつね]
foxglove	ジギタリス
foxhole	蛸壷 [たこつぼ]
foxhole	蛸壼 [たこつぼ]
fractal	フラクタル
fraction	フラクション
fraction	分留 [ぶんりゅう]
fraction	半端 [はんぱ]
fraction	有理数 [ゆうりすう]
fraction	端数 [はすう]
fragile	割れ易い [われやすい]
fragile	壊れ易い [こわれやすい]
fragile	脆い [もろい]
fragility	脆弱 [ぜいじゃく]
