aristocratic	貴族的 [きぞくてき]
arithmetic	数学 [すうがく]
arithmetic	算数 [さんすう]
arithmetic	算法 [さんぽう]
arithmetic	算術 [さんじゅつ]
arm	アーム
armada	艦隊 [かんたい]
armadillo	アルマジロ
armament	備砲 [びほう]
armament	武装 [ぶそう]
armature	発電子 [はつでんし]
armature	電機子 [でんきし]
armchair	アームチェア
armful	合抱 [ごうほう]
armful	抱え [かかえ]
armhole	袖刳り [そでぐり]
armistice	休戦 [きゅうせん]
armistice	停戦 [ていせん]
armor	アーマー
armor	具足 [ぐそく]
armor	機甲 [きこう]
armor	武具 [ぶぐ]
armor	甲鉄 [こうてつ]
armor	鎧 [よろい]
armory	兵器庫 [へいきこ]
armory	兵器廠 [へいきしょう]
armory	武器倉 [ぶきぐら]
armory	武器庫 [ぶきこ]
armory	武庫 [ぶこ]
armory	造兵廠 [ぞうへいしょう]
armoury	兵器工場 [へいきこうじょう]
armpit	腋下 [えきか]
armpit	腋窩 [えきか]
armrest	肘掛 [ひじかけ]
armrest	脇息 [きょうそく]
army	アーミー
army	方面隊 [ほうめんたい]
army	旗鼓 [きこ]
army	軍 [ぐん]
army	軍旅 [ぐんりょ]
army	軍隊 [ぐんたい]
army	陸軍 [りくぐん]
aroma	匂い [におい]
aroma	臭い [におい]
aroma	芳香 [ほうこう]
aroma	薫り [かおり]
aroma	香り [かおり]
aroma	馨香 [けいこう]
aromatic	芳しい [かんばしい]
aromatic	芳烈 [ほうれつ]
aromatic	芳香剤 [ほうこうざい]
aromatic	郁々たる [いくいくたる]
aromatic	郁郁たる [いくいくたる]
aromatic	香ばしい [かんばしい]
aromatic	香ばしい [こうばしい]
around	くるりと
around	アラウンド
around	前後 [ぜんご]
around-the-clock	昼夜兼行 [ちゅうやけんこう]
arousal	亢奮 [こうふん]
arousal	挑撥 [ちょうはつ]
arousal	昂奮 [こうふん]
arousal	興奮 [こうふん]
arouse	かき立てる [かきたてる]
arouse	唆る [そそる]
arouse	掻き立てる [かきたてる]
arouse	突き動かす [つきうごかす]
arpeggio	アルペジオ
arquebus	火縄銃 [ひなわじゅう]
arrange	あしらう
arrange	かき合せる [かきあわせる]
arrange	アレンジ
arrange	仕組む [しくむ]
arrange	取りまとめる [とりまとめる]
arrange	取り纏める [とりまとめる]
arrange	取り計らう [とりはからう]
arrange	取纏める [とりまとめる]
arrange	差し繰る [さしくる]
arrange	打ち合せる [うちあわせる]
arrange	打ち合わせる [うちあわせる]
arrange	打合せる [うちあわせる]
arrange	掻き合せる [かきあわせる]
arrange	揃える [そろえる]
arrange	整える [ととのえる]
arrange	斉える [ととのえる]
arrange	申し合わせる [もうしあわせる]
arrange	繰り合わせる [くりあわせる]
arrange	計らう [はからう]
arrange	設える [しつらえる]
arrange	話を付ける [はなしをつける]
arrange	調える [ととのえる]
arrangement	アレンジメント
arrangement	並べ方 [ならべかた]
arrangement	並列 [へいれつ]
arrangement	予定 [よてい]
arrangement	仕組 [しくみ]
arrangement	仕組み [しくみ]
arrangement	協定 [きょうてい]
arrangement	取り計らい [とりはからい]
arrangement	取計らい [とりはからい]
arrangement	定め [さだめ]
arrangement	宛い [あてがい]
arrangement	布置 [ふち]
arrangement	手筈 [てはず]
arrangement	手配 [てはい]
arrangement	按排 [あんばい]
arrangement	按配 [あんばい]
arrangement	整え [ととのえ]
arrangement	整理 [せいり]
arrangement	案配 [あんばい]
arrangement	申し合わせ [もうしあわせ]
arrangement	申合せ [もうしあわせ]
arrangement	約束 [やくそく]
arrangement	編曲 [へんきょく]
arrangement	計らい [はからい]
arrangement	配 [はい]
arrangement	配合 [はいごう]
arrangement	飾り付け [かざりつけ]
arrangement	飾付 [かざりつけ]
arranger	アレンジャー
arranging	幹事 [かんじ]
arrant	評判 [ひょうばん]
array	アレイ
array	勢揃い [せいぞろい]
array	斉列 [せいれつ]
