mediastinum	縦隔 [じゅうかく]
mediate	取り成す [とりなす]
mediate	取り持つ [とりもつ]
mediate	執り成す [とりなす]
mediation	中保 [ちゅうほ]
mediation	介 [かい]
mediation	仲保 [ちゅうほ]
mediation	仲立ち [なかだち]
mediation	仲裁 [ちゅうさい]
mediation	取り成し [とりなし]
mediation	取り持ち [とりもち]
mediation	周旋 [しゅうせん]
mediation	和解 [わかい]
mediation	執成し [とりなし]
mediation	居中調停 [きょちゅうちょうてい]
mediation	斡旋 [あっせん]
mediation	橋渡し [はしわたし]
mediation	調停 [ちょうてい]
mediator	パイプ役 [パイプやく]
mediator	世話人 [せわにん]
mediator	世話人 [せわびと]
mediator	世話役 [せわやく]
mediator	中保者 [ちゅうほしゃ]
mediator	仲介者 [ちゅうかいしゃ]
mediator	仲保者 [ちゅうほしゃ]
mediator	仲立ち [なかだち]
mediator	仲立人 [なかだちにん]
mediator	仲裁人 [ちゅうさいにん]
mediator	仲裁者 [ちゅうさいしゃ]
mediator	口利き [くちきき]
mediator	斡旋業者 [あっせんぎょうしゃ]
mediator	斡旋者 [あっせんしゃ]
mediator	纏め役 [まとめやく]
mediator	調停者 [ちょうていしゃ]
medic	看護兵 [かんごへい]
medic	看護卒 [かんごそつ]
medical	衛生 [えいせい]
medicine	剤 [ざい]
medicine	医 [い]
medicine	医学 [いがく]
medicine	医薬 [いやく]
medicine	医術 [いじゅつ]
medicine	薬 [くすり]
medicine	薬剤 [やくざい]
medicine	薬餌 [やくじ]
mediocre	中 [ちゅう]
mediocre	凡人 [ぼんじん]
mediocre	凡人 [ぼんにん]
mediocre	凡庸 [ぼんよう]
mediocre	変哲もない [へんてつもない]
mediocre	変哲も無い [へんてつもない]
mediocre	尋常一様 [じんじょういちよう]
mediocre	平々凡々たる [へいへいぼんぼんたる]
mediocre	平凡 [へいぼん]
mediocre	平平凡凡 [へいへいぼんぼん]
mediocre	平平凡凡たる [へいへいぼんぼんたる]
mediocrity	中位 [ちゅうい]
mediocrity	凡 [はん]
mediocrity	凡 [ぼん]
mediocrity	凡俗 [ぼんぞく]
mediocrity	凡才 [ぼんさい]
mediocrity	十人並 [じゅうにんなみ]
mediocrity	十人並み [じゅうにんなみ]
mediocrity	庸愚 [ようぐ]
mediocrity	盆暗 [ぼんくら]
meditation	メディテーション
