shocking	ショッキング
shoe	石突き [いしづき]
shoehorn	靴箆 [くつべら]
shoehorn	靴篦 [くつべら]
shoelace	靴紐 [くつひも]
shoemaker	靴屋 [くつや]
shoeshine	シューシャイン
shoeshine	靴磨き [くつみがき]
shogun	上 [うえ]
shogun	上様 [うえさま]
shogun	上様 [うえざま]
shogun	将軍 [しょうぐん]
shoot	シュート
shoot	射る [いる]
shoot	新芽 [しんめ]
shooter	シュートボール
shooter	射手 [いて]
shooter	射手 [しゃしゅ]
shooting	射出 [しゃしゅつ]
shooting	射撃 [しゃげき]
shooting	狙い撃ち [ねらいうち]
shooting	狙撃 [そげき]
shooting	発射 [はっしゃ]
shooting	銃撃 [じゅうげき]
shooting	銃猟 [じゅうりょう]
shop	ショップ
shop	商店 [しょうてん]
shop	商舗 [しょうほ]
shop	売店 [ばいてん]
shop	店 [てん]
shop	店 [みせ]
shop	店屋 [みせや]
shop	店舗 [てんぽ]
shop	店鋪 [てんぽ]
shop	店頭 [てんとう]
shop	舗 [ほ]
shop	販売店 [はんばいてん]
shopkeeper	商人 [あきうど]
shopkeeper	商人 [あきびと]
shopkeeper	商人 [あきゅうど]
shopkeeper	商人 [あきんど]
shopkeeper	商人 [しょうにん]
shopkeeper	店主 [てんしゅ]
shoplifter	万引 [まんびき]
shoplifter	万引き [まんびき]
shopping	ショッピッング
shopping	ショッピング
shopping	買い物 [かいもの]
shopping	買物 [かいもの]
shore	岸 [きし]
shore	岸頭 [がんとう]
shore	汀 [みぎわ]
shore	沿岸 [えんがん]
shore	沿海 [えんかい]
shore	渚 [なぎさ]
shore	渚畔 [しょはん]
shore	磯 [いそ]
shore	陸 [りく]
shore	陸上 [りくじょう]
shore	陸岸 [りくがん]
shoreline	汀線 [ていせん]
short	ショート
short	低い [ひくい]
short	手短い [てみじかい]
short	短い [みじかい]
short	短かい [みじかい]
short	素っ気ない [そっけない]
short	素気ない [そっけない]
short	近い [ちかい]
shortage	不充分 [ふじゅうぶん]
shortage	不十分 [ふじゅうぶん]
shortage	不足 [ふそく]
shortage	不足前 [たらずまえ]
shortage	払底 [ふってい]
shortage	欠乏 [けつぼう]
shortage	欠損 [けっそん]
shortcake	ショートケーキ
shortcut	便法 [べんぽう]
shortcut	捷径 [しょうけい]
shortcut	早道 [はやみち]
shortcut	近路 [ちかみち]
shortcut	近道 [ちかみち]
shortcut	間道 [かんどう]
shorten	切り詰める [きりつめる]
shorten	減らす [へらす]
shorten	縮める [ちぢめる]
shorten	詰める [つめる]
shortest	最短 [さいたん]
shorthand	速記 [そっき]
shorthand	速記術 [そっきじゅつ]
shortsightedness	真っ暗 [まっくら]
shortsightedness	真暗 [まくら]
shortsightedness	近眼 [きんがん]
shortsightedness	近眼 [ちかめ]
shortsightedness	近視 [きんし]
shot	ショット
shot	一駒 [ひとこま]
shot	一齣 [ひとこま]
shot	弾 [たま]
shot	弾丸 [だんがん]
shot	霰弾 [さんだん]
shotgun	ショットガン
shotgun	散弾銃 [さんだんじゅう]
shotgun	霰弾銃 [さんだんじゅう]
should	ねばならぬ
should	べし
shoulder	ショルダー
shoulder	担ぐ [かつぐ]
shoulder	肩 [かた]
shoulder	肩に担ぐ [かたにかつぐ]
shoulder	肩部 [けんぶ]
shout	一声 [いっせい]
shout	一声 [ひとこえ]
shout	叫く [わめく]
shout	叫び [さけび]
shout	叫び声 [さけびごえ]
shout	叫ぶ [さけぶ]
shout	叫喚 [きょうかん]
shout	喚き声 [わめきごえ]
shout	喚く [わめく]
shout	喚声 [かんせい]
shout	声を立てる [こえをたてる]
shout	大呼 [たいこ]
shout	大声を出す [おおごえをだす]
shout	怒鳴る [どなる]
shout	掛け声 [かけごえ]
shout	掛声 [かけごえ]
shout	疾呼 [しっこ]
shout	絶叫 [ぜっきょう]
shovel	シャベル
shovel	ショベル
show	ショウ
show	ショー
show	体裁 [ていさい]
show	供覧 [きょうらん]
show	写し出す [うつしだす]
show	剥き出す [むきだす]
show	呈する [ていする]
show	展覧 [てんらん]
show	指し示す [さししめす]
show	振り [ふり]
show	現す [あらわす]
show	現ずる [げんずる]
show	現わす [あらわす]
show	示す [しめす]
show	虚飾 [きょしょく]
show	表す [あらわす]
show	表する [ひょうする]
show	表わす [あらわす]
show	見え [みえ]
show	見せつける [みせつける]
show	見せる [みせる]
show	見せ付ける [みせつける]
show	見せ物 [みせもの]
show	見映 [みばえ]
show	見映え [みばえ]
show	見栄 [みえ]
show	見栄 [みばえ]
show	見栄え [みばえ]
show	陳列 [ちんれつ]
show-off	見栄っぱり [みえっぱり]
show-off	見栄っ張り [みえっぱり]
showboat	ショーボート
showcase	ショーケース
showdown	対決 [たいけつ]
shower	ひと雨 [ひとあめ]
shower	シャワー
shower	一雨 [ひとあめ]
shower	浴びる [あびる]
shower	通り雨 [とおりあめ]
showing	上 [じょう]
showman	ショーマン
showman	弥四 [やし]
showman	興行主 [こうぎょうぬし]
showman	興行師 [こうぎょうし]
showman	野師 [やし]
showman	香具師 [やし]
showmanship	ショーマンシップ
showroom	ショウルーム
showroom	ショールーム
showroom	陳列室 [ちんれつしつ]
showy	あくどい
showy	伊達 [いたて]
showy	伊達 [だて]
showy	毳々しい [けばけばしい]
showy	毳毳しい [けばけばしい]
showy	派手 [はで]
showy	物々しい [ものものしい]
showy	物物しい [ものものしい]
showy	花やか [はなやか]
showy	華やか [はなやか]
showy	麗々しい [れいれいしい]
showy	麗麗しい [れいれいしい]
shrapnel	弾片 [だんぺん]
shrapnel	榴散弾 [りゅうさんだん]
shrew	地鼠 [じねずみ]
shrewd	がっちり
shrewd	ちゃっかり
shrewd	俐巧 [りこう]
shrewd	利口 [りこう]
