academicism	アカデミシズム
academy	アカデミー
academy	学園 [がくえん]
academy	学院 [がくいん]
academy	翰林院 [かんりんいん]
accede	聞き入れる [ききいれる]
accelerate	吹かす [ふかす]
accelerate	早める [はやめる]
accelerate	速める [はやめる]
acceleration	亢進 [こうしん]
acceleration	促進 [そくしん]
acceleration	加速 [かそく]
acceleration	加速度 [かそくど]
acceleration	累加 [るいか]
accelerator	アクセレレーター
accent	アクセント
accent	国訛 [くになまり]
accent	強音 [きょうおん]
accent	抑揚 [よくよう]
accent	訛音 [かおん]
accent	語調 [ごちょう]
accept	アクセプト
accept	収める [おさめる]
accept	受ける [うける]
accept	受け入れる [うけいれる]
accept	受け取る [うけとる]
accept	受入れる [うけいれる]
accept	受取る [うけとる]
accept	応じる [おうじる]
accept	応ずる [おうずる]
accept	戴く [いただく]
accept	採り上げる [とりあげる]
accept	申し受ける [もうしうける]
accept	納める [おさめる]
accept	請ける [うける]
accept	貰う [もらう]
accept	頂く [いただく]
acceptance	アクセプタンス
acceptance	享受 [きょうじゅ]
acceptance	信認 [しんにん]
acceptance	受け付け [うけつけ]
acceptance	受け入れ [うけいれ]
acceptance	受付 [うけつけ]
acceptance	受理 [じゅり]
acceptance	受納 [じゅのう]
acceptance	受諾 [じゅだく]
acceptance	承允 [しょういん]
acceptance	承引 [しょういん]
acceptance	承知 [しょうち]
acceptance	納受 [のうじゅ]
acceptance	観念 [かんねん]
acceptance	諦め [あきらめ]
accepting	引き取り [ひきとり]
access	アクセス
accessibility	アクセシビリティ
accession	承継 [しょうけい]
accession	継承 [けいしょう]
accessory	アクセサリ
accessory	アクセサリー
accessory	付かたり [つかたり]
accessory	付き物 [つきもの]
accessory	付属品 [ふぞくひん]
accessory	付属物 [ふぞくぶつ]
accessory	付帯 [ふたい]
accessory	付帯的 [ふたいてき]
accessory	従たる [じゅうたる]
accident	アクシデント
accident	不幸 [ふこう]
accident	不祝儀 [ふしゅうぎ]
accident	不祝儀 [ぶしゅうぎ]
accident	事変 [じへん]
accident	事故 [じこ]
accident	偶然 [ぐうぜん]
accident	傷害 [しょうがい]
accident	厄災 [やくさい]
accident	変事 [へんじ]
accident	変災 [へんさい]
accident	故障 [こしょう]
accident	災厄 [さいやく]
accident	災禍 [さいか]
accident	異変 [いへん]
accident	異状 [いじょう]
accident	過失 [かしつ]
accident	遭難 [そうなん]
accidental	不慮 [ふりょ]
accidental	不期 [ふき]
accidental	不測 [ふそく]
accidental	偶発 [ぐうはつ]
accidental	偶発的 [ぐうはつてき]
accidentally	ひょいと
accidentally	ひょっと
accidentally	ふらっと
accidentally	不図 [ふと]
accidentally	偶々 [たまたま]
accidentally	偶偶 [たまたま]
acclamation	喝采 [かっさい]
acclamation	歓呼 [かんこ]
acclimation	馴化 [じゅんか]
accommodate	便宜を図る [べんぎをはかる]
accommodate	入る [はいる]
accommodation	便宜 [べんぎ]
accommodation	収容力 [しゅうようりょく]
accommodation	収容能力 [しゅうようのうりょく]
accommodation	和解 [わかい]
accommodation	融通 [ゆうずう]
accommodation	融通 [ゆうづう]
accommodation	適応 [てきおう]
accompaniment	付き物 [つきもの]
accompaniment	伴奏部 [ばんそうぶ]
accompaniment	合いの手 [あいのて]
accompaniment	合の手 [あいのて]
accompaniment	囃子 [はやし]
accompaniment	相の手 [あいのて]
accompaniment	間の手 [あいのて]
accompanist	伴奏者 [ばんそうしゃ]
accompany	付き従う [つきしたがう]
accompany	付き添う [つきそう]
accompany	付き随う [つきしたがう]
accompany	付く [つく]
accompany	伴う [ともなう]
accompany	具する [ぐする]
accompany	副う [そう]
accompany	副える [そえる]
accompany	召し連れる [めしつれる]
accompany	同伴 [どうはん]
accompany	従う [したがう]
accompany	添う [そう]
accompany	添える [そえる]
accompany	相伴う [あいともなう]
accompany	連れ立つ [つれたつ]
accompany	連れ立つ [つれだつ]
accompany	陪従 [ばいじゅう]
accompanying	供 [とも]
accompanying	供奉 [ぐぶ]
accompanying	同行 [どうこう]
accompanying	同道 [どうどう]
accompanying	添乗 [てんじょう]
accompanying	随伴 [ずいはん]
accomplice	ぐる
accomplice	共犯者 [きょうはんしゃ]
accomplice	共謀者 [きょうぼうしゃ]
accomplice	加担者 [かたんしゃ]
accomplice	合い [あい]
accomplice	同類 [どうるい]
accomplice	従犯 [じゅうはん]
accomplice	片棒 [かたぼう]
accomplice	相棒 [あいぼう]
accomplish	やり遂げる [やりとげる]
accomplish	仕遂げる [しとげる]
accomplish	全う [まっとう]
accomplish	全うする [まっとうする]
accomplish	出かす [でかす]
accomplish	出来す [でかす]
accomplish	奏する [そうする]
accomplish	成し遂げる [なしとげる]
accomplish	成す [なす]
accomplish	果たす [はたす]
accomplish	為し終える [なしおえる]
accomplish	為し遂げる [なしとげる]
accomplish	為す [なす]
accomplish	為果せる [しおおせる]
accomplish	為遂げる [しとげる]
accomplish	遂げる [とげる]
accomplish	遣り抜く [やりぬく]
accomplish	遣り遂げる [やりとげる]
accomplishment	大成 [たいせい]
accomplishment	完成 [かんせい]
accomplishment	完遂 [かんすい]
accomplishment	習い事 [ならいごと]
accomplishment	芸 [げい]
accomplishment	貫徹 [かんてつ]
accomplishment	遂行 [すいこう]
accord	アコード
accord	協心 [きょうしん]
accord	国際協定 [こくさいきょうてい]
accordingly	仍って [よって]
accordingly	依って [よって]
