tailor	裁縫師 [さいほうし]
tailor-made	テーラーメード
tailor-made	別仕立て [べつしたて]
tailplane	水平尾翼 [すいへいびよく]
tailwind	追い風 [おいかぜ]
tailwind	追い風 [おいて]
tailwind	追風 [おいかぜ]
tailwind	追風 [おいて]
take	テイク
take	仰ぐ [あおぐ]
take	取る [とる]
take	受け取る [うけとる]
take	受け止める [うけとめる]
take	受取る [うけとる]
take	喫する [きっする]
take	戴く [いただく]
take	持って行く [もっていく]
take	持って行く [もってゆく]
take	挟み上げる [はさみあげる]
take	捕る [とる]
take	要する [ようする]
take	貰う [もらう]
take	頂く [いただく]
take	齎らす [もたらす]
takeoff	発進 [はっしん]
takeoff	離陸 [りりく]
takeout	テークアウト
takeover	乗っ取り [のっとり]
takeover	吸収合併 [きゅうしゅうがっぺい]
takeover	肩替わり [かたがわり]
taker	取り手 [とりて]
taking	持参 [じさん]
talc	タルク
talc	滑石 [かっせき]
tale	物語 [ものがたり]
tale	説話 [せつわ]
talent	タレント
talent	伎倆 [ぎりょう]
talent	俊豪 [しゅんごう]
talent	働き [はたらき]
talent	力倆 [りきりょう]
talent	才 [さい]
talent	才力 [さいりょく]
talent	才器 [さいき]
talent	才能 [さいのう]
talent	技倆 [ぎりょう]
talent	材器 [ざいき]
talent	能 [のう]
talisman	タリスマン
talisman	守り [まもり]
talisman	札 [ふだ]
talisman	縁起物 [えんぎもの]
talisman	護符 [ごふ]
talisman	魔除け [まよけ]
talk	お喋り [おしゃべり]
talk	トーク
talk	仰しゃる [おっしゃる]
talk	仰っしゃる [おっしゃる]
talk	仰る [おっしゃる]
talk	仰有る [おっしゃる]
talk	喋り [しゃべり]
talk	喋る [しゃべる]
talk	対談 [たいだん]
talk	弁じる [べんじる]
talk	弄する [ろうする]
talk	物言う [ものいう]
talk	話 [はなし]
talk	話し [はなし]
talk	語らい [かたらい]
talk	語らう [かたらう]
talk	語る [かたる]
talkative	お喋り [おしゃべり]
talkative	口喧しい [くちやかましい]
talkative	口忠実 [くちまめ]
talkative	口軽 [くちがる]
talkative	話し好き [はなしずき]
talkative	軽口 [かるくち]
talkativeness	多弁 [たべん]
talkativeness	多言 [たげん]
talkativeness	饒舌 [じょうぜつ]
talkie	トーキ
talkie	トーキー
talking	語り [かたり]
talking	通話 [つうわ]
tall	丈長 [たけなが]
tall	背高 [せいたか]
tall	高い [たかい]
tallow	獣脂 [じゅうし]
tallow	脂 [あぶら]
tally	割り符 [わりふ]
tally	割符 [わりふ]
tally	合い印 [あいいん]
tally	合印 [あいいん]
tally	合札 [あいふだ]
tally	契印 [けいいん]
tally	符節 [ふせつ]
talon	爪 [つめ]
talus	距骨 [きょこつ]
tambourine	太鼓 [たいこ]
tame	人馴れ [ひとなれ]
tame	手なずける [てなずける]
tame	手懐ける [てなずける]
tame	温順 [おんじゅん]
tame	飼い馴らす [かいならす]
tame	馴らす [ならす]
tame	馴れた [なれた]
tamer	使い [つかい]
tamer	遣い [つかい]
tamer	馴らし手 [ならして]
tamoxifen	タモキシフェン
tampon	タンポン
tandem	タンデム
tangent	タンゲント
tangent	正接 [せいせつ]
tangible	具体 [ぐたい]
tangible	具体的 [ぐたいてき]
tangible	有体 [ゆうたい]
tangible	有形 [ゆうけい]
tangle	いざこざ
tangle	マツリ
tangle	縺れ [もつれ]
tangle	縺れる [もつれる]
tank	タンク
tanka	大和歌 [やまとうた]
tanka	短歌 [たんか]
tankard	ジョッキ
tanker	タンカー
tanker	タンクローリ
tanker	タンクローリー
tanner	ペンス
tap	とんとん
tap	タップ
tap	水道栓 [すいどうせん]
tap	給水栓 [きゅうすいせん]
tap	蛇口 [じゃぐち]
tap	飲み口 [のみくち]
tap	飲み口 [のみぐち]
tape	テープ
taper	テーパー
tapeworm	条虫 [じょうちゅう]
tapeworm	真田虫 [さなだむし]
tapir	貘 [ばく]
tapping	とんとん
tapping	傍受 [ぼうじゅ]
tapping	盗み聞き [ぬすみぎき]
taproot	主根 [おもね]
taproot	主根 [しゅこん]
tar	タール
tarantula	タランチュラ
tardily	愚図愚図 [ぐずぐず]
tardiness	遅参 [ちさん]
tardy	もどかしい
tardy	遅々たる [ちちたる]
tardy	遅遅たる [ちちたる]
tare	烏野豌豆 [からすのえんどう]
target	ターゲット
target	対象 [たいしょう]
target	指示先 [しじさき]
target	標的 [ひょうてき]
target	狙い所 [ねらいどころ]
target	的 [まと]
target	目標 [もくひょう]
target	矢先 [やさき]
tariff	料率 [りょうりつ]
tariff	料金表 [りょうきんひょう]
tariff	泊り賃 [とまりちん]
tariff	税率 [ぜいりつ]
tariff	関税 [かんぜい]
taro	芋 [いも]
tarpaulin	防水 [ぼうすい]
tarpaulin	雨覆い [あまおおい]
tarpaulin	雨避け [あまよけ]
tarsier	眼鏡猿 [めがねざる]
tart	ちんしゃ
tart	パイ
task	タスク
task	一仕事 [ひとしごと]
task	任務 [にんむ]
task	務め [つとめ]
task	勤め [つとめ]
task	用 [よう]
task	課題 [かだい]
tassel	風帯 [ふうたい]
taste	テイスト
taste	テースト
taste	口にする [くちにする]
taste	口をつける [くちをつける]
taste	口を付ける [くちをつける]
taste	口当たり [くちあたり]
taste	含味 [がんみ]
taste	味 [あじ]
taste	味わう [あじわう]
taste	味覚 [みかく]
taste	嗜好 [しこう]
taste	嘗める [なめる]
taste	噛み分ける [かみわける]
taste	噛分ける [かみわける]
taste	好き嫌い [すききらい]
taste	好み [このみ]
taste	好尚 [こうしょう]
