under	以下 [いか]
underbrush	下生え [したばえ]
underclothes	下着類 [したぎるい]
undercoat	アンダーコート
undercoat	下塗り [したぬり]
undercoat	下張り [したばり]
undercoat	下貼 [したばり]
undercurrent	底流 [ていりゅう]
undercurrent	暗流 [あんりゅう]
undercurrent	暗潮 [あんちょう]
underdog	負け犬 [まけいぬ]
underestimation	過小評価 [かしょうひょうか]
underfoot	足下 [そっか]
underfoot	足元 [あしもと]
undergo	受ける [うける]
undergraduate	学部 [がくぶ]
undergraduate	学部生 [がくぶせい]
underground	アングラ
underground	アンダーグラウンド
underground	土中 [どちゅう]
underground	地下 [ちか]
underground	地中 [ちちゅう]
underground	隠れ [かくれ]
undergrowth	下生え [したばえ]
undergrowth	下草 [したくさ]
underline	アンダーライン
underline	下線 [かせん]
underline	傍線 [ぼうせん]
undermine	虫食む [むしばむ]
undermine	蝕む [むしばむ]
undermine	覆す [くつがえす]
underpants	下履き [したばき]
underpants	下穿 [したばき]
underpants	下穿き [したばき]
underrate	見くびる [みくびる]
underrate	見縊る [みくびる]
underrate	高を括る [たかをくくる]
underscore	アンダースコア
underscore	下線 [かせん]
undersecretary	事務次官 [じむじかん]
undersecretary	次官 [じかん]
undershirt	アンダーシャツ
underside	下側 [したがわ]
underskirt	裾除け [すそよけ]
understand	くみ取る [くみとる]
understand	付いて行ける [ついていける]
understand	判る [わかる]
understand	受け取る [うけとる]
understand	受取る [うけとる]
understand	合点が行く [がてんがいく]
understand	含む [ふくむ]
understand	呑み込む [のみこむ]
understand	噛み分ける [かみわける]
understand	噛分ける [かみわける]
understand	弁える [わきまえる]
understand	悟る [さとる]
understand	拝承 [はいしょう]
understand	汲み取る [くみとる]
understand	知らす [しらす]
understand	知る [しる]
understand	窺い知る [うかがいしる]
understand	聞き取る [ききとる]
understand	見取る [みとる]
understand	解る [わかる]
understand	通じる [つうじる]
understand	通じ合う [つうじあう]
understand	通ずる [つうずる]
understand	飲み込む [のみこむ]
understanding	了 [りょう]
understanding	了と [りょうと]
understanding	了知 [りょうち]
understanding	了解 [りょうかい]
understanding	会 [え]
understanding	会得 [えとく]
understanding	分かり [わかり]
understanding	判り [わかり]
understanding	合点 [がってん]
understanding	合点 [がてん]
understanding	得心 [とくしん]
understanding	悟り [さとり]
understanding	悟性 [ごせい]
understanding	把握 [はあく]
understanding	物分かり [ものわかり]
understanding	物分かりの良い [ものわかりのいい]
understanding	物分かりの良い [ものわかりのよい]
understanding	物分り [ものわかり]
understanding	物判りの良い [ものわかりのいい]
understanding	物判りの良い [ものわかりのよい]
understanding	物解りの良い [ものわかりのいい]
understanding	物解りの良い [ものわかりのよい]
understanding	理解 [りかい]
understanding	窺知 [きち]
understanding	納得 [なっとく]
understanding	覚り [さとり]
understanding	解り [わかり]
understanding	諒と [りょうと]
understanding	諒解 [りょうかい]
understanding	領会 [りょうかい]
understanding	領承 [りょうしょう]
understanding	領解 [りょうかい]
understanding	飲み込み [のみこみ]
understanding	飲込み [のみこみ]
undersurface	裏 [うら]
undertake	企てる [くわだてる]
undertake	受ける [うける]
undertake	引き受ける [ひきうける]
undertake	引受ける [ひきうける]
undertake	引受る [ひきうける]
undertake	当たる [あたる]
undertake	請け合う [うけあう]
undertake	請け負う [うけおう]
undertake	請合う [うけあう]
undertaking	一旗 [ひとはた]
undertaking	企て [くわだて]
undertaking	企業 [きぎょう]
undertaking	引き受け [ひきうけ]
undertaking	引受 [ひきうけ]
undertaking	請負 [うけおい]
undertone	低調 [ていちょう]
undervaluation	過小評価 [かしょうひょうか]
underwater	水中 [すいちゅう]
underwater	水面下 [すいめんか]
underwear	アンダーウェア
underwear	下着 [したぎ]
underwear	肌着 [はだぎ]
underwear	膚着 [はだぎ]
underwear	襯衣 [しんい]
underworld	悪の巷 [あくのちまた]
underworld	黄泉 [よみ]
undo	アンドゥ
undoubtedly	屹度 [きっと]
undress	裸になる [はだかになる]
undue	分に過ぎた [ぶんにすぎた]
undulate	波打つ [なみうつ]
undulate	畝ねる [うねる]
undulation	うねり
undulation	アンジュレーション
undulation	波状 [はじょう]
undulation	起伏 [きふく]
unearthly	妖気 [ようき]
uneasiness	不安 [ふあん]
uneasiness	不安心 [ふあんしん]
uneasiness	怖れ [おそれ]
uneasiness	恐れ [おそれ]
uneasiness	焦燥 [しょうそう]
uneasiness	畏れ [おそれ]
uneasiness	疑惧 [ぎぐ]
uneasiness	疑懼 [ぎく]
uneasiness	胸騒ぎ [むなさわぎ]
uneasiness	虞 [おそれ]
uneasy	そわそわ
uneasy	不安気 [ふあんげ]
uneasy	心許ない [こころもとない]
uneasy	窮屈 [きゅうくつ]
unemployment	失業 [しつぎょう]
unemployment	失職 [しっしょく]
unendurable	堪え難い [たえがたい]
unendurable	堪らない [たまらない]
unendurable	耐え難い [たえがたい]
unendurable	耐難い [たえがたい]
unenthusiastic	気乗り薄 [きのりうす]
unequal	揃わない [そろわない]
uneven	揃わない [そろわない]
unevenness	不揃い [ふそろい]
unevenness	不揃い [ふぞろい]
unevenness	不斉 [ふせい]
unevenness	凸凹 [でこぼこ]
unevenness	凸凹 [とつおう]
unevenness	凹凸 [おうとつ]
unevenness	斑 [むら]
uneventfully	事無く [ことなく]
uneventfully	何事もなく [なにごともなく]
unexpectedly	ばったり
unexpectedly	ひょっこり
unexpectedly	ふとした
unexpectedly	ぶらり
unexpectedly	ぶらりと
unexpectedly	不図 [ふと]
unexpectedly	不意に [ふいに]
unexpectedly	偶々 [たまたま]
unexpectedly	偶偶 [たまたま]
unexpectedly	偶然 [ぐうぜん]
unexpectedly	出し抜けに [だしぬけに]
unexpectedly	卒然 [そつぜん]
unexpectedly	図らずも [はからずも]
unexpectedly	忽然 [こつぜん]
unexpectedly	思いがけず [おもいがけず]
unexpectedly	思い掛けず [おもいがけず]
unexpectedly	意外と [いがいと]
unexpectedly	案外 [あんがい]
unexpectedly	漂然 [ひょうぜん]
unexpectedly	率然 [そつぜん]
unexpectedly	突然 [とつぜん]
unexpectedly	端無くも [はしなくも]
unexpectedly	飄然 [ひょうぜん]
unexpectedness	不時 [ふじ]
unfair	アンフェア
unfair	不平等 [ふびょうどう]
unfair	不当 [ふとう]
unfair	汚らわしい [けがらわしい]
