alternative	11-4696-B,11-4733-B,11-4773-B,11-4822-B
alternatively	11-4865-B
although	11-4916-B,11-4932-B,11-4960-B,11-4988-B,11-5016-B
altimeter	11-5047-B
altitude	11-5085-B
alto	11-5113-B
altogether	11-5128-B,11-5152-B,11-5173-B,11-5224-B,11-5275-B,11-5311-B,11-5341-B,11-5377-B
altruism	11-5407-B,11-5435-B,11-5475-B,11-5521-B
altruist	11-5564-B,11-5613-B
altruistic	11-5665-B
alumina	11-5692-B
aluminium	11-5713-B,11-5733-B
alumnus	11-5762-B,11-5804-B,11-5846-B,11-5885-B
alveolus	11-5915-B,11-5943-B
always	11-5974-B,11-6000-B,11-6041-B,11-6076-B,11-6117-B,11-6152-B,11-6181-B,11-6210-B,11-6236-B,11-6265-B,11-6300-B,11-6332-B,11-6385-B,11-6411-B,11-6437-B,11-6466-B
am	180-2044-S
amah	12-0-B
amalgam	12-21-B,12-45-B
amalgamation	12-84-B,12-119-B,12-154-B,12-189-B
amanuensis	12-224-B,12-257-B,12-299-B,12-332-B,12-365-B,12-398-B
amaryllis	12-431-B
amass	12-457-B,12-485-B
amateur	12-510-B,12-525-B,12-549-B,12-579-B
amateurish	12-618-B
amateurism	12-666-B,12-702-B
amazement	12-741-B
amazing	12-776-B,12-803-B,12-839-B,12-878-B,12-920-B
ambassador	12-968-B,12-998-B
amber	12-1028-B,12-1047-B,12-1072-B
ambergris	12-1100-B
amberjack	12-1144-B,12-1170-B
ambiance	12-1193-B
ambience	12-1221-B
ambiguity	12-1255-B
ambiguous	12-1293-B,12-1316-B,12-1366-B,12-1395-B,12-1430-B,12-1462-B,12-1506-B,12-1538-B
ambition	12-1585-B,12-1628-B,12-1671-B,12-1699-B,12-1730-B,12-1761-B,12-1789-B,12-1817-B,12-1845-B,12-1873-B,12-1898-B,12-1926-B,12-1954-B
ambivalence	12-1982-B,12-2016-B
ambulance	12-2068-B
ambush	12-2115-B,12-2147-B,12-2176-B,12-2205-B,12-2234-B,12-2275-B,12-2304-B,12-2342-B,12-2380-B
amend	12-2409-B,12-2437-B
amendment	12-2462-B,12-2497-B
amenity	12-2529-B,12-2556-B
amethyst	12-2592-B,12-2617-B,12-2642-B,12-2691-B
amiability	12-2740-B
amiable	12-2776-B,12-2818-B,12-2866-B,12-2899-B,12-2944-B
amicable	12-2977-B
amidst	12-3017-B
amity	12-3043-B,12-3068-B,12-3093-B,12-3124-B,12-3155-B
ammonia	12-3183-B
ammonite	12-3207-B
ammonium	12-3235-B
ammunition	12-3263-B,12-3296-B,12-3326-B
amnesia	12-3356-B
amnesty	12-3398-B,12-3425-B,12-3455-B,12-3485-B
amniocentesis	12-3515-B
amnion	12-3566-B
amoeba	12-3595-B,12-3615-B
among	12-3635-B,12-3654-B
amorous	12-3685-B,12-3715-B
amorphous	12-3754-B,12-3783-B,12-3821-B
amortization	12-3862-B,12-3903-B
amount	12-3941-B,12-3967-B,12-3999-B,12-4022-B,12-4048-B,12-4071-B
amp	12-4091-B
amphetamine	12-4105-B
amphibian	12-4139-B,12-4183-B,12-4218-B
amphibious	12-4262-B,12-4298-B
amphitheater	12-4352-B
amphotericin	12-4408-B,12-4443-B
ample	12-4478-B
amplification	12-4497-B,12-4530-B
amplifier	12-4563-B,12-4598-B
ampoule	12-4636-B
amputate	12-4657-B
amputation	12-4694-B
amputee	12-4727-B
amulet	12-4775-B,12-4807-B,12-4833-B,12-4865-B,12-4891-B,12-4914-B
amusement	12-4943-B,12-4978-B,12-5013-B,12-5042-B,12-5077-B
amusing	12-5109-B,12-5130-B,12-5166-B,12-5196-B
amylase	12-5232-B
anachronism	12-5256-B,12-5281-B,12-5315-B
anachronistic	12-5361-B
anaconda	12-5403-B
anaesthesia	12-5431-B,12-5462-B,12-5493-B
anaesthetic	12-5524-B
anagram	12-5567-B
anal	12-5591-B
analgesic	12-5627-B,12-5668-B
analog	12-5709-B
analogous	12-5729-B
analogue	12-5758-B
analogy	12-5780-B,12-5804-B,12-5831-B
analysis	12-5858-B,12-5883-B,12-5914-B,12-5945-B,12-5976-B
analyst	12-6016-B
analytical	12-6040-B
analyzer	12-6082-B,12-6107-B
anamnesis	12-6135-B
anaphora	12-6176-B
anarchism	12-6210-B,12-6236-B
anarchist	12-6265-B,12-6291-B,12-6320-B
anarchy	12-6379-B,12-6403-B,12-6430-B,12-6463-B
anastomosis	13-0-B
anathema	13-34-B,13-56-B
anatomy	13-84-B
ancestor	13-123-B,13-160-B,13-197-B,13-228-B,13-256-B,13-287-B,13-306-B,13-334-B
ancestral	13-380-B
ancestry	13-412-B
anchor	13-443-B,13-463-B,13-492-B
anchorage	13-515-B,13-550-B,13-582-B,13-614-B,13-643-B,13-672-B,13-713-B
anchorman	13-748-B
anchovy	13-777-B,13-804-B
ancient	13-846-B,13-873-B
anciently	13-900-B,13-929-B
ancillary	13-973-B
and	13-1002-B,13-1013-B,13-1027-B,13-1047-B,13-1076-B,13-1096-B,13-1113-B,13-1139-B,13-1156-B,13-1173-B,13-1196-B,13-1222-B,13-1254-B
and out	92-3258-S
and run	145-5083-S
and so	279-3182-S,279-3214-S
and take	132-2707-S,132-2746-S
and tumble	258-2117-S
andantino	13-1280-B
andesite	13-1315-B
androgen	13-1355-B
androgynous	13-1383-B
android	13-1435-B
anecdote	13-1462-B,13-1490-B,13-1530-B,13-1573-B,13-1604-B,13-1635-B,13-1663-B
anemometer	13-1691-B,13-1736-B
anemone	13-1778-B
anew	13-1799-B,13-1841-B,13-1883-B,13-1916-B
angel	13-1949-B,13-1980-B,13-2002-B,13-2021-B,13-2061-B
angelfish	13-2086-B
angelica	13-2121-B
angelus	13-2155-B
anger	13-2182-B,13-2201-B,13-2235-B,13-2272-B,13-2297-B,13-2322-B,13-2350-B,13-2375-B,13-2397-B,13-2422-B,13-2447-B,13-2475-B,13-2503-B,13-2531-B,13-2559-B,13-2590-B
angiogenesis	13-2618-B
angiosperm	13-2671-B
angle	13-2719-B,13-2738-B,332-5616-S
angler	13-2763-B,13-2783-B,13-2812-B,13-2841-B
angrily	13-2870-B,13-2897-B,13-2915-B,13-2936-B,13-2963-B
anguish	13-2984-B,13-3011-B,13-3041-B,13-3068-B,13-3095-B,13-3122-B,13-3152-B,13-3182-B,13-3209-B,13-3242-B,13-3269-B
angular	13-3296-B,13-3317-B,13-3365-B,13-3407-B,13-3446-B
anhydride	13-3488-B
anhydrous	13-3526-B
aniline	13-3555-B
anima	13-3576-B
animal	13-3592-B,13-3612-B,13-3641-B
animality	13-3673-B
