poor	224-5238-B,224-5268-B,224-5286-B,224-5298-B,224-5319-B,224-5349-B,224-5379-B,224-5412-B,224-5436-B,224-5460-B,224-5490-B,224-5514-B,224-5541-B,224-5568-B,224-5613-B,224-5643-B,224-5670-B,224-5700-B
pop	224-5727-B,224-5741-B,224-5770-B,224-5796-B
popgun	224-5822-B
poplar	224-5860-B
poplin	224-5877-B
poppy	224-5897-B,225-0-B,225-22-B
populace	225-44-B,225-78-B,225-109-B,225-140-B
popular	225-174-B,225-198-B,225-237-B,225-264-B,225-291-B,225-333-B,225-363-B
popularism	225-393-B
popularity	225-423-B,225-459-B,225-495-B,225-528-B,225-561-B,225-594-B,225-639-B,225-675-B,225-708-B,225-738-B,225-774-B,225-810-B
popularization	225-840-B,225-883-B,225-923-B,225-957-B,225-1003-B,225-1049-B
population	225-1092-B,225-1128-B,225-1161-B,225-1194-B,225-1230-B,225-1269-B,225-1299-B,225-1329-B
populism	225-1359-B
populous	225-1405-B,225-1439-B,225-1473-B
porcelain	225-1507-B,225-1533-B,225-1568-B,225-1600-B
porch	225-1626-B,225-1642-B
porcupine	225-1670-B,225-1705-B,225-1746-B,225-1778-B
pore	225-1813-B
pork	225-1840-B,225-1855-B
porno	225-1882-B
pornography	225-1910-B,225-1932-B,225-1969-B,225-2003-B
porosity	225-2055-B
porous	225-2092-B
porpoise	225-2118-B
porridge	225-2158-B
port	225-2180-B,225-2195-B,225-2237-B,225-2264-B
portability	225-2285-B,225-2319-B
portable	225-2362-B,225-2387-B
portent	225-2424-B,225-2448-B,225-2481-B,225-2514-B,225-2547-B
porter	225-2580-B,225-2600-B,225-2629-B
portfolio	225-2658-B,225-2690-B
porthole	225-2728-B,225-2759-B
portion	225-2790-B,225-2823-B,225-2856-B,225-2877-B,225-2910-B,225-2940-B,225-2973-B
portmanteau	225-3000-B
portrait	225-3031-B,225-3059-B,225-3093-B,225-3115-B,225-3146-B,225-3177-B,225-3208-B,225-3242-B,225-3276-B,225-3304-B,225-3335-B,225-3363-B,225-3394-B,225-3428-B,266-5451-S
portrayal	225-3468-B,225-3500-B
pose	225-3535-B,225-3550-B,225-3574-B,225-3604-B,225-3637-B,225-3658-B
