sternum	289-53-B
steroid	289-86-B
stet	289-110-B
stethoscope	289-131-B
stevedore	289-174-B,289-212-B
stew	289-271-B,289-301-B,289-319-B,289-346-B
steward	289-373-B,289-400-B,289-430-B,289-457-B,289-484-B,289-514-B,289-538-B
stewardess	289-568-B,289-595-B,289-625-B,289-658-B
stick	289-679-B,289-701-B,289-720-B,289-748-B,289-776-B,289-798-B,289-838-B,289-878-B,289-900-B,289-928-B,289-947-B,289-978-B,289-1006-B,289-1046-B,289-1086-B,289-1108-B
sticker	289-1127-B,289-1145-B,289-1169-B,289-1190-B
stickily	289-1223-B
stickiness	289-1245-B,289-1278-B,289-1308-B,289-1344-B,289-1389-B
stickleback	289-1422-B,289-1453-B,289-1484-B,289-1518-B
sticky	289-1549-B,289-1569-B,289-1589-B,289-1615-B
stiff	289-1653-B,289-1675-B,289-1697-B,289-1716-B,289-1756-B,289-1796-B,289-1836-B,289-1876-B,289-1907-B,289-1938-B
stiffen	289-1975-B,289-2002-B,289-2044-B,289-2083-B,289-2116-B,289-2149-B,289-2176-B
stiffness	289-2218-B,289-2247-B,289-2276-B,289-2305-B
stigma	289-2337-B,289-2363-B,289-2392-B,289-2427-B,289-2459-B
stiletto	289-2488-B,289-2528-B
still	289-2568-B,289-2596-B,289-2624-B,289-2643-B,289-2674-B,289-2708-B,289-2736-B,289-2761-B,289-2804-B,289-2844-B,289-2881-B,289-2900-B,289-2940-B,289-2962-B,289-2993-B,289-3039-B,289-3067-B,289-3098-B,289-3132-B,289-3160-B,289-3194-B
stillbirth	289-3222-B
stillness	289-3252-B,289-3284-B,289-3319-B
stilt	289-3348-B
stimulant	289-3367-B,289-3408-B,289-3446-B,289-3484-B,289-3516-B,289-3548-B,289-3589-B,289-3633-B
stimulate	289-3674-B,289-3706-B,289-3735-B,289-3779-B
stimulating	289-3826-B,289-3866-B
stimulation	289-3906-B,289-3940-B,289-3974-B,289-4011-B,289-4048-B,289-4085-B,289-4116-B,289-4150-B
stimulative	289-4184-B,289-4224-B
stimulus	289-4264-B,289-4292-B,289-4329-B,289-4357-B,289-4394-B,289-4422-B
sting	289-4447-B,289-4466-B,289-4488-B,289-4510-B
