石細工 いしざいく	184-370-B
石綿 いしわた	19-3061-B
石綿 せきめん	19-3092-B
石膏 せっこう	222-2586-B
石臼 いしうす	189-4287-B
石英 せきえい	238-1898-B
石蝋 せきろう	212-1737-B
石蹴り いしけり	147-1914-B
石高 こくだか	289-5278-B
石鹸 せっけん	279-3508-B
石鹸の泡 せっけんのあわ	171-3328-B,279-3567-B
砂 すな	137-1666-B,261-2092-B
砂利 じゃり	25-1089-B,136-369-B
砂原 すなはら	81-697-B
砂嘴 さし	261-2375-B
砂土 さど	261-2110-B
砂子 すなご	261-2131-B
砂山 さやま	95-408-B
砂山 すなやま	95-432-B
砂岩 さがん	261-2682-B
砂嵐 すなあらし	261-2711-B
砂州 さす	245-3984-B,261-2400-B,261-2477-B
砂時計 すなどけい	147-5379-B
砂洲 さす	245-4005-B,261-2425-B,261-2501-B
砂漠 さばく	81-726-B
砂糖 さとう	295-6084-B
砂糖の衣 さとうのころも	149-6208-B
砂糖黍 さとうきび	295-6128-B
砂肝 すなぎも	132-2944-B
砂蚕 ごかい	179-4163-B
砂袋 すなぶくろ	132-2974-B,261-2295-B
研ぎ とぎ	137-1095-B,224-2400-B
研ぎ澄ます とぎすます	137-876-B,146-4384-B,271-246-B,332-353-B
研ぎ石 とぎいし	332-419-B
研ぐ とぐ	137-916-B,146-4423-B,224-2423-B,263-4822-B,271-288-B
研修会 けんしゅうかい	335-1907-B
研修員 けんしゅういん	311-4360-B
研修生 けんしゅうせい	311-4402-B
研削 けんさく	137-1120-B
研削盤 けんさくばん	137-1023-B
研学 けんがく	293-1238-B
研摩 けんま	137-1151-B,224-2590-B,293-1570-B
研磨 けんま	224-2619-B,293-1598-B
研磨機 けんまき	137-1062-B,224-2556-B
研磨紙 けんまし	261-2557-B
研究 けんきゅう	164-3560-B,251-3638-B,293-1266-B
研究員 けんきゅういん	251-3827-B
研究室 けんきゅうしつ	169-5250-B
研究家 けんきゅうか	251-3872-B
研究者 けんきゅうしゃ	251-3914-B
研究論文 けんきゅうろんぶん	313-4033-B
研鑽 けんさん	293-1297-B
砕く くだく	35-4196-B,278-3292-B
砕ける くだける	35-4221-B
砕片 さいへん	75-4015-B
砕石 さいせき	258-5212-B
砥石 といし	137-1218-B,332-454-B
砦 とりで	125-572-B
砲 ほう	41-3004-B,138-4473-B
砲丸 ほうがん	271-1637-B
砲兵 ほうへい	19-1672-B,138-4752-B
