迎え撃つ むかえうつ	12-2304-B,21-5055-B
迎合 げいごう	121-384-B
迎撃機 げいげきき	162-1114-B
近々 きんきん	197-3392-B
近々 ちかぢか	197-3423-B
近い ちかい	197-2883-B,272-1948-B
近く ちかく	197-2907-B,198-2251-B,325-3699-B
近ごろ ちかごろ	171-2594-B,201-3811-B,243-3083-B
近づき ちかづき	4-4321-B
近づく ちかづく	16-6609-B
近付き ちかづき	4-4359-B
近付く ちかづく	16-6643-B
近代主義 きんだいしゅぎ	192-1690-B
近代化 きんだいか	192-1877-B,192-1986-B
近代的 きんだいてき	192-1626-B
近似 きんじ	17-767-B,235-3041-B
近似値 きんじち	17-798-B,17-1318-B
近侍 きんじ	22-262-B
近傍 きんぼう	198-2031-B
近回り ちかまわり	198-2066-B
近寄る ちかよる	16-6677-B
近所 きんじょ	198-2284-B
近接 きんせつ	5-6402-B,6-0-B
近日 きんじつ	281-2495-B
近日点 きんじつてん	217-2064-B
近時 きんじ	243-3117-B
近景 きんけい	123-4522-B
近来 きんらい	243-3145-B
近目 ちかめ	196-459-B
近眼 きんがん	196-485-B,272-2746-B
近眼 ちかめ	196-514-B,272-2785-B
近習 きんじゅ	22-291-B
近臣 きんしん	22-323-B,324-555-B
近視 きんし	272-2821-B
近視眼 きんしがん	196-540-B
近親相姦 きんしんそうかん	154-1730-B
近路 ちかみち	272-2339-B
近辺 きんぺん	198-2320-B,325-3727-B
近近 きんきん	197-3454-B
近近 ちかぢか	197-3485-B
近道 ちかみち	272-2370-B
近郷 きんごう	67-5931-B
近間 ちかま	197-3192-B,235-3214-B
近隣 きんりん	198-2356-B,325-3758-B
近頃 ちかごろ	171-2626-B,201-3845-B,243-3176-B
返す返す かえすがえす	249-6118-B
返る かえる	254-1841-B
返上 へんじょう	248-2579-B
返事 へんじ	14-2377-B,250-2528-B
返付 へんぷ	254-1867-B
返信 へんしん	250-2553-B
返却 へんきゃく	249-5097-B
返戻 へんれい	254-2084-B
返書 へんしょ	250-2581-B,252-5425-B
返済 へんさい	249-5132-B
返礼 へんれい	254-3514-B
返答 へんとう	250-2609-B
返辞 へんじ	250-2637-B,252-5456-B
返還 へんかん	253-1092-B,254-1893-B
返金 へんきん	249-5164-B
迚も とっても	23-6025-B,108-643-B,325-753-B
迚も とても	23-6055-B,108-677-B,325-780-B
迫る せまる	229-3221-B
迫力 はくりょく	15-4852-B,123-3292-B,161-5832-B,291-4998-B
