たいかんしき	66-2757-S
たいが	256-5645-S,291-3728-S
たいがい	111-4842-S,123-4732-S,181-1554-S
たいがん	186-4241-S
たいき	10-119-S,21-2360-S,287-1512-S
たいきゃく	253-6202-S,254-457-S,334-2031-S
たいきゅう	101-4169-S,218-659-S
たいきゅうせい	95-1659-S
たいきゅうりょく	286-5455-S
たいきょ	80-559-S,173-505-S,243-4543-S
たいきょく	14-6425-S,206-2773-S
たいぎ	167-4818-S
たいぎょう	260-164-S
たいく	62-7251-S,219-6344-S,288-656-S
たいくうほうか	120-3150-S
たいくつ	33-5450-S,33-5543-S,303-4561-S,303-4616-S
たいぐう	14-6497-S,211-2160-S,243-3793-S,313-4712-S
たいけい	57-1034-S,118-3011-S,124-3144-S,207-3636-S,208-6272-S,299-1053-S,301-2725-S
たいけいか	207-3671-S,301-3373-S
たいけいてき	301-3040-S
たいけつ	60-6435-S,272-4824-S
たいげん	99-3851-S,152-2991-S,218-2972-S
たいこ	94-2748-S,272-3621-S,302-2889-S
たいこう	14-2543-S,66-5734-S,112-5491-S,206-2742-S,206-3114-S,208-6302-S,246-5324-S,254-1008-S
たいこういしき	57-2570-S
たいこばら	214-4830-S,226-3270-S
たいこもち	120-5478-S,300-4121-S
たいごく	258-3266-S
たいさ	54-4180-S
たいさく	103-5797-S
たいざい	280-1084-S,288-1095-S
たいざいきゃく	138-1894-S,327-733-S
たいし	12-998-S,12-1671-S,19-5226-S
たいしかん	99-3198-S
たいした	62-1437-S,136-2314-S,152-5839-S,274-538-S
たいしつ	60-6507-S,70-4246-S
たいしつかいぜん	246-746-S
たいして	123-2599-S,216-3587-S
たいしゃ	12-3425-S,188-1324-S,246-4065-S,249-2134-S,252-725-S
たいしゃく	177-1764-S
たいしゅ	325-3341-S
たいしゅうか	225-957-S
たいしゅうし	301-4009-S
たいしゅうせい	225-594-S
たいしゅつ	173-472-S,334-1995-S
たいしょ	65-5050-S
たいしょう	6-1936-S,14-6461-S,34-492-S,56-5559-S,64-1559-S,130-4575-S,300-5478-S,302-4494-S
たいしょうがい	158-3767-S
たいしょうたい	202-2695-S
たいしょうてき	64-1593-S,300-5308-S
たいしょく	113-1856-S,113-1888-S,133-3234-S
たいしょくかん	133-2978-S
たいしん	60-6399-S
たいじ	60-6618-S,99-4713-S,99-4739-S,111-4485-S
たいじょう	109-5087-S,173-535-S,194-1061-S
たいじん	100-4183-S,131-2619-S,218-1965-S,253-6238-S,254-490-S,334-2067-S
たいすい	329-5117-S,329-5877-S
たいすう	177-4748-S
たいする	60-6365-S,112-5461-S,206-2167-S
たいせい	3-5647-S,22-1547-S,57-6938-S,75-6069-S,75-6097-S,76-5156-S,131-4614-S,207-160-S,207-3601-S,226-2787-S,286-5946-S,292-4345-S,301-2696-S
たいせいどう	44-1485-S
たいせき	41-4244-S,327-4071-S
たいせきさよう	265-5363-S
たいせきぶつ	80-2460-S,265-5224-S
たいせつ	152-5935-S,323-2264-S
たいせつに	42-4004-S
たいせん	57-2289-S,174-4922-S
たいぜい	70-6238-S,183-1850-S
たいぜん	40-4528-S,101-560-S
たいぜんじじゃく	152-3470-S
たいぜんじじゃくたる	152-3527-S
たいぜんたる	40-4555-S,119-4778-S
