わっぷ	10-5989-S,145-3752-S,239-1912-S
わとう	294-354-S,310-1170-S
わどめ	175-5191-S
わな	279-1078-S,313-518-S
わななく	271-4910-S,271-4968-S,313-5117-S,313-5147-S
わに	10-4596-S,70-2946-S
わにぐち	10-4619-S
わにざめ	270-5405-S
わび	15-3179-S,279-4356-S,279-4378-S
わびごと	15-3203-S
わびしい	55-1607-S,55-1644-S,93-2967-S,93-2999-S,177-5884-S,178-0-S,190-4172-S,190-4207-S,269-5905-S,269-5937-S
わびる	15-3020-S,15-3052-S,335-2922-S
わへい	215-929-S,294-327-S,310-1145-S
わほう	196-4177-S
わぼく	244-3576-S
わめきごえ	208-4895-S,272-3491-S,336-3336-S
わめきたてる	336-3369-S
わめく	50-3213-S,50-3240-S,71-3426-S,71-3547-S,264-0-S,264-151-S,272-3351-S,272-3525-S
わら	291-3433-S
わらい	171-3707-S,171-3865-S,278-4217-S
わらいかける	137-655-S,137-697-S,278-4242-S,278-4285-S
わらいぐさ	39-4557-S,39-4592-S
わらいごえ	171-3893-S
わらう	171-3657-S,171-3682-S,171-3732-S,278-4028-S,278-4053-S,278-4328-S
わらじむし	277-292-S
わらび	34-6026-S
わらべ	48-3591-S
わり	20-2861-S,20-2885-S,216-4149-S,216-4173-S,232-870-S,232-890-S,233-6321-S,233-6345-S,241-501-S,241-519-S,241-1231-S,241-1250-S
わりあい	216-4200-S,216-4239-S,233-6372-S,233-6411-S,241-1272-S,241-1306-S
わりあいに	56-4905-S
わりあて	10-4879-S,10-5035-S,10-5068-S,10-5662-S,10-5852-S,10-5884-S,20-2951-S,20-3098-S,20-3131-S,239-1732-S,239-1828-S,239-1856-S,241-2115-S,241-2191-S,241-2223-S
わりあてがく	10-4918-S,10-5104-S,10-5700-S,10-5919-S
わりあてる	10-5340-S,10-5485-S,20-2298-S,20-2447-S,90-361-S,90-526-S
わりかえし	242-4353-S
わりかた	56-4866-S
わりきる	90-5200-S
わりきれない	154-6896-S,156-5139-S
わりぐり	258-5154-S
わりぐりいし	180-2092-S
わりこみ	163-788-S,163-829-S
わりこむ	90-2008-S,90-2044-S,163-403-S,163-441-S
わりざん	91-530-S,91-564-S
わりした	282-113-S
わりだす	40-1242-S,40-1280-S,58-5874-S,58-5910-S,157-3201-S,157-3235-S
わりつけ	10-4840-S,10-4966-S,10-4999-S,10-5624-S,10-5785-S,10-5817-S,20-2912-S,20-3029-S,20-3062-S,90-787-S,90-828-S,90-863-S,97-2938-S,97-2974-S,97-3004-S,172-899-S,172-934-S,172-963-S
わりつける	10-5260-S,10-5300-S,10-5414-S,10-5451-S,20-2216-S,20-2257-S,20-2374-S,20-2412-S,90-271-S,90-316-S,90-445-S,90-487-S
わりと	56-4728-S,56-4794-S,247-6424-S,247-6454-S
わりに	56-4761-S,56-4830-S
わりのいい	7-1249-S,215-275-S,232-1456-S,249-1277-S
わりびき	86-5614-S,86-5648-S,86-5722-S,86-5753-S,242-4248-S,242-4280-S,242-4391-S,242-4420-S,245-2920-S,245-2955-S,245-2993-S,245-3025-S
わりびく	86-5685-S,86-5787-S
わりふ	47-4224-S,47-4252-S,263-3883-S,263-3911-S,302-2649-S,302-2677-S
わりふり	10-5747-S,20-2990-S,239-1766-S,241-2153-S
わりふる	10-5380-S,20-1778-S,20-2339-S,90-406-S
わりまえ	225-2877-S,225-2910-S,239-1701-S,239-1800-S,270-4867-S,270-4898-S
わりまし	33-1803-S,33-1880-S,33-1908-S,228-3434-S,228-3515-S,228-3545-S
わりましきん	33-1837-S,228-3470-S
わりもどす	168-2743-S,242-4315-S
わりやす	97-1108-S,97-1144-S
わる	35-3791-S,68-5579-S,73-1994-S,84-5300-S,90-5235-S,139-3467-S,256-2824-S,268-1060-S,278-3044-S,284-4513-S
わるあそび	129-2718-S,227-2346-S
わるい	24-4670-S,157-3670-S
わるいたずら	190-2920-S,190-2960-S
わるがき	35-1766-S
わるがしこい	69-505-S,72-1185-S,278-1915-S,333-2619-S
わるぎ	90-1636-S,181-5261-S
わるくいう	80-3496-S,311-3171-S
わるくち	2-5669-S,161-2217-S,276-4848-S
わるぐせ	325-3230-S
わるぐち	2-5697-S,161-2246-S,276-4878-S
わるさ	24-4842-S
わるじえ	69-74-S,72-1119-S,138-3443-S
わるずいりょう	90-1593-S
わるだくみ	62-5466-S,163-5289-S,314-1804-S
わるぢえ	69-105-S,72-1152-S,138-3474-S
わるふざけ	147-3212-S,147-3253-S,227-2219-S,227-2256-S
わるもの	240-5468-S,259-616-S,263-4711-S
われ	98-680-S,98-697-S,98-746-S,98-763-S,185-2240-S,185-2256-S,185-2300-S,185-2316-S,205-1945-S,205-1966-S,205-2014-S,205-2065-S,266-3493-S,266-3511-S,266-3532-S,266-3550-S
われしらず	160-6460-S,164-5655-S
われにもあらず	2-1620-S
われぼめ	266-5481-S
われめ	47-1874-S,47-1902-S,47-1927-S,68-5629-S,68-5657-S,68-5704-S,69-5369-S,69-5399-S,69-5426-S,72-1446-B,120-1353-S,120-1383-S,120-1410-S,255-5725-S,255-5752-S,255-5776-S,277-4496-B,284-4563-S,284-4591-S,284-4914-S,316-2287-B,322-5351-B,328-1011-B
われめちゃん	72-1461-B,277-4511-B,316-2302-B,322-5368-B,328-1027-B
われやすい	36-5835-S,125-4070-S,217-3193-S
われら	321-5940-S,321-5987-S,321-6009-S,330-1706-S,330-1778-S,330-1850-S
われる	35-3813-S,51-2876-S,68-5601-S,120-1323-S,284-4535-S
われわれ	330-1753-S,330-1800-S
わん	27-40-S,34-4829-S,138-4215-S,159-131-S
わんきょく	29-491-S,29-521-S,70-3225-S,70-3256-S,72-5390-S,72-5421-S,72-5647-S
わんげつ	69-5088-S
わんにゅう	138-4185-S
わんぱく	197-2078-S
アイ	112-3489-B
アイアン	164-6396-B,164-6962-B
アイシング	149-6186-B
アイス	149-5957-B
アイスフォール	149-6095-B
アイスボックス	149-6066-B
アイソトニック	165-4112-B
アイソトープ	165-4177-B
アイソメトリック	165-3896-B
アイソレーション	165-3474-B
アイテム	165-4803-B
アイデア	150-0-B
アイディア	150-18-B
アイディアリズム	150-998-B
アイディアル	150-642-B
アイディリスト	150-1201-B
アイデンティティ	150-1710-B
アイデンティティー	150-1744-B
アイデンティファイ	150-1639-B
アイデンティフィケーション	150-1437-B
アイドル	150-3608-B
アイビー	165-5639-B
アイブラウ	112-3697-B
アイブロウ	112-3721-B
アイブロー	112-3745-B
アイボリ	165-5573-B
アイボリー	165-5592-B
アイランド	165-3340-B
アイリス	164-6662-B
アイル	9-4904-B
アイロニカル	165-120-B
アイロニー	165-148-B
アウタルキー	22-5552-B
アウター	208-5178-B
アウターウエア	208-5216-B
アウト	208-4394-B
アウトオブデート	208-4435-B
アウトサイダー	209-2198-B
アウトスタンディング	209-2897-B
アウトドア	208-5112-B
アウトバック	208-4472-B
アウトプット	209-954-B
アウトライン	208-6131-B
アウトロー	208-5682-B
アウラ	22-5095-B
アウル	210-3532-B
アカウンタビリティー	3-6489-B
アカウンティング	3-6821-B
アカウント	3-6315-B
アカシア	2-6510-B
アカデミシズム	3-0-B
アカデミシャン	2-6685-B
アカデミック	2-6614-B
アカデミー	2-6589-B,3-34-B
アカペー	8-1895-B
アキュムレータ	4-649-B
アキュムレーター	4-683-B
アキュームレータ	4-720-B
アクア	17-1774-B
アクアマリン	17-1817-B
アクアマリーン	17-1847-B
アクアラング	264-2627-B
アクアルング	17-1789-B
アクシデント	3-2196-B
アクション	4-5865-B
アクセサリ	3-1887-B
アクセサリー	3-1913-B
アクセシビリティ	3-1778-B
