事績 じせき	4-2156-B,110-5025-B
事象 じしょう	185-292-B,219-1915-B
事足りる ことたりる	295-5486-B
事足る ことたる	295-5525-B
事跡 じせき	107-1848-B,311-412-B,325-1129-B
事蹟 じせき	107-1876-B,311-437-B,325-1156-B
事迹 じせき	107-1904-B,311-462-B,325-1183-B
事項 じこう	165-4848-B,185-321-B
二 に	316-4004-B
二つ ふたつ	316-4018-B
二つながら ふたつながら	34-1051-B
二つ乍ら ふたつながら	34-1093-B
二つ共 ふたつとも	34-1132-B
二つ割り ふたつわり	139-2068-B
二つ目 ふたつめ	265-186-B
二の句 にのく	14-2058-B
二の次 にのつぎ	265-538-B,294-2488-B
二の町 にのまち	157-3574-B,265-395-B
二の足 にのあし	144-4337-B
二の足を踏む にのあしをふむ	144-4089-B
二人 ににん	67-6120-B,211-2001-B
二人 ふたり	67-6146-B,211-2025-B
二人組 ににんぐみ	95-596-B
二人組 ふたりぐみ	95-628-B
二伸 にしん	226-2005-B
二価 にか	90-3181-B
二倍 にばい	92-1819-B,316-2384-B,316-4113-B
二元 にげん	94-3826-B
二元的 にげんてき	94-3730-B
二元論 にげんろん	94-3790-B
二八 にはち	275-5014-B
二分 にぶん	30-5555-B
二分法 にぶんほう	83-4599-B
二分音符 にぶおんぷ	189-5873-B
二分音符 にぶんおんぷ	189-5910-B
二十 にじゅう	316-2355-B
二十日鼠 はつかねずみ	194-4234-B
二原子 にげんし	83-4479-B
二号 にごう	59-5490-B
二号さん にごうさん	191-2498-B
二回 にかい	316-2409-B
二国間 にこくかん	30-1444-B
二国間主義 にこくかんしゅぎ	30-1482-B
二国間相互主義 にこくかんそうごしゅぎ	30-1538-B
二塁打 にるいだ	92-1845-B
二字 にじ	196-2693-B
二年生 にねんせい	30-687-B
二形 ふたなり	144-2115-B
二心 にしん	95-1219-B,313-2130-B
二心 ふたごころ	95-1248-B,313-2159-B
二日酔 ふつかよい	140-1958-B
二日酔い ふつかよい	140-1995-B
二本棒 にほんぼう	274-4223-B
二枚折り にまいおり	122-3410-B
二枚舌 にまいじた	95-1283-B,104-3313-B
二枚貝 にまいがい	31-1061-B
二核 にかく	30-3494-B
二極真空管 にきょくしんくうかん	85-794-B
二次 にじ	265-573-B,294-2525-B
二次的 にじてき	265-599-B
二流 にりゅう	157-3608-B,265-432-B
二番 にばん	259-3827-B,265-218-B
二番刈り にばんかり	8-1122-B
二番煎じ にばんせんじ	247-1426-B
二着 にちゃく	259-3856-B
二等分 にとうぶん	30-5584-B
二級 にきゅう	265-634-B
二義的 にぎてき	265-666-B
二義的に にぎてきに	265-466-B
二者択一 にしゃたくいつ	11-4865-B
二者選一 にしゃせんいつ	11-4773-B
二股 ふたまた	30-853-B
二葉 ふたば	37-4520-B,285-3939-B
二通り ふたとおり	316-4140-B
二連式 にれんしき	95-754-B
二週間 にしゅうかん	125-395-B
二進 にしん	30-2945-B
二重 にじゅう	92-1877-B
二重 ふたえ	92-1906-B
二重底 にじゅうぞこ	34-1707-B
二重母音 にじゅうぼいん	85-1108-B
二重焦点 にじゅうしょうてん	30-802-B
二重結婚 にじゅうけっこん	30-1137-B
二重身 にじゅうしん	92-1048-B
二項式 にこうしき	30-3457-B
云々 うんぬん	55-3466-B
云う いう	262-877-B
云云 うんぬん	55-3496-B
互い たがい	195-6101-B,243-5088-B
互いに たがいに	195-6266-B,243-5328-B,309-1832-B
互い違い たがいちがい	11-3639-B,11-4582-B
互い違いに たがいちがいに	11-3683-B
互に かたみに	195-6300-B,243-5366-B,309-1866-B
互助 ごじょ	29-1420-B,65-4110-B
互助的 ごじょてき	127-726-B
互市 ごし	55-4360-B,311-1317-B
互恵 ごけい	243-5445-B
互換 ごかん	162-1550-B
互換性 ごかんせい	57-357-B
互角 ごかく	104-955-B,106-3894-B,212-836-B
互譲 ごじょう	58-4866-B,59-3165-B
互譲的 ごじょうてき	59-3352-B
五 ご	120-2172-B
五つ いつつ	120-2187-B
五分 ごぶ	106-3922-B,139-2104-B,308-1143-B
五分五分 ごぶごぶ	308-1163-B
五十 ごじゅう	118-2140-B
五十年祭 ごじゅうねんさい	167-551-B
五寸釘 ごすんくぎ	283-5020-B
五徳 ごとく	314-4199-B
五月蝿い うるさい	152-6563-B,178-5429-B,309-468-B,315-989-B
五目 ごもく	191-4651-B
五種競技 ごしゅきょうぎ	216-2421-B
五芒 ごぼう	216-2330-B
五重 いつえ	120-2211-B
五重 ごじゅう	120-2239-B
井 い	331-3192-B
井の中の蛙大海を知らず いのなかのかわずたいかいをしらず	212-5771-B,235-1569-B
井堰 いせき	73-5613-B,278-1337-B
井守 いもり	199-320-B
亘る わたる	111-2087-B
亙る わたる	111-2113-B
些々たる ささたる	314-5080-B
些か いささか	281-758-B
些さか いささか	281-789-B
些事 さじ	314-2771-B
些些たる ささたる	314-5116-B
些少 さしょう	117-4995-B,176-4427-B,277-2634-B
些細 ささい	277-2663-B,314-5152-B
亜大陸 あたいりく	293-5123-B
亜属 あぞく	293-6017-B,293-6073-B
亜急性 あきゅうせい	293-4846-B
亜流 ありゅう	5-5254-B,122-4601-B,151-3547-B
亜炭 あたん	175-2909-B
亜熱帯 あねったい	295-931-B
亜目 あもく	294-2367-B
亜硝酸塩 あしょうさんえん	199-3799-B
亜科 あか	293-5991-B,294-2395-B
亜米利加杉 あめりかすぎ	245-3813-B
亜綱 あこう	293-4886-B
亜群 あぐん	293-6101-B
亜脱臼 あだっきゅう	294-1448-B
亜鈴 あれい	94-5511-B
亜麻 あま	121-1246-B,143-5887-B,176-259-B
亜麻仁 あまに	176-1502-B
亜麻布 あまぬの	176-281-B
亜麻織物 あまおりもの	176-312-B
亜麻色 あまいろ	121-1285-B
亜麻製 あませい	121-1317-B,176-352-B
亡い ない	75-1136-B
亡き魂 なきたま	284-359-B
亡くなる なくなる	83-5506-B
亡しで なしで	334-2494-B
亡しに なしに	334-2524-B
亡びる ほろびる	217-3048-B
亡ぶ ほろぶ	217-3080-B
亡ぼす ほろぼす	82-740-B,210-2037-B,259-1041-B,336-0-B
亡命 ぼうめい	77-3851-B,99-5649-B,109-3832-B
亡命者 ぼうめいしゃ	109-3860-B,246-2498-B
亡失 ぼうしつ	178-4442-B
亡状 ぼうじょう	86-6184-B,171-5545-B
亡霊 ぼうれい	15-4033-B,131-5377-B
亡骸 なきがら	66-3294-B
亡魂 ぼうこん	284-391-B
亢奮 こうふん	8-5736-B,18-1784-B,108-5140-B,289-3906-B
