停頓 ていとん	1-3271-B,75-1540-B,286-4680-B,287-1873-B
健 けん	142-2273-B,291-4709-B
健かに したたかに	142-4638-B,269-4249-B
健やか すこやか	142-2594-B,281-5302-B,325-5417-B
健全 けんぜん	142-2293-B,281-5793-B,332-4359-B
健啖 けんたん	133-3203-B,327-5225-B
健啖家 けんたんか	133-2903-B
健在 けんざい	331-3264-B
健実 けんじつ	248-1048-B,280-3397-B,281-5333-B,288-1780-B
健康 けんこう	142-2322-B,281-5361-B,332-4391-B
健康方 けんこうほう	149-3753-B
健康法 けんこうほう	149-3792-B
健康的 けんこうてき	142-2490-B,149-3924-B,261-2835-B
健忘 けんぼう	124-2319-B
健忘症 けんぼうしょう	12-3356-B
健気 けなげ	35-1856-B,68-203-B,129-1125-B,144-2999-B,156-6631-B,179-66-B,182-4772-B,227-2056-B,237-15-B
健祥 けんしょう	101-5290-B,216-3215-B,284-420-B
健者 したたかもの	263-4548-B
偬 そう	295-5002-B
偲 し	244-1936-B,248-5493-B
偲ぶ しのぶ	244-1956-B,248-5512-B
側 かわ	213-307-B
側 がわ	213-325-B
側 そく	29-3125-B,52-1410-B,235-3070-B,325-3399-B,332-693-B
側 そば	29-3145-B,52-1429-B,235-3093-B,325-3421-B,332-712-B
側 はた	29-3165-B,52-1448-B,235-3116-B,325-3443-B,332-731-B
側か ほのか	113-3502-B,117-5044-B,156-3691-B,293-2631-B
側む そばむ	206-2045-B,246-5413-B
側ら かたわら	197-2931-B,332-750-B
側仕え そばづかえ	181-39-B,323-1375-B
側女 そばめ	59-5519-B
側溝 そっこう	90-2789-B,138-5424-B
側線 そくせん	273-3641-B
側背 そくはい	120-3663-B
側辺 そくへん	66-1885-B
側近く そばちかく	197-2960-B
側面 そくめん	120-3691-B,171-3041-B,273-3108-B,273-3380-B
偵 てい	285-5023-B
偵察 ていさつ	244-3749-B
偵察隊 ていさつたい	214-3358-B
偵知 ていち	164-3215-B
偶 ぐう	67-6172-B,91-4011-B,127-240-B,203-3806-B,240-4606-B
偶々 たまたま	3-3011-B,43-4572-B,318-6421-B
偶さか たまさか	203-3936-B
偶に たまに	203-3974-B
偶人 ぐうじん	91-4029-B,236-5050-B
偶偶 たまたま	3-3046-B,43-4603-B,318-6456-B
偶像 ぐうぞう	150-3626-B,151-1229-B,288-515-B
偶像崇拝 ぐうぞうすうはい	150-3740-B,335-3843-B
偶像教 ぐうぞうきょう	150-3789-B
偶像教徒的 ぐうぞうきょうとてき	150-3680-B
偶像破壊 ぐうぞうはかい	149-6302-B
偶像礼拝 ぐうぞうれいはい	150-3832-B
偶成 ぐうせい	153-2656-B
偶然 ぐうぜん	3-2379-B,125-633-B,295-4345-B,318-6491-B
偶発 ぐうはつ	3-2829-B,154-2178-B
偶発的 ぐうはつてき	3-2862-B,43-3956-B,154-2211-B,203-3830-B
偶語 ぐうご	64-6760-B
偸 つ	288-2220-B
偸 とう	288-2236-B
偸盗 ちゅうとう	257-1505-B,305-4444-B
偽 ぎ	32-4646-B,76-1054-B,114-2289-B,151-2958-B,174-5268-B,270-2428-B
偽 にせ	32-4662-B,76-1074-B,114-2309-B,151-2978-B,174-5282-B,270-2443-B
偽り いつわり	112-4751-B,114-2332-B,118-312-B,174-5299-B
偽り者 いつわりもの	153-318-B,174-2676-B
偽る いつわる	47-3875-B,76-63-B,114-2960-B,174-5325-B,229-4674-B
偽作 ぎさく	124-1464-B
偽君子 ぎくんし	149-5023-B,279-1784-B
偽君子 にせくんし	149-5058-B,279-1814-B
偽善 ぎぜん	149-4994-B
偽善者 ぎぜんしゃ	149-5096-B
偽性 ぎせい	235-4468-B
偽書 ぎしょ	124-1491-B
偽本 ぎほん	124-1518-B
偽物 ぎぶつ	67-4319-B,124-1545-B,151-3001-B,270-2461-B
偽物 にせもの	67-4350-B,124-1572-B,151-3030-B,270-2485-B
偽筆 ぎひつ	221-3236-B
偽者 にせもの	153-163-B,174-2712-B
偽薬 ぎやく	221-2889-B
偽装 ぎそう	40-5874-B,87-3860-B
偽言 ぎげん	114-2364-B
偽証 ぎしょう	217-3448-B
偽証者 ぎしょうしゃ	217-3408-B
偽誓 ぎせい	217-3478-B
偽造 ぎぞう	112-4785-B,114-2774-B,124-1602-B
偽造罪 ぎぞうざい	124-1629-B
傀 かい	171-654-B
傀儡 かいらい	94-5583-B,236-5079-B
傀儡 くぐつ	94-5611-B,236-5108-B
傅 ふ	161-724-B
傅く かしずく	268-5859-B
傅育 ふいく	315-4614-B
傍 そば	29-3185-B,52-1467-B,235-3139-B,325-3465-B,332-778-B
傍 はた	29-3205-B,52-1486-B,235-3162-B,325-3487-B,332-797-B
傍 わき	273-3135-B,332-816-B
傍ら かたわら	197-2995-B,332-835-B
傍らに かたわらに	29-3225-B,197-3024-B
傍人 ぼうじん	39-4387-B
傍受 ぼうじゅ	162-967-B,193-165-B,302-4102-B
傍注 ぼうちゅう	133-1794-B
傍流 ぼうりゅう	35-744-B,314-1326-B
傍系 ぼうけい	7-5689-B
傍線 ぼうせん	318-927-B
傍聴 ぼうちょう	21-5500-B,142-3057-B,176-3135-B
傍聴人 ぼうちょうにん	22-4098-B,22-4609-B,142-2987-B
傍若無人 ぼうじゃくぶじん	18-5747-B,22-3683-B,77-4794-B,160-1641-B
傍観者 ぼうかんしゃ	39-4419-B,205-2378-B
傍証 ぼうしょう	66-5924-B
傍論 ぼうろん	84-3666-B
傍輩 ほうばい	54-1945-B,56-3343-B
傍題 ぼうだい	295-28-B
傑 けつ	108-1406-B
傑れる すぐれる	108-929-B,209-3110-B,298-5301-B
傑作 けっさく	32-1697-B,184-2247-B
傑出 けっしゅつ	108-960-B,123-5301-B
傑士 けっし	144-2775-B
傘 かさ	212-3867-B,317-1107-B
備え そなえ	228-4626-B,235-1735-B
備えつける そなえつける	104-2024-B,128-3497-B,160-3762-B,235-1386-B
備える そなえる	104-2067-B,141-4955-B,160-3807-B
備え付け そなえつけ	104-2287-B,235-1764-B
備え付ける そなえつける	104-2098-B,128-3542-B,160-3840-B,235-1431-B
備に つぶさに	57-6001-B
備付 そなえつけ	104-2328-B,235-1805-B
備品 びひん	104-2363-B,128-3671-B
備忘 びぼう	248-5932-B
備忘録 びぼうろく	187-1149-B,200-4908-B
備砲 びほう	18-245-B
備考 びこう	200-4406-B
傚う ならう	100-3488-B,122-4202-B
催し もよおし	106-4094-B,128-1549-B,205-4465-B
催し物 もようしもの	109-2628-B
催し物 もよおしもの	109-2667-B
催す もよおす	116-5491-B
催促 さいそく	50-2380-B,79-1081-B,251-1390-B
催促状 さいそくじょう	95-233-B
催合う もやう	270-4567-B
催告 さいこく	201-357-B
催淫剤 さいいんざい	15-2857-B
催眠 さいみん	149-4783-B
催眠療法 さいみんりょうほう	149-4727-B
催眠術 さいみんじゅつ	149-4815-B
傭 やとい	100-1255-B,100-2171-B
傭 よう	100-855-B,145-3524-B
傭い やとい	100-1280-B,100-2198-B
傭う やとう	100-875-B,145-3542-B
傭人 ようにん	100-1308-B
傭聘 ようへい	100-2228-B
傲倨 ごうきょ	18-5797-B
傲岸 ごうがん	141-4132-B,230-1220-B
傲岸不遜 ごうがんふそん	18-5829-B
傲岸無礼 ごうがんぶれい	18-5876-B
傲慢 ごうまん	18-5923-B,141-4166-B,148-2296-B,160-1691-B,230-1248-B
傲慢不遜 ごうまんふそん	18-6089-B,141-4403-B
傲然 ごうぜん	18-6135-B,141-4448-B,235-706-B
傲然たる ごうぜんたる	141-4478-B,235-734-B
傴僂 くる	149-92-B,255-4328-B
傴僂 せむし	149-118-B,255-4352-B
債 さい	75-4224-B,177-1305-B
債主 さいしゅ	69-4006-B
債券 さいけん	33-1100-B,75-3901-B
債務 さいむ	75-4242-B,174-2399-B
債務者 さいむしゃ	75-4424-B
債務超過 さいむちょうか	160-1895-B
債権 さいけん	50-2408-B,69-3844-B
債権所有者 さいけんしょゆうしゃ	33-1319-B
債権者 さいけんしゃ	69-4037-B
傷 きず	37-2661-B,73-1449-B,130-476-B,149-1815-B,158-5496-B,262-3239-B,263-5643-B,335-5269-B
傷 しょう	37-2681-B,73-1466-B,130-494-B,149-1833-B,158-5516-B,262-3257-B,263-5664-B,335-5288-B
傷々しい いたいたしい	214-1765-B,221-901-B
傷み いたみ	37-2704-B,73-5716-B,89-6312-B,136-5154-B
傷める いためる	73-5742-B,152-404-B,284-5074-B
傷付ける きずつける	335-5310-B
傷傷しい いたいたしい	214-1808-B,221-943-B
傷創 しょうそう	158-5539-B,335-5347-B
傷口 きずぐち	335-5378-B
傷害 しょうがい	3-2410-B,43-4736-B,158-5571-B
傷心 しょうしん	136-5179-B,142-4309-B
傷痍 しょうい	158-5603-B,335-5406-B
