削片 さくへん	48-5727-B,284-4133-B
削除 さくじょ	41-1455-B,78-3854-B,99-449-B,104-3822-B
剋 こく	325-4384-B
前 せん	28-745-B
前 ぜん	8-6349-B,28-765-B,124-5364-B,230-0-B
前 まえ	9-0-B,225-2856-B,230-224-B
前々 まえまえ	28-1004-B
前に まえに	9-2453-B,28-785-B
前もって まえもって	28-1037-B,230-248-B
前世 ぜんせい	14-6076-B
前人 ぜんじん	227-5777-B
前代未聞 ぜんだいみもん	319-2597-B
前以て まえもって	28-1079-B,230-290-B
前件 ぜんけん	14-2875-B
前任者 ぜんにんしゃ	227-5811-B
前例 ぜんれい	227-3885-B
前借 ぜんしゃく	177-1323-B
前借り まえがり	177-1353-B
前借金 ぜんしゃっきん	7-216-B,177-1383-B
前兆 ぜんちょう	140-3931-B,204-5415-B,225-2448-B,228-3848-B,273-4809-B
前前 まえまえ	28-1118-B
前史 ぜんし	228-2223-B
前向き まえむき	225-4546-B
前哨 ぜんしょう	209-882-B
前哨地 ぜんしょうち	209-915-B
前哨戦 ぜんしょうせん	276-2800-B
前垂 まえだれ	17-1492-B
前垂れ まえだれ	17-1520-B
前売 まえうり	33-2709-B
前売り まえうり	33-2739-B
前奏 ぜんそう	210-2398-B,228-3059-B
前奏曲 ぜんそうきょく	210-2429-B,228-3089-B
前屈み まえかがみ	277-5322-B
前後 ぜんご	17-1024-B,18-1701-B,63-5118-B,178-2026-B,197-3306-B,307-4979-B
前後不覚 ぜんごふかく	317-6426-B
前後策 ぜんごさく	67-4718-B,248-5321-B
前徴 ぜんちょう	140-3966-B,204-5445-B,225-2481-B,228-3885-B,273-4839-B
前掛け まえかけ	17-1551-B
前提 ぜんてい	227-3195-B,228-3359-B,228-6113-B,242-2538-B
前提条件 ぜんていじょうけん	227-5540-B
前文 ぜんぶん	227-3226-B
前方 ぜんぽう	125-1386-B
前方 まえかた	230-329-B
前景 ぜんけい	123-4489-B
前景気 まえげいき	209-447-B,233-241-B,234-2223-B
前書き まえがき	227-3257-B,228-556-B
前板 まえいた	74-4222-B
前栽 せんざい	129-4800-B
前渡金 まえわたしきん	228-5594-B
前知らせ まえじらせ	204-5475-B,228-3922-B
前立て まえだて	69-5119-B,223-2924-B
前納 ぜんのう	228-5639-B
前置 ぜんち	163-5786-B,228-589-B
前置き まえおき	163-5818-B,228-616-B
前置詞 ぜんちし	228-5747-B
前脳 ぜんのう	123-3969-B
前腕 ぜんわん	123-3855-B
前腕 まえうで	123-3885-B
前膊 ぜんぱく	123-3915-B
前菜 ぜんさい	278-5562-B
前著 ぜんちょ	149-5851-B
前衛 ぜんえい	323-3661-B
前衛戦 ぜんえいせん	276-2843-B
前表 ぜんぴょう	140-4001-B,204-5511-B,225-2514-B,228-3965-B,273-4869-B
前触れ まえぶれ	140-4036-B,144-498-B,225-2547-B
前記 ぜんき	1-6221-B,8-623-B,260-3254-B
前蹤 ぜんしょう	227-3917-B
前身 ぜんしん	13-256-B
前身頃 まえみごろ	127-3444-B
