大腸 だいちょう	54-4087-B
大腸炎 だいちょうえん	54-25-B
大腿 だいたい	306-2743-B
大腿骨 だいたいこつ	117-1966-B,306-2884-B
大自然 だいしぜん	197-1281-B
大臼歯 だいきゅうし	192-3351-B
大荒れ おおあれ	8-5870-B,321-1867-B
大著 たいちょ	184-2448-B
大蒜 にんにく	129-5501-B
大虎 おおどら	93-5843-B
大虐殺 だいぎゃくさつ	131-1675-B
大蛇 だいじゃ	268-4867-B
大衆化 たいしゅうか	225-957-B
大衆性 たいしゅうせい	225-594-B
大衆紙 たいしゅうし	301-4009-B
大袈裟 おおげさ	135-2965-B
大要 たいよう	208-6332-B,296-3477-B
大規模 だいきぼ	171-1104-B
大詰 おおづめ	118-5157-B
大赦 たいしゃ	12-3425-B
大過去 だいかこ	223-4271-B
大道 だいどう	23-4104-B
大道具 おおどうぐ	262-5638-B
大道商人 だいどうしょうにん	141-5163-B,215-3521-B
大部 たいぶ	113-4663-B,136-2696-B,195-102-B
大部 だいぶ	113-4689-B,136-2723-B,195-126-B
大部分 だいぶぶん	181-3387-B
大都会 だいとかい	186-4872-B
大都市 だいとし	188-3999-B
大量殺人 たいりょうさつじん	31-6046-B
大量虐殺 たいりょうぎゃくさつ	223-5669-B
大鋸屑 おがくず	262-424-B
大鍋 おおなべ	44-1977-B
大鎌 おおがま	264-3249-B
大鑑 たいかん	101-595-B
大降り おおぶり	290-4037-B
大陸 たいりく	63-5298-B
大隊 だいたい	26-4307-B
大雑把 おおざっぱ	36-6149-B,276-292-B
大難 たいなん	40-911-B
大風 おおかぜ	129-873-B
大食 たいしょく	133-3234-B
大食い おおぐい	133-3268-B
大食らい おおぐらい	133-2939-B
大食漢 たいしょくかん	133-2978-B
大騒ぎ おおさわぎ	50-3267-B,315-5198-B,321-2987-B
大鷭 おおばん	65-5023-B
大麦 おおむぎ	26-62-B
大麻 たいま	41-2754-B
大黄 だいおう	255-3279-B
大黒柱 だいこくばしら	181-1763-B
天 あまつ	143-722-B,152-2374-B
天 てん	143-502-B,276-3405-B
天の使い てんのつかい	13-2021-B
天上界 てんじょうかい	143-522-B
天下一品 てんかいっぴん	215-4814-B
天下分け目 てんかわけめ	115-5156-B
天下晴れて てんかはれて	173-2290-B
天下無双 てんかむそう	215-4860-B
天下無比 てんかむひ	215-4903-B
天与 てんよ	133-5647-B
天井 てんじょう	44-4968-B
天井桟敷 てんじょうさじき	129-1797-B
天井棧敷 てんじょうさじき	129-1845-B
天使 てんし	13-2061-B
天候 てんこう	330-4967-B
天分 てんぶん	82-60-B,191-1512-B
天刑病 てんけいびょう	173-5448-B
天命 てんめい	82-90-B,168-0-B
