小径 しょうけい	170-5225-B,214-1574-B
小心 しょうしん	68-4734-B,308-3918-B
小心者 しょうしんもの	68-4148-B
小惑星 しょうわくせい	21-275-B
小意気 こいき	278-2691-B,293-4374-B
小憎らしい こにくらしい	147-2673-B
小手 こて	123-3945-B
小才 こさい	51-4192-B
小才 しょうさい	51-4222-B
小数 しょうすう	76-1540-B
小暗い おぐらい	84-5434-B,95-2203-B,270-845-B
小暗い こぐらい	84-5463-B,95-2234-B,270-876-B
小枝 こえだ	285-1828-B,316-2503-B
小楯 こだて	264-487-B
小槌 こづち	130-3220-B
小止み こやみ	35-3978-B
小母さん おばさん	170-1468-B,180-2044-B,334-3602-B
小気味 こきみ	116-5876-B,268-29-B
小気味よい こきみよい	51-3561-B,197-3817-B,278-2719-B
小水 しょうすい	321-5454-B,321-5717-B
小液胞 しょうえきほう	325-837-B
小滝 おたき	43-2083-B
小父さん おじさん	317-4957-B
小片 しょうへん	283-761-B
小牛 こうし	40-2363-B
小犬 こいぬ	236-5502-B
小猫 こねこ	169-1287-B
小生 しょうせい	98-717-B
小生意気 こなまいき	47-5636-B,153-4651-B
小用 こよう	321-5489-B,321-5748-B
小用 しょうよう	321-5518-B,321-5773-B
小癪 こしゃく	153-4884-B
小百合 さゆり	175-3832-B
小百姓 こびゃくしょう	215-2358-B
小石 こいし	215-2517-B
小突く こづく	224-1248-B,237-3314-B
小童 こわっぱ	34-5325-B,35-1739-B
小競り合い こぜりあい	276-2920-B
小競合い こぜりあい	17-5397-B,238-739-B,276-2963-B
小箱 こばこ	43-3048-B
小節 しょうせつ	185-4167-B
小粋 こいき	278-2759-B,293-4404-B
小細工 こざいく	19-503-B
小羊 こひつじ	170-2251-B
小者 こもの	268-5628-B
小耳 こみみ	209-6009-B
小耳に挟む こみみにはさむ	209-6037-B
小股 こまた	70-5523-B
小股掬い こまたすくい	314-3752-B
小肥り こぶとり	223-3439-B
小胆 しょうたん	308-4160-B
小胞 しょうほう	325-879-B
小脳 しょうのう	45-1846-B
小腹 こばら	1-2645-B,28-5877-B
小膝 こひざ	169-1778-B
小舅 こじゅうと	37-2163-B
小舟 こぶね	32-3360-B
小船 こぶね	32-3384-B
小荷物 こにもつ	210-5363-B,212-4188-B
小虎 こどら	93-5873-B
小見出し こみだし	295-158-B
小説 しょうせつ	201-1705-B,290-4332-B
小説家 しょうせつか	201-2070-B
小論文 しょうろんぶん	211-4624-B,311-1125-B
小豆色 あずきいろ	245-1280-B
小賢しい こざかしい	51-3602-B,69-467-B,72-1080-B,229-5332-B,273-82-B
小路 こうじ	10-4030-B,170-5255-B
小路 しょうじ	10-4055-B,170-5279-B
小逕 しょうけい	170-5306-B
小道 こみち	170-5336-B,214-1604-B
小遣い こづかい	11-154-B
小銃 しょうじゅう	255-5640-B
小閑 しょうかん	179-4416-B
小間使 こまづかい	181-102-B
小間使い こまづかい	181-135-B
小間物 こまもの	296-5024-B
小間物屋 こまものや	138-5879-B
小降り こぶり	94-632-B
小隊 しょうたい	222-3347-B
小難しい こむずかしい	115-3403-B,310-2693-B,315-1097-B
小雨 こさめ	94-662-B
小面 しょうめん	112-6169-B
小面憎い こづらにくい	47-5774-B,218-4357-B,261-5204-B
小首 こくび	142-483-B
小馬 こうま	54-5290-B,224-5057-B
小魚 こざかな	127-5311-B
小鴨 こがも	303-2459-B
小麦 こむぎ	331-5186-B
少い すくない	117-5166-B,161-1488-B,262-3723-B,266-2177-B
少し すこし	117-5192-B,176-4616-B,281-287-B
少しづつ すこしづつ	135-330-B
少し宛 すこしづつ	135-371-B
少ない すくない	117-5215-B,161-1523-B,262-3752-B,266-2206-B
少なからず すくなからず	62-1720-B
少なげ すくなげ	262-3842-B
少佐 しょうさ	181-3120-B
少国民 しょうこくみん	48-4770-B
少壮 しょうそう	337-508-B
少壮有為 しょうそうゆうい	101-5056-B
少女 おとめ	74-5084-B,181-283-B,326-3339-B
少女 しょうじょ	74-5112-B,181-309-B,326-3365-B
少尉 しょうい	102-4813-B
少憩 しょうけい	243-4301-B
少数 しょうすう	117-5244-B,190-540-B
少数派 しょうすうは	190-574-B
少関 しょうかん	179-4446-B
尖った とがった	270-5724-B
尖兵 せんぺい	323-3720-B
尖塔 せんとう	220-4425-B,284-255-B,288-3720-B
尖端 せんたん	72-5779-B,282-5020-B,308-5417-B,323-3751-B
尖部 せんぶ	15-2681-B
尖鋭 せんえい	5-1457-B,239-3891-B,270-5755-B
尖頭 せんとう	72-5806-B,223-5866-B
尚 なお	128-4192-B,128-4495-B,136-2750-B,173-5646-B,193-5574-B,289-2881-B,336-4406-B
尚又 なおまた	128-4213-B,193-5907-B
尚早 しょうそう	228-3211-B
尚書き なおがき	235-2430-B
尚武 しょうぶ	189-2794-B
尠からず すくなからず	62-1770-B
尤なる ゆうなる	209-2971-B,297-762-B
尤も もっとも	11-5016-B,197-257-B,222-3479-B
尤もらしい もっともらしい	222-3511-B
尤度 ゆうど	222-3447-B
尨大 ぼうだい	38-729-B,102-3447-B,109-6793-B,111-3333-B,148-2669-B,300-789-B
就いて ついて	1-5853-B,59-2334-B,246-3944-B
就いては ついては	59-2367-B
就きましては つきましては	59-2406-B
就ける つける	221-2730-B,237-3609-B
就中 なかんずく	105-1140-B,213-2165-B
就中 なかんづく	105-1176-B
就任 しゅうにん	154-76-B
就任式 しゅうにんしき	160-4245-B
就寝 しゅうしん	253-6337-B
就床 しゅうしょう	27-5094-B
就業 しゅうぎょう	100-2303-B
就眠 しゅうみん	253-6371-B
就職 しゅうしょく	154-114-B
就職口 しゅうしょくぐち	100-2342-B,205-4684-B,225-4056-B
就職斡旋 しゅうしょくあっせん	221-2992-B
尸 しかばね	66-3323-B
尺 しゃく	173-4738-B
尺八 しゃくはち	117-701-B
尺寸 しゃくすん	314-2913-B
尺寸 せきすん	314-2945-B
尺度 しゃくど	262-1802-B
尻 しり	34-1745-B
尻がる しりがる	8-5425-B,118-27-B,127-2677-B
尻抜け しりぬけ	124-2355-B
尻押し しりおし	24-3357-B,160-5884-B,160-6065-B,298-1469-B
尻癖 しりくせ	155-997-B,233-68-B
尻窄まり しりすぼまり	22-1054-B
尻軽 しりがる	8-5458-B,118-63-B,127-2712-B
尻込み しりごみ	144-4415-B,244-1843-B
尻重 しりおも	278-0-B
尼 あま	30-5959-B,201-5493-B
尼僧 にそう	230-1824-B
尼僧院 にそういん	64-5982-B,201-5542-B
尼寺 あまでら	64-6018-B,201-5578-B
尼法師 あまほうし	201-5510-B
尽きない つきない	157-1381-B
尽くす つくす	28-1151-B
尽力 じんりょく	20-4139-B
尽忠 じんちゅう	179-2622-B
尽未来 じんみらい	105-5494-B,124-726-B
尾 お	255-4756-B,301-6017-B
尾根 おね	285-4466-B
尾状 びじょう	44-1925-B,301-6032-B
尾状花 びじょうか	44-1630-B
尾籠 びろう	155-3806-B,155-5163-B
尾翼 びよく	301-6059-B
尾行 びこう	122-4292-B,270-452-B,301-6083-B
尾部 びぶ	44-1954-B,301-6107-B
尾錠 びじょう	37-4348-B
尾鰭 おひれ	107-3882-B
尾鰭 おびれ	107-3914-B
尿 にょう	321-5804-B
尿の検査 にょうのけんさ	321-5370-B
尿器 にょうき	321-5341-B
尿管 にょうかん	321-4176-B
尿素 にょうそ	321-4149-B
尿道 にょうどう	321-4246-B
局 きょく	7-4162-B,80-168-B,275-4347-B
局員 きょくいん	51-3222-B
局地 きょくち	177-2558-B,195-3288-B
局地的 きょくちてき	177-2369-B
局外中立 きょくがいちゅうりつ	198-4694-B
局外者 きょくがいしゃ	209-2384-B
局所 きょくしょ	177-2406-B,265-3833-B
局舎 きょくしゃ	38-3960-B
局部 きょくぶ	213-358-B,265-3866-B
局限 きょくげん	175-4202-B,177-2671-B
局面 きょくめん	19-4675-B,47-5136-B,275-4373-B
屁 へ	115-1629-B
屁理屈 へりくつ	238-3795-B
居る いる	109-4105-B
居る おる	27-403-B,109-4127-B
居中調停 きょちゅうちょうてい	186-477-B
居住 きょじゅう	251-6226-B
居住地 きょじゅうち	5-4386-B,251-6261-B
居住者 きょじゅうしゃ	158-2709-B,251-6538-B
居候 いそうろう	284-5802-B
居座り いすわり	248-4347-B
居座る いすわる	248-3841-B
居心地 いごこち	55-818-B
居心地がよい いごこちがよい	67-1917-B,279-2778-B
居心地が悪い いごこちがわるい	317-5240-B
居心地のよい いごこちのよい	279-2826-B
居所 いどころ	5-4425-B
居所 きょしょ	5-4455-B
居残り いのこり	82-3900-B
居残る いのこる	248-3873-B
居然たる きょぜんたる	289-2900-B
居留 きょりゅう	251-5784-B,251-6302-B
居留地 きょりゅうち	59-2930-B
居酒屋 いざかや	25-3634-B,235-5940-B,303-1092-B
屈する くっする	29-431-B,273-888-B,336-4667-B
屈む かがむ	290-1624-B
屈める かがめる	29-461-B,290-1649-B
屈伏 くっぷく	294-1719-B,299-88-B,336-4890-B
屈伸 くっしん	98-3183-B
屈強 くっきょう	195-4256-B,203-1897-B,293-3636-B
屈従 くつじゅう	294-3773-B
屈折 くっせつ	29-1042-B,155-5657-B,246-1027-B
屈指 くっし	123-5335-B,172-3238-B,209-3008-B,228-446-B
屈曲 くっきょく	29-2426-B
屈曲部 くっきょくぶ	98-3427-B
屈服 くっぷく	294-1752-B,299-120-B,336-4921-B
屈託 くったく	42-2537-B,335-2978-B
屈託のない くったくのない	42-3258-B
屈託の無い くったくのない	42-3307-B
屈辱 くつじょく	87-3166-B,148-5318-B
屈辱的 くつじょくてき	148-5272-B
届 とどけ	201-427-B,246-5104-B,250-2951-B
届く とどく	241-3115-B
届け とどけ	201-456-B,246-5133-B,250-2974-B
届ける とどける	78-5953-B,125-1476-B,250-3000-B,267-2397-B
届け先 とどけさき	62-3358-B,81-6296-B
届け出 とどけで	201-488-B,250-3032-B
届け出る とどけでる	201-847-B,250-3064-B
届け物 とどけもの	229-324-B
届出 とどけで	201-526-B,250-3102-B
屋上 おくじょう	257-4436-B
屋台 やたい	43-1164-B,121-3740-B
屋台店 やたいみせ	286-5165-B,287-0-B
屋台骨 やたいぼね	125-5795-B,181-1806-B,297-6805-B,298-1129-B
屋形船 やかたぶね	148-82-B
屋敷 やしき	182-6122-B
屋根 やね	257-4386-B
屋根屋 やねや	257-4407-B,305-3920-B
屋根板 やねいた	271-3646-B
屋根裏 やねうら	22-1326-B
屋根裏部屋 やねうらべや	22-1357-B,130-78-B,177-4450-B
屍 しかばね	66-3349-B
屍体 したい	39-5525-B
屍骸 しがい	32-4036-B,66-3375-B
屎尿 しにょう	108-6218-B
屑 くず	263-5311-B,329-3261-B
屑入れ くずいれ	329-3690-B
展性 てんせい	181-5758-B
展望 てんぼう	209-510-B,234-2260-B,325-4729-B
展示 てんじ	88-3615-B,109-3198-B
展示会 てんじかい	109-3228-B
展示品 てんじひん	109-2847-B,109-3267-B
展覧 てんらん	109-3306-B,272-4061-B
展覧会 てんらんかい	109-3339-B
展観 てんかん	109-2883-B
展開 てんかい	82-6171-B
属国 ぞっこく	80-983-B
属性 ぞくせい	22-3206-B,63-5145-B
属領 ぞくりょう	80-1016-B,91-5336-B,225-5426-B,305-1104-B
屠る ほふる	39-2445-B,77-2968-B,184-717-B,277-354-B
屠場 とじょう	277-476-B
屠所 としょ	277-513-B
屠殺 とさつ	277-383-B
屠殺場 とさつじょう	1-1548-B
屡 しばしば	126-4924-B,204-3505-B
屡々 しばしば	126-4954-B,204-3530-B
屡屡 しばしば	126-4987-B,204-3558-B
層 そう	50-4411-B,172-629-B,264-3892-B,291-3754-B
層雲 そううん	291-3384-B
履き物 はきもの	123-2269-B
履く はく	330-3967-B
履歴 りれき	24-2927-B,42-2900-B,177-4725-B
履歴書 りれきしょ	253-3406-B
履物 はきもの	123-2303-B
履行 りこう	86-2299-B,127-6082-B,152-4659-B,217-767-B
屯 たむろ	41-0-B
屯 とん	309-4440-B
屯営 とんえい	41-643-B
屯所 とんしょ	225-6258-B
屯田 とんでん	54-4330-B
山 やま	142-2672-B
山の手 やまのて	321-3793-B
山人 やまびと	144-2452-B
山出し やまだし	38-2540-B
山勘 やまかん	138-1477-B,283-1974-B
山場 やまば	51-5402-B
山峡 さんきょう	129-4021-B,134-1439-B,241-2479-B
山峡 やまかい	129-4050-B,134-1470-B,241-2511-B
山崩れ やまくずれ	170-5096-B
山巓 さんてん	296-4427-B
山師 やまし	153-194-B
山手 やまて	321-3825-B
山林学 さんりんがく	124-295-B
山査子 さんざし	141-5289-B
山梔子 くちなし	129-5000-B
山椒魚 さんしょううお	260-4533-B
山水 さんすい	170-4892-B
山津波 やまつなみ	170-5134-B
山猫 やまねこ	180-1796-B,333-1050-B
山猿 やまざる	33-4074-B,38-2573-B,193-443-B
山男 やまおとこ	11-2407-B,131-5872-B,334-5082-B
山積み やまづみ	142-2690-B
山羊 やぎ	133-4621-B
山羊髭 やぎひげ	133-4680-B
山腹 さんぷく	145-1740-B,194-3665-B
山芋 やまいも	336-2680-B
山荒 やまあらし	225-1670-B
山荒らし やまあらし	225-1705-B
山賊 さんぞく	25-2022-B,36-2221-B
山辺 やまべ	194-3526-B
山野 さんや	67-5801-B
山間 やまあい	134-1498-B,241-2540-B
山高帽子 やまたかぼうし	80-5305-B
山鳩 やまばと	316-1965-B
山鶉 やまうずら	213-3075-B
屹度 きっと	45-2863-B,269-4314-B,318-4767-B
岡 おか	143-2190-B,145-1674-B,169-3246-B
岡 こう	143-2210-B,145-1692-B,169-3265-B
岡っ引き おかっぴき	82-3438-B
岡引 おかっぴき	82-3479-B
岡引 おかひき	82-3514-B
岡焼き おかやき	103-5241-B,166-1196-B
岡目 おかめ	39-4460-B,205-2418-B
岡陵 こうりょう	145-1710-B
岩 いわ	69-607-B,257-2469-B
岩室 いわむろ	44-3676-B
岩屋 いわや	44-3949-B,137-2408-B
岩床 がんしょう	27-5132-B
岩根 いわね	257-2487-B
岩棚 いわたな	173-1396-B
岩棚 いわだな	173-1424-B
岩漿 がんしょう	180-3999-B
岩盤 がんばん	27-5165-B
岩石 がんせき	257-2511-B
岩石圏 がんせきけん	176-4043-B
岩石学 がんせきがく	219-457-B
岩礁 がんしょう	245-3924-B
岩穴 いわあな	44-3975-B,137-2434-B
岩窟 がんくつ	44-3703-B,44-4004-B
岩脈 がんみゃく	84-3873-B
岬角 こうかく	233-895-B
岳人 がくじん	11-2441-B,194-3554-B
岳父 がくふ	115-5548-B
岸 きし	25-2550-B,53-1084-B,272-1430-B
岸壁 がんぺき	35-4920-B,331-4679-B
岸頭 がんとう	272-1449-B,331-4707-B
峠 とうげ	255-4772-B
峡湾 きょうわん	120-2709-B
峡谷 きょうこく	41-3687-B,132-4093-B,134-1526-B,241-2569-B
峡部 きょうぶ	165-4563-B
峰 みね	215-2047-B,255-4794-B
島 しま	165-3363-B
島流し しまながし	25-2312-B,109-3897-B
峻厳 しゅんげん	256-1161-B,269-3793-B,288-6093-B,292-263-B
峻嶮 しゅんけん	227-4837-B,288-3477-B
峻烈 しゅんれつ	141-2369-B,269-4686-B
峻険 しゅんけん	227-4874-B,288-3508-B
崇める あがめる	252-3426-B,254-4103-B,335-3951-B
崇拝 すうはい	6-2227-B,6-5038-B,71-5457-B,335-3984-B
崇拝者 すうはいしゃ	6-3450-B,335-4212-B
崇敬 すうけい	254-4310-B
崇高 すうこう	298-3097-B
崖 がけ	51-5147-B
崖崩れ がけくずれ	170-5172-B
崩す くずす	82-956-B
崩れ くずれ	54-892-B,259-1200-B
崩れる くずれる	54-920-B,71-2139-B
崩れ去る くずれさる	54-954-B
崩壊 ほうかい	54-994-B
崩御 ほうぎょ	79-2105-B
崩潰 ほうかい	54-1025-B
崩落 ほうらく	35-4006-B,54-1056-B,69-1463-B
嵌まる はまる	120-1714-B,296-1450-B
嵌める はめる	159-4580-B
嵌め込み はめこみ	159-5020-B
嵌め込む はめこむ	158-6414-B,159-4609-B
嵌る はまる	120-1740-B,296-1477-B
嵐 あらし	290-4068-B,304-1075-B
嵩 かさ	38-593-B,238-0-B,327-4161-B
嵩じる こうじる	82-6201-B
嵩に掛かって かさにかかって	18-6268-B,209-3937-B
嵩む かさむ	155-2313-B
嵩上げ かさあげ	240-1634-B
嵩高 かさだか	38-757-B,321-481-B
嵩高 すうこう	177-4520-B
嶮岨 けんそ	227-4409-B
巌々とした がんがんとした	69-670-B
巌巌とした がんがんとした	69-717-B
巌窟 がんくつ	44-3730-B,44-4033-B
川 かわ	256-5670-B
川べり かわべり	256-5708-B,257-32-B
川下 かわしも	92-3777-B
川獺 かわうそ	208-4185-B
川端 かわばた	256-5743-B
川縁 かわぶち	257-67-B
川縁 かわべり	257-0-B,257-99-B
川蝉 かわせみ	169-438-B
川蝦 かわえび	69-1671-B
川辺 かわべ	257-131-B
州 しゅう	235-1544-B,287-4583-B
州 す	261-2356-B
巡らす めぐらす	100-4591-B
巡り めぐり	132-2057-B,220-2649-B
巡り合わせ めぐりあわせ	46-26-B,115-4808-B
巡回 じゅんかい	214-3396-B,258-2860-B,310-4446-B
巡査 じゅんさ	224-1677-B,224-1802-B
巡歴 じゅんれき	310-4476-B,314-3791-B
巡洋艦 じゅんようかん	71-2027-B
巡礼 じゅんれい	220-2679-B
巡礼者 じゅんれいしゃ	220-2514-B
巡航 じゅんこう	71-1966-B
巡航船 じゅんこうせん	71-2069-B
巡行 じゅんこう	214-3428-B
巣 す	28-0-B,53-1815-B,79-3907-B,141-4695-B,198-3606-B,257-4469-B
巣窟 そうくつ	79-3921-B,140-1928-B,141-4711-B,146-2259-B
巣箱 すばこ	145-5469-B
巣籠り すごもり	144-5314-B
巣籠る すごもる	198-3621-B
巣食う すくう	141-4739-B
工人 こうじん	19-1835-B,69-297-B,335-1271-B
工作 こうさく	63-736-B,139-4795-B,335-228-B
工作員 こうさくいん	69-329-B
工作室 こうさくしつ	335-1774-B
工作物 こうさくぶつ	335-1497-B
工兵 こうへい	102-487-B
工具 こうぐ	152-4386-B,310-0-B
工具入 こうぐいれ	310-72-B
工務 こうむ	102-694-B
工務店 こうむてん	64-686-B
工匠 こうしょう	19-1865-B,185-4956-B
工合 ぐあい	59-6684-B,142-2435-B,182-5193-B,287-4605-B
工場 こうじょう	113-940-B,189-3407-B,222-1310-B,335-1814-B
工場 こうば	113-973-B,189-3437-B,222-1341-B,335-1848-B
工場実習 こうじょうじっしゅう	65-3972-B,162-6335-B
工夫 くふう	83-384-B,263-893-B
工夫 こうふ	170-0-B,335-983-B
工学 こうがく	102-725-B
工学者 こうがくしゃ	102-518-B
工廠 こうしょう	18-6624-B
工房 こうぼう	293-830-B,335-1876-B
工業化 こうぎょうか	156-6582-B
工芸品 こうげいひん	139-4828-B
工賃 こうちん	214-5814-B
工面 くめん	64-2875-B
左側 さそく	173-1743-B
左側 ひだりがわ	173-1767-B
左傾 さけい	173-1959-B
左党 さとう	173-1986-B
左党 ひだりとう	173-2013-B
左利 ひだりきき	173-1797-B,173-1882-B
左利き ひだりきき	173-1838-B,173-1919-B
左右 さゆう	64-3596-B,91-5173-B
左右相称 さゆうそうしょう	300-5512-B
左官 さかん	222-2684-B
左巻き ひだりまき	1-4507-B,96-5840-B
左様なら さようなら	134-511-B
左様なら さよなら	134-551-B
左記 さき	122-5070-B
左遷 させん	78-1346-B,79-3525-B
左顧右眄 さこうべん	322-4990-B
巧い うまい	276-1710-B
巧み たくみ	51-4258-B,276-833-B
巧みに操る たくみにあやつる	182-4162-B
巧む たくむ	83-863-B,221-5756-B,223-1625-B
巧妙 こうみょう	51-3640-B,78-466-B,158-1993-B,276-1738-B
巧手 こうしゅ	110-3626-B,276-858-B
巧技 こうぎ	276-886-B
巧拙 こうせつ	276-911-B,301-5010-B,335-1341-B
巧知 こうち	51-4288-B,276-939-B
巧緻 こうち	98-2495-B,111-1823-B
巧者 こうしゃ	51-4318-B,276-964-B,301-5037-B
巧言 こうげん	121-177-B
巧言令色 こうげんれいしょく	121-208-B
巨 きょ	30-1005-B,136-2422-B,171-835-B
巨 こ	30-1022-B,136-2441-B,171-854-B
巨い おおきい	30-1036-B,136-2457-B,171-870-B
巨なる おおいなる	30-1062-B,136-2485-B,171-898-B
巨人 きょじん	131-5903-B
巨匠 きょしょう	180-3105-B,184-1831-B
巨大 きょだい	102-3478-B,132-1069-B,148-2696-B
巨大分子 きょだいぶんし	180-2370-B
巨大症 きょだいしょう	132-1128-B
巨岩 きょがん	69-625-B
巨擘 きょはく	23-596-B,287-2278-B
巨波 きょは	30-2788-B
巨漢 きょかん	131-5931-B
巨石 きょせき	186-4645-B
巨石記念物 きょせききねんぶつ	186-4676-B
巨視的 きょしてき	180-2463-B
