広漠たる こうばくたる	34-2994-B,324-801-B,332-5472-B
広狭 こうきょう	333-218-B
広範 こうはん	111-3599-B,332-5511-B,332-5921-B
広範囲 こうはんい	111-3631-B
広角 こうかく	332-5616-B
広量 こうりょう	130-6081-B
広間 ひろま	139-2864-B,260-5667-B
広闊 こうかつ	282-2826-B
庄園 しょうえん	182-5791-B
庇護 ひご	214-3991-B,234-5443-B
床 とこ	10-23-B
床 ゆか	121-4751-B
床しい ゆかしい	6-1767-B,47-1019-B
床の間 とこのま	10-43-B
床屋 とこや	25-4418-B
序 じょ	124-1076-B,228-718-B
序 ついで	203-3650-B,206-1715-B
序で ついで	203-3675-B,206-1743-B
序でに ついでに	154-2451-B
序に ついでに	154-2489-B
序列 じょれつ	240-3313-B
序幕 じょまく	232-5647-B
序文 じょぶん	124-1098-B,228-739-B
序曲 じょきょく	210-2472-B,228-3131-B
序次 じょじ	207-346-B,268-2815-B
序章 じょしょう	228-769-B,232-5678-B
序言 じょげん	124-1129-B,163-5929-B,228-802-B
序詞 じょし	124-1160-B,163-5964-B,228-832-B
序説 じょせつ	163-5996-B
序論 じょろん	163-6031-B,228-859-B
底 そこ	34-1765-B,280-1753-B
底力 そこぢから	226-3607-B
底土 そこつち	294-4538-B
底意地悪い そこいじわるい	181-5339-B,284-2255-B
底抜け そこぬけ	34-1937-B
底数 ていすう	26-1564-B,239-4908-B
底本 ていほん	92-4318-B
底止 ていし	45-3853-B
底気味悪い そこきみわるい	97-4186-B,204-5682-B,291-769-B
底流 ていりゅう	318-233-B
底無し そこなし	34-1973-B
底知れぬ そこしれぬ	34-2009-B
底荷 そこに	25-1062-B
底豆 そこまめ	66-1577-B
底革 そこがわ	280-1771-B
庖厨 ほうちゅう	169-984-B
店 てん	105-3037-B,272-847-B,290-3402-B
店 みせ	105-3064-B,272-865-B,290-3421-B
店主 てんしゅ	272-1204-B
店借り たながり	304-3258-B
店卸し たなおろし	164-2362-B
店員 てんいん	51-3253-B,100-1450-B,260-5168-B
店子 たなこ	304-3562-B
店屋 みせや	272-883-B,290-3440-B
店番 みせばん	260-5202-B
店舗 てんぽ	272-907-B,290-3465-B
店鋪 てんぽ	272-931-B,290-3490-B
店頭 てんとう	67-3735-B,272-955-B
府庫 ふこ	313-3484-B
府県 ふけん	228-1178-B
度 たび	78-1736-B
度 ど	310-3585-B
度々 たびたび	126-5020-B,204-3586-B,249-5974-B
度し難い どしがたい	155-1754-B
度を重ねる どをかさねる	249-5402-B
度合 どあい	78-1756-B,111-3879-B
度合い どあい	78-1782-B,111-3905-B
度外れ どはずれ	108-3421-B,112-498-B
度度 たびたび	126-5053-B,204-3614-B,249-6007-B
度数 どすう	126-4370-B
度数分布図 どすうぶんぷず	145-3880-B
度毎 たびごと	106-5300-B
度盛り どもり	134-5550-B
度胸 どきょう	35-2673-B,68-398-B,137-1591-B,198-3087-B,223-2190-B
度重なる たびかさなる	249-5446-B
度量 どりょう	130-6117-B,180-4194-B
度量の広さ どりょうのひろさ	36-6444-B
座 ざ	225-4102-B,264-5586-B
座り すわり	275-3923-B,286-1737-B
座る すわる	275-3681-B,286-479-B
座中 ざちゅう	130-2429-B
座元 ざもと	231-5526-B
座席 ざせき	264-5601-B
座興 ざきょう	102-6683-B,128-1227-B
座談 ざだん	64-6859-B,87-1736-B
座談会 ざだんかい	301-545-B
座長 ざちょう	45-4841-B
座骨神経痛 ざこつしんけいつう	263-2709-B
庭 にわ	129-4829-B
庭仕事 にわしごと	129-5097-B
庭前 ていぜん	129-4849-B
庭園 ていえん	129-4878-B,212-5504-B
庭師 にわし	129-4938-B
庭球 ていきゅう	304-4570-B
庵 いおり	144-2568-B,254-94-B
庵室 あんしつ	254-118-B
庵室 あんじつ	254-148-B
庶事 しょじ	107-803-B
庶幾 しょき	81-2208-B,147-1333-B
庶民的 しょみんてき	56-239-B,197-287-B,200-2668-B
康寧 こうねい	215-1779-B,312-943-B
庸愚 ようぐ	151-2201-B,186-2289-B
廃り すたり	329-3113-B,329-3280-B,329-4233-B
廃れた すたれた	203-657-B
廃人 はいじん	70-988-B,164-686-B
廃位 はいい	82-5453-B
廃品 はいひん	129-4624-B,329-3305-B
廃嫡 はいちゃく	87-5697-B
廃棄 はいき	1-112-B,14-1192-B,88-4787-B,249-5196-B,263-5330-B
廃棄物 はいきぶつ	129-4654-B,313-930-B,329-3333-B
廃止 はいし	1-4876-B,249-5222-B
廃止された はいしされた	111-4873-B
廃残 はいざん	76-4613-B,92-3258-B,259-1224-B
廃滅 はいめつ	75-5724-B,259-1569-B
廃物 はいぶつ	167-3552-B,263-5355-B
廃物利用 はいぶつりよう	245-1112-B
廃疾 はいしつ	85-4166-B,85-4271-B
廃絶 はいぜつ	1-4905-B,111-4918-B
廃要素 はいようそ	203-617-B
廃退 はいたい	75-4933-B,75-5752-B
廃頽 はいたい	75-4965-B,75-5780-B
廉潔 れんけつ	146-4523-B,155-1839-B,161-3545-B
廉直 れんちょく	161-3577-B,321-2606-B
廊下 ろうか	66-5837-B
廏舎 きゅうしゃ	26-171-B,286-2110-B
廐 うまや	26-201-B,286-2142-B
廐肥 きゅうひ	58-3002-B,183-1173-B
廐舎 きゅうしゃ	26-222-B,286-2165-B
廓清 かくせい	237-748-B
廣報 こうほう	158-859-B,236-347-B
延々たる えねんたる	173-4951-B
延いては ひいては	62-290-B
延ばす のばす	111-2351-B,173-4889-B,226-1528-B,232-5742-B,291-5885-B
延び のび	108-3169-B,137-3767-B,226-1800-B,285-2497-B,298-5865-B
延びる のびる	111-2380-B,173-4920-B,285-2520-B
延び延び のびのび	231-4309-B,291-6302-B
延べ のべ	291-6341-B,310-3231-B
延べる のべる	291-5915-B,332-5862-B
延べ金 のべがね	73-4922-B,300-3719-B
延伸 えんしん	111-2871-B
延命 えんめい	178-1454-B
延寿 えんじゅ	178-1486-B
延年 えんねん	178-1518-B
延延たる えねんたる	173-4990-B
延引 えんいん	78-2881-B,231-4351-B
延性 えんせい	181-5793-B
延期 えんき	6-223-B,226-1829-B
延滞 えんたい	78-2909-B,231-4389-B
延滞金 えんたいきん	18-4158-B
延金 のべがね	73-4954-B,300-3750-B
延長 えんちょう	99-1232-B,111-2903-B,232-5877-B
廷臣 ていしん	68-2439-B
建つ たつ	104-4025-B
建てる たてる	37-5693-B,63-409-B
建て前 たてまえ	112-5518-B
建て替える たてかえる	242-5787-B,244-4295-B
建て直し たてなおし	242-5943-B
建て直す たてなおす	242-5829-B,244-4341-B
建具 たてぐ	128-3859-B
建具屋 たてぐや	39-4944-B
建前 たてまえ	112-5548-B
建物 たてもの	38-143-B
建白 けんぱく	187-1392-B,218-6478-B
建立 けんりつ	104-4273-B
建立 こんりゅう	104-4304-B
建策 けんさく	244-2937-B,296-420-B
建築 けんちく	17-4220-B,63-771-B
建築学 けんちくがく	17-4255-B
建築家 けんちくか	17-4068-B
建蔽率 けんぺいりつ	68-3301-B
建言 けんげん	234-176-B
建設 けんせつ	63-806-B,105-3091-B
建設的 けんせつてき	63-1255-B
建設者 けんせつしゃ	17-4106-B
建議 けんぎ	194-2218-B,234-207-B,234-1122-B,296-453-B
建議案 けんぎあん	234-1153-B
建造 けんぞう	38-174-B,63-841-B
建造物 けんぞうぶつ	292-4377-B
廻り まわり	258-704-B
廻る まわる	255-1762-B,316-940-B
廻廊 かいろう	66-5865-B,129-1893-B
廻心 かいしん	65-557-B
廻文 かいぶん	211-3572-B
廻状 かいじょう	49-5844-B
廻章 かいしょう	49-5878-B
廻縁 まわりえん	66-2474-B
廻縁 まわりぶち	66-2507-B
廻船 かいせん	175-2266-B
廻覧 かいらん	49-6289-B
廻転 かいてん	255-1402-B,258-732-B,316-1436-B
廿日鼠 はつかねずみ	194-4274-B
弁 べん	35-332-B,83-3335-B,87-1132-B,218-6334-B,283-2640-B,323-3046-B
弁えのない わきまえのない	156-2194-B
弁えの無い わきまえのない	156-2245-B
弁える わきまえる	86-1496-B,87-638-B,318-1926-B
弁じる べんじる	17-5140-B,87-679-B,89-5371-B,182-927-B,282-4525-B,302-1879-B
弁ずる べんずる	87-717-B,89-5408-B
弁償 べんしょう	57-1506-B,155-5333-B,247-2171-B,249-4537-B
弁償金 べんしょうきん	57-1544-B,155-5368-B,247-2210-B,249-4573-B
弁別 べんべつ	87-755-B
弁務官 べんむかん	55-5532-B
弁口 べんこう	283-2660-B
弁士 べんし	173-1241-B,255-2984-B
弁慶の泣き所 べんけいのなきどころ	271-3310-B
弁慶格子 べんけいごうし	221-3616-B
弁慶縞 べんけいじま	221-3659-B
弁慶草 べんけいそう	290-1422-B
弁才 べんさい	99-1446-B
弁明 べんめい	15-3113-B,109-151-B,110-4431-B,326-1056-B
弁済 べんさい	215-497-B,269-1614-B
弁理 べんり	182-1854-B
弁疏 べんそ	77-4285-B,109-180-B,222-5053-B
弁者 べんしゃ	206-5706-B,282-4694-B
弁舌 べんぜつ	283-2689-B
弁解 べんかい	77-3921-B,109-206-B,110-4465-B,167-5231-B
弁証 べんしょう	79-3199-B,233-3676-B
弁証法 べんしょうほう	83-3470-B
弁証法的 べんしょうほうてき	83-3514-B
弁論 べんろん	17-5437-B,75-3402-B,87-1766-B
弁護 べんご	7-2981-B,77-4312-B,222-5187-B
弁護人 べんごにん	7-3188-B,67-2838-B,77-4079-B
弁護士 べんごし	22-1841-B,171-5882-B
弁護者 べんごしゃ	7-3225-B,77-4116-B,233-6209-B
弁難 べんなん	70-2141-B,79-5940-B
弁駁 べんばく	64-917-B,88-6129-B,88-6277-B,243-213-B,246-3345-B
弁駁 べんぱく	64-953-B,88-6160-B,88-6311-B,243-244-B,246-3378-B
弁髪 べんぱつ	220-2179-B,238-3710-B
弄くる いじくる	119-1459-B
弄する ろうする	302-1909-B,322-367-B
弄る いじる	310-3807-B
弊害 へいがい	26-987-B
弊店 へいてん	330-1728-B
弊政 へいせい	190-6015-B
弊方 へいほう	189-5315-B
弋人 よくじん	17-3739-B,149-720-B
式 しき	45-2366-B,104-1518-B,124-5863-B
式典 しきてん	45-2388-B
式法 しきほう	45-2419-B
弐心 にしん	95-1421-B,313-2264-B
弐心 ふたごころ	95-1450-B,313-2293-B
弓形 きゅうけい	266-1012-B
弓形 ゆみがた	266-1045-B
弓形 ゆみなり	266-1075-B
弓箭 きゅうせん	328-4974-B
弔 ちょう	194-4023-B
弔い とぶらい	38-5158-B,60-841-B,128-2406-B
弔い とむらい	38-5187-B,60-874-B,128-2436-B
弔う とぶらう	60-748-B
弔う とむらう	60-778-B
弔意 ちょうい	60-907-B,194-4048-B,301-173-B
弔慰 ちょうい	60-940-B,194-4079-B,301-204-B
弔歌 ちょうか	85-3616-B,98-5589-B
引きずる ひきずる	232-5772-B,236-1564-B,265-5590-B,297-6841-B
引きつける ひきつける	22-1959-B
引き上げ ひきあげ	240-1667-B,261-264-B
引き上げる ひきあげる	172-5926-B,253-5792-B,334-1211-B
引き下がる ひきさがる	172-5966-B,334-1254-B
引き下げ ひきさげ	73-2014-B,245-3095-B
引き下げる ひきさげる	179-2129-B,245-2540-B,334-1297-B
引き付ける ひきつける	22-2001-B
引き伸す ひきのばす	78-2937-B,102-1913-B
引き伸ばし ひきのばし	111-2938-B,232-5915-B
引き伸ばす ひきのばす	78-2974-B,102-1952-B
引き写し ひきうつし	311-750-B
引き出し ひきだし	93-1419-B
引き出す ひきだす	334-1340-B
引き出物 ひきでもの	132-408-B,282-1567-B
引き分ける ひきわける	268-1085-B
引き去る ひきさる	77-839-B,254-178-B,334-1377-B
引き取り ひきとり	3-1720-B,173-409-B
引き取り手 ひきとりて	42-5547-B,50-2734-B
引き受け ひきうけ	318-4259-B
引き受ける ひきうける	137-5308-B,318-3891-B
引き合い ひきあい	56-5595-B,75-2125-B,245-4732-B,334-2642-B
引き合う ひきあう	214-5840-B
引き合わせ ひきあわせ	163-6066-B,186-4271-B
引き合わせる ひきあわせる	56-5121-B,163-5625-B
引き吊り ひきつり	69-797-B,262-3494-B
引き回す ひきまわす	138-2700-B
引き延す ひきのばす	78-3014-B,102-1994-B
引き延ばし ひきのばし	111-2982-B,232-5962-B
引き延ばす ひきのばす	78-3051-B,102-2033-B
引き当て ひきあて	194-537-B,265-4744-B
引き当てる ひきあてる	16-3197-B,56-5169-B
引き戻す ひきもどす	253-1298-B
引き手 ひきて	43-5991-B,139-5274-B,169-2545-B,214-3759-B
引き払う ひきはらう	322-4509-B
引き抜き ひきぬき	244-7117-B
引き抜く ひきぬく	111-6064-B,321-3081-B
引き揚げ ひきあげ	240-1703-B,261-300-B
引き揚げる ひきあげる	172-6006-B,253-5833-B,334-1414-B
引き換える ひきかえる	65-1079-B,108-4589-B
引き摺る ひきずる	232-5808-B,236-1597-B,265-5625-B,297-6877-B
引き攣り ひきつり	262-3527-B,282-3905-B,316-3817-B
引き替えに ひきかえに	65-32-B
引き替える ひきかえる	254-4997-B
引き止める ひきとめる	47-4487-B,82-2815-B,253-1460-B
引き渡し ひきわたし	79-154-B,111-6585-B
引き渡す ひきわたす	78-5986-B,111-6506-B
引き留める ひきとめる	47-4527-B,82-2856-B,253-1503-B
引き直す ひきなおす	245-2096-B
引き窓 ひきまど	276-3745-B
引き立て ひきたて	116-1169-B,214-4017-B
引き立てる ひきたてる	116-1951-B,233-1123-B,297-6913-B
引き算 ひきざん	295-758-B
引き網 ひきあみ	92-5034-B
引き締め ひきしめ	308-2029-B
引き締める ひきしめる	34-5769-B,289-2002-B,290-5778-B,308-1840-B
引き船 ひきぶね	315-4458-B
引き裂く ひきさく	284-4663-B
引き起こす ひきおこす	44-2412-B
引き起す ひきおこす	44-2452-B
引き返す ひきかえす	249-5487-B
引き金 ひきがね	314-3062-B
引き離す ひきはなす	268-1128-B
引く手 ひくて	6-3489-B,156-5909-B
引け ひけ	77-2994-B,84-1866-B,172-6046-B
引ける ひける	52-1808-B
引け目 ひけめ	330-2895-B
引ずる ひきずる	232-5844-B,236-1630-B,265-5660-B,297-6955-B
引っかける ひっかける	44-0-B,102-4957-B,313-401-B
引っぱる ひっぱる	92-4835-B,93-880-B,291-5945-B
引っ切り無し ひっきりなし	63-5434-B,63-6443-B,154-1505-B
引っ張たく ひっぱたく	277-36-B,292-1381-B
引っ張る ひっぱる	92-4868-B,93-913-B,291-5981-B
引っ懸ける ひっかける	44-40-B,102-4999-B,313-440-B
引っ括る ひっくくる	38-3067-B
引っ捕える ひっとらえる	266-1491-B
引っ捕らえる ひっとらえる	18-4524-B,42-820-B,266-1534-B
引っ掛ける ひっかける	44-80-B,102-5041-B,313-479-B
引っ掻き回す ひっかきまわす	259-2918-B
引っ掻く ひっかく	263-5709-B
引っ繰り返す ひっくりかえす	210-2669-B,321-3285-B
引っ込み ひっこみ	253-6064-B,254-214-B
引っ込み思案 ひっこみじあん	273-2407-B,334-2172-B
引っ込む ひっこむ	275-2699-B
引ん剥く ひんむく	215-4504-B,292-2451-B
引上げる ひきあげる	173-0-B,253-5874-B,334-1457-B
引下げる ひきさげる	179-2169-B,245-2581-B,334-1497-B
引付ける ひきつける	22-2043-B
引付る ひきつける	22-2082-B
引伸す ひきのばす	78-3091-B,102-2075-B
引伸ばす ひきのばす	78-3125-B,102-2111-B
引例 いんれい	239-1972-B
引出し ひきだし	93-1454-B
引出す ひきだす	334-1537-B
引出物 ひきでもの	132-444-B,282-1607-B
引力 いんりょく	136-880-B
引取人 ひきとりにん	42-5591-B,137-5641-B
引受 ひきうけ	318-4299-B
引受ける ひきうける	137-5352-B,318-3935-B
引受る ひきうける	137-5393-B,318-3976-B
引受人 ひきうけにん	137-5682-B
引合 ひきあい	56-5634-B,75-2158-B,245-4770-B,334-2678-B
引合い ひきあい	56-5667-B,75-2185-B,245-4802-B,334-2708-B
引合せる ひきあわせる	56-5211-B,163-5675-B
引喩 いんゆ	11-505-B
引導 いんどう	88-423-B,251-2314-B
引延す ひきのばす	78-3162-B,102-2150-B
引延ばす ひきのばす	78-3196-B,102-2186-B
引当 ひきあて	194-574-B,265-4781-B
引当る ひきあてる	16-3237-B,56-5253-B
引戻す ひきもどす	253-1337-B
引手 ひきて	44-120-B,139-5303-B,169-2572-B,214-3788-B
引抜く ひきぬく	111-6100-B,321-3116-B
引接 いんせつ	163-2190-B
引攣る ひきつる	316-3852-B
引替る ひきかえる	254-5039-B
引止める ひきとめる	47-4567-B,82-2897-B,253-1546-B
引渡し ひきわたし	79-194-B,111-6628-B
引渡す ひきわたす	78-6025-B,111-6547-B
引照 いんしょう	245-4837-B
引率 いんそつ	55-2878-B,172-3265-B
引率者 いんそつしゃ	172-2130-B
引用 いんよう	50-1244-B,239-2004-B
引用句 いんようく	239-2036-B
引窓 ひきまど	276-3779-B
引立てる ひきたてる	116-1992-B,233-1165-B,298-0-B
引算 ひきざん	295-795-B
引締め ひきしめ	308-2068-B
引締める ひきしめる	34-5809-B,289-2044-B,290-5819-B,308-1882-B
引致 いんち	18-4571-B,73-0-B
引裂く ひきさく	284-4697-B
引見 いんけん	22-4166-B,163-2222-B
引証 いんしょう	50-1275-B,239-2074-B
引返す ひきかえす	249-5525-B
引退 いんたい	253-5912-B
引金 ひきがね	314-3095-B
引離す ひきはなす	268-1168-B
弘報 こうほう	158-893-B,236-379-B
弘大 こうだい	135-2190-B,180-5444-B,324-840-B
弛み たるみ	94-5347-B,173-5949-B,276-4312-B
弛む たゆむ	247-6762-B,276-4429-B
弛む たるむ	178-3499-B,247-6787-B,276-4456-B
弛緩 しかん	120-2793-B
弛緩 ちかん	120-2820-B
弟々子 おとうとでし	236-4672-B
弟子 ていし	5-5384-B,16-5672-B,86-2712-B,122-4791-B,236-4709-B
弟子 でし	5-5412-B,16-5702-B,86-2740-B,122-4819-B,236-4734-B
弟子入り でしいり	16-6186-B
弟小父 おとおじ	317-4991-B
弟弟子 おとうとでし	236-4756-B
弥四 やし	46-5888-B,114-727-B,237-4601-B,272-5048-B
弥次る やじる	33-2136-B,43-5872-B,143-1214-B,147-1068-B
弥漫 びまん	218-4755-B
弥生 やよい	285-3117-B
弦歌 げんか	275-1932-B
弧 こ	17-3322-B
弧形 こけい	17-3336-B
弧高 ここう	11-2049-B,297-2981-B
弩級艦 どきゅうかん	93-2525-B
弯曲 わんきょく	29-491-B,70-3225-B,72-5390-B
弱 じゃく	330-2926-B
弱 なよなよ	78-4685-B,297-4912-B,330-2237-B
弱々しい よわよわしい	117-1683-B,125-5082-B,277-2045-B
弱い よわい	78-4713-B,125-5122-B,304-4093-B,330-2261-B
弱さ よわさ	330-2951-B
弱まり よわまり	1-1379-B,330-2723-B
弱まる よわまる	1-1135-B,330-2482-B
弱み よわみ	330-2979-B
弱める よわめる	330-2514-B
弱り切る よわりきる	113-3608-B
弱り衰える よわりおとろえる	170-5737-B
弱り込む よわりこむ	330-2546-B
弱る よわる	152-436-B,330-2584-B
弱体化 じゃくたいか	330-2758-B
弱化 じゃっか	330-2799-B
弱味 よわみ	330-3007-B
弱味噌 よわみそ	68-4189-B
弱小 じゃくしょう	236-3653-B,337-610-B
弱少 じゃくしょう	236-3690-B,337-644-B
弱年 じゃくねん	337-678-B
弱年者 じゃくねんしゃ	337-244-B
弱年者 じゃくねんもの	337-288-B
弱弱しい よわよわしい	117-1726-B,125-5147-B,277-2087-B
弱気 よわき	308-3949-B
弱点 じゃくてん	330-3035-B
弱虫 よわむし	68-4221-B
弱輩 じゃくはい	201-2445-B
弱音をはく よわねをはく	41-5370-B,332-1477-B
弱音器 じゃくおんき	74-831-B
弱齢 じゃくれい	337-709-B
張り はり	225-6285-B,291-6017-B
張りつける はりつける	7-6421-B,214-515-B,289-798-B
張り上げる はりあげる	240-1111-B
張り付ける はりつける	7-6461-B,214-555-B,289-838-B
張り出し はりだし	200-5543-B,209-5786-B,226-234-B
張り出す はりだす	232-4568-B
張り合い はりあい	57-2323-B,256-5491-B
張り合う はりあう	256-5272-B
張り抜き はりぬき	212-701-B
張り札 はりふだ	200-5578-B,226-269-B
張り番 はりばん	178-2590-B,329-4278-B
張り紙 はりがみ	226-301-B
